point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[113.98283386230469, 232.29403686523438]","[157.2981719970703, 216.96112060546875]","[170.52413940429688, 180.10289001464844]","[163.81365966796875, 141.615478515625]","[150.68435668945312, 108.4599838256836]","[145.5369110107422, 139.5207977294922]","[141.06044006347656, 107.32518005371094]","[141.35195922851562, 113.00554656982422]","[141.2422637939453, 125.62091064453125]","[117.1292953491211, 148.54244995117188]","[111.21051788330078, 126.5408706665039]","[117.67172241210938, 155.8570556640625]","[120.70274353027344, 183.30926513671875]","[92.97207641601562, 158.1374969482422]","[87.00914764404297, 144.6031951904297]","[96.6405258178711, 176.33729553222656]","[103.28557586669922, 203.16067504882812]","[67.9884033203125, 166.5885772705078]","[61.75491714477539, 153.0026397705078]","[70.46593475341797, 176.2067108154297]","[77.32788848876953, 199.73878479003906]"
"[117.6370620727539, 231.05601501464844]","[157.90679931640625, 218.85548400878906]","[173.119140625, 187.58306884765625]","[171.1409149169922, 153.01568603515625]","[162.80313110351562, 123.08039093017578]","[146.7062530517578, 141.94712829589844]","[148.34019470214844, 113.01832580566406]","[148.39419555664062, 132.9927215576172]","[147.6803436279297, 153.55345153808594]","[119.1270523071289, 147.70298767089844]","[119.5543212890625, 128.68716430664062]","[125.54363250732422, 164.11741638183594]","[127.7698974609375, 194.84603881835938]","[96.48313903808594, 155.50958251953125]","[97.19422912597656, 144.03305053710938]","[105.5582275390625, 179.30995178222656]","[110.83071899414062, 207.73182678222656]","[73.91262817382812, 163.05909729003906]","[70.60165405273438, 155.4503631591797]","[75.8552474975586, 181.72572326660156]","[80.12694549560547, 206.3412628173828]"
"[105.71810150146484, 233.8668212890625]","[154.0961456298828, 218.3221435546875]","[173.2501983642578, 181.57940673828125]","[175.3507537841797, 143.5740966796875]","[165.95449829101562, 111.05306243896484]","[144.40176391601562, 141.76910400390625]","[146.655517578125, 106.3279037475586]","[149.43783569335938, 122.89602661132812]","[147.6675567626953, 143.81353759765625]","[112.65494537353516, 145.17369079589844]","[117.22667694091797, 117.29693603515625]","[122.54248046875, 152.50152587890625]","[120.14859771728516, 186.51510620117188]","[86.66122436523438, 151.62954711914062]","[87.67716979980469, 132.9129638671875]","[95.53478240966797, 167.9664764404297]","[98.18701934814453, 199.30702209472656]","[62.71354293823242, 158.54566955566406]","[57.477561950683594, 145.7301025390625]","[64.85822296142578, 172.4026641845703]","[70.79256439208984, 200.51791381835938]"
"[110.545166015625, 230.26560974121094]","[155.25350952148438, 218.0763397216797]","[173.1483612060547, 184.24136352539062]","[172.43292236328125, 148.47702026367188]","[166.5939178466797, 116.68170928955078]","[146.37953186035156, 137.8935089111328]","[147.05007934570312, 110.53932189941406]","[146.70947265625, 127.8412857055664]","[144.9094696044922, 147.1683807373047]","[116.1169662475586, 142.21934509277344]","[117.6478500366211, 122.54317474365234]","[120.19249725341797, 158.9319610595703]","[118.14643859863281, 190.8778076171875]","[90.5909194946289, 148.63162231445312]","[91.02185821533203, 140.16818237304688]","[97.48074340820312, 177.18479919433594]","[100.778564453125, 205.7549285888672]","[65.71673583984375, 155.4935760498047]","[63.331809997558594, 153.47071838378906]","[68.58773040771484, 183.23487854003906]","[71.609375, 209.7246551513672]"
"[106.1750717163086, 233.72731018066406]","[149.55587768554688, 220.75819396972656]","[171.69052124023438, 187.24441528320312]","[175.54714965820312, 150.66888427734375]","[163.1951446533203, 125.31880950927734]","[144.5943603515625, 143.32691955566406]","[149.0730438232422, 123.01264190673828]","[149.899658203125, 146.65260314941406]","[148.1719207763672, 165.3146209716797]","[113.96562194824219, 143.49742126464844]","[124.27592468261719, 126.75170135498047]","[125.27064514160156, 160.3355712890625]","[120.09690856933594, 190.02880859375]","[90.21450805664062, 147.18569946289062]","[96.1506576538086, 134.69041442871094]","[99.72050476074219, 167.54067993164062]","[100.71627044677734, 196.84422302246094]","[67.24932861328125, 150.41896057128906]","[70.80796813964844, 143.56288146972656]","[75.19135284423828, 170.22509765625]","[76.98741912841797, 193.40866088867188]"
"[107.61311340332031, 235.75686645507812]","[152.74749755859375, 217.36460876464844]","[172.38966369628906, 185.40113830566406]","[176.31033325195312, 149.96884155273438]","[165.4507598876953, 123.1175765991211]","[146.77960205078125, 152.43675231933594]","[150.4275360107422, 122.31072235107422]","[150.9416961669922, 140.4457244873047]","[149.1508331298828, 155.32916259765625]","[115.46370697021484, 151.8536376953125]","[127.02173614501953, 126.7465591430664]","[129.09909057617188, 154.9427947998047]","[124.90721893310547, 182.25096130371094]","[91.2114028930664, 155.54632568359375]","[98.82252502441406, 131.33840942382812]","[101.853515625, 161.56068420410156]","[102.97196197509766, 190.93881225585938]","[68.85981750488281, 158.9573516845703]","[73.96824645996094, 143.49366760253906]","[78.3216552734375, 166.50595092773438]","[81.6462173461914, 189.3350372314453]"
"[117.9686050415039, 237.51454162597656]","[159.38340759277344, 218.37335205078125]","[173.76611328125, 181.74600219726562]","[168.63946533203125, 142.55555725097656]","[158.78033447265625, 106.94190216064453]","[148.22703552246094, 144.4686737060547]","[144.17678833007812, 110.76039123535156]","[143.8999786376953, 110.84408569335938]","[144.9289093017578, 119.48838806152344]","[120.49221801757812, 151.06204223632812]","[111.21663665771484, 124.98908233642578]","[117.39237213134766, 151.4845733642578]","[121.54656219482422, 181.3762664794922]","[96.03465270996094, 160.94789123535156]","[86.0385971069336, 141.19032287597656]","[97.0426254272461, 169.18003845214844]","[106.62504577636719, 196.6476287841797]","[72.519775390625, 171.42010498046875]","[60.60518264770508, 158.17129516601562]","[70.25704956054688, 179.09559631347656]","[80.44361114501953, 203.47344970703125]"
"[117.21157836914062, 229.69412231445312]","[158.87796020507812, 216.13165283203125]","[173.57981872558594, 184.0733184814453]","[171.42471313476562, 149.27713012695312]","[160.3328094482422, 120.55725860595703]","[150.96707153320312, 143.7113494873047]","[150.3473358154297, 113.69535827636719]","[152.7529296875, 124.72254943847656]","[154.27813720703125, 137.63233947753906]","[123.76148223876953, 150.05853271484375]","[121.38275909423828, 132.04022216796875]","[128.89608764648438, 164.884521484375]","[130.89205932617188, 194.1495819091797]","[100.23077392578125, 158.07090759277344]","[97.71882629394531, 145.85284423828125]","[108.65853881835938, 176.5257568359375]","[115.43572235107422, 201.90003967285156]","[76.89545440673828, 163.55178833007812]","[73.39974975585938, 157.4202423095703]","[80.18936157226562, 183.6632843017578]","[85.68414306640625, 206.300048828125]"
"[115.34883880615234, 220.6034698486328]","[150.83419799804688, 188.959228515625]","[166.38650512695312, 141.6870880126953]","[167.05746459960938, 94.99671936035156]","[157.23501586914062, 59.28667068481445]","[141.90542602539062, 113.02722930908203]","[137.0401153564453, 78.94216918945312]","[141.3468475341797, 94.95571899414062]","[141.31288146972656, 113.24151611328125]","[115.53382110595703, 119.46251678466797]","[113.5845947265625, 91.36976623535156]","[123.31452941894531, 124.2492904663086]","[123.93423461914062, 151.64837646484375]","[90.68701934814453, 130.08566284179688]","[89.8642578125, 108.66360473632812]","[103.826904296875, 142.62718200683594]","[109.522216796875, 169.3065643310547]","[67.25398254394531, 142.81272888183594]","[68.19439697265625, 121.94084167480469]","[81.87008666992188, 143.54649353027344]","[88.35858917236328, 164.64434814453125]"
"[111.25379943847656, 208.75784301757812]","[150.5203094482422, 166.45799255371094]","[161.45265197753906, 114.46475982666016]","[159.38697814941406, 67.33712768554688]","[145.9203338623047, 36.075477600097656]","[139.6693115234375, 102.40592193603516]","[133.25706481933594, 64.2159194946289]","[137.93609619140625, 91.14010620117188]","[136.94935607910156, 108.79513549804688]","[113.30027770996094, 110.21634674072266]","[111.680419921875, 75.76445770263672]","[119.02912902832031, 112.47871398925781]","[112.9903793334961, 133.29672241210938]","[86.39405822753906, 120.17491912841797]","[86.44282531738281, 87.0645980834961]","[96.26217651367188, 122.61397552490234]","[95.10525512695312, 144.5358123779297]","[59.24497985839844, 131.16748046875]","[61.191219329833984, 103.03829956054688]","[72.52392578125, 124.34255981445312]","[71.30525970458984, 139.90476989746094]"
"[115.81490325927734, 228.8333740234375]","[158.499755859375, 203.07762145996094]","[170.38404846191406, 171.00460815429688]","[167.04879760742188, 135.5146942138672]","[160.72799682617188, 98.6151123046875]","[147.367919921875, 142.7880401611328]","[152.53323364257812, 113.0931625366211]","[156.1492462158203, 121.0967788696289]","[157.42953491210938, 131.86306762695312]","[120.21436309814453, 148.59707641601562]","[123.66677856445312, 124.82112121582031]","[129.18576049804688, 157.30763244628906]","[128.3981475830078, 191.51634216308594]","[96.89026641845703, 154.7952880859375]","[100.13664245605469, 137.0899200439453]","[110.00629425048828, 168.27928161621094]","[115.17601013183594, 197.6615447998047]","[74.12747955322266, 158.89515686035156]","[73.1269302368164, 148.20697021484375]","[81.28650665283203, 174.83026123046875]","[87.57494354248047, 201.4176788330078]"
"[112.96180725097656, 226.00677490234375]","[150.53146362304688, 195.99795532226562]","[168.6530303955078, 158.37672424316406]","[173.49771118164062, 119.86984252929688]","[175.8253631591797, 82.82412719726562]","[144.80764770507812, 126.52594757080078]","[151.9006805419922, 97.28036499023438]","[157.58016967773438, 114.09210205078125]","[157.07029724121094, 132.0235137939453]","[118.01438903808594, 131.7087860107422]","[127.57376861572266, 108.72534942626953]","[132.76950073242188, 146.625732421875]","[128.3509521484375, 179.1735076904297]","[93.47941589355469, 137.83355712890625]","[100.91986083984375, 122.70396423339844]","[109.26527404785156, 156.98602294921875]","[109.2606201171875, 185.79229736328125]","[70.15033721923828, 144.81114196777344]","[73.87922668457031, 128.80877685546875]","[83.71527099609375, 153.08363342285156]","[86.62349700927734, 176.8631134033203]"
