point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[122.36200714111328, 221.2587890625]","[154.40101623535156, 208.96157836914062]","[158.474853515625, 187.24937438964844]","[143.75711059570312, 167.98480224609375]","[125.81765747070312, 151.5410919189453]","[157.30780029296875, 129.9033660888672]","[158.97763061523438, 86.73439025878906]","[157.41641235351562, 57.24277877807617]","[157.19276428222656, 31.133832931518555]","[128.60511779785156, 127.80365753173828]","[135.0347137451172, 79.35479736328125]","[131.87425231933594, 50.63076400756836]","[129.42787170410156, 25.366483688354492]","[102.32695770263672, 130.90945434570312]","[107.12176513671875, 85.73350524902344]","[105.34686279296875, 56.89622116088867]","[107.29151916503906, 34.60328674316406]","[78.78787231445312, 140.89096069335938]","[78.13258361816406, 103.50723266601562]","[76.87722778320312, 82.29212951660156]","[79.79026794433594, 63.1879997253418]"
"[126.85762023925781, 221.84608459472656]","[156.91644287109375, 210.0517578125]","[159.9564208984375, 192.53216552734375]","[144.4247589111328, 176.3225860595703]","[124.84779357910156, 161.93365478515625]","[160.18612670898438, 132.58343505859375]","[159.7920684814453, 91.04940032958984]","[158.20167541503906, 63.57010269165039]","[157.8132781982422, 40.234893798828125]","[133.22662353515625, 128.50123596191406]","[135.96026611328125, 82.93448638916016]","[132.78944396972656, 54.79914855957031]","[129.84390258789062, 30.540361404418945]","[109.56114959716797, 131.502197265625]","[111.05374145507812, 89.3116455078125]","[108.47441864013672, 60.862876892089844]","[108.17294311523438, 38.367759704589844]","[87.23077392578125, 141.91094970703125]","[83.5299301147461, 109.47659301757812]","[81.192138671875, 89.01081085205078]","[81.13137817382812, 68.7792739868164]"
"[126.75908660888672, 221.71099853515625]","[164.34503173828125, 203.01119995117188]","[164.14675903320312, 183.00860595703125]","[147.65042114257812, 164.8960723876953]","[128.84112548828125, 148.1641082763672]","[161.94517517089844, 135.38877868652344]","[162.5595703125, 93.17767333984375]","[161.62208557128906, 66.13961791992188]","[161.7815704345703, 41.94423294067383]","[132.84967041015625, 130.9572296142578]","[137.93853759765625, 83.21089935302734]","[136.24856567382812, 56.35498809814453]","[134.24261474609375, 32.01247024536133]","[107.13671112060547, 134.4132080078125]","[109.83854675292969, 89.61506652832031]","[108.26093292236328, 63.162513732910156]","[109.32202911376953, 41.80107879638672]","[84.1404800415039, 145.48611450195312]","[81.76168823242188, 109.9760971069336]","[80.30075073242188, 89.91140747070312]","[81.79224395751953, 73.2735366821289]"
"[125.88710021972656, 220.6850128173828]","[161.77442932128906, 204.89450073242188]","[161.505859375, 185.4821014404297]","[146.52047729492188, 169.46044921875]","[126.09489440917969, 155.0589599609375]","[162.67111206054688, 134.309326171875]","[165.21615600585938, 91.64520263671875]","[164.86094665527344, 64.03430938720703]","[165.68093872070312, 39.8676872253418]","[133.57443237304688, 129.9402618408203]","[139.16554260253906, 81.65179443359375]","[138.46165466308594, 54.832515716552734]","[138.4774932861328, 30.601585388183594]","[107.45310974121094, 132.88919067382812]","[110.8077163696289, 88.26309967041016]","[109.13066101074219, 62.14350128173828]","[110.84271240234375, 40.9769172668457]","[83.31261444091797, 143.521240234375]","[82.52304077148438, 109.6907730102539]","[80.83958435058594, 90.93595123291016]","[83.27547454833984, 74.10193634033203]"
"[124.65387725830078, 217.95486450195312]","[161.6156005859375, 203.39561462402344]","[164.17617797851562, 183.80503845214844]","[149.83029174804688, 168.34329223632812]","[129.3924560546875, 155.39013671875]","[162.34375, 128.6260528564453]","[162.4490509033203, 85.68917083740234]","[160.7377471923828, 58.71933364868164]","[161.28216552734375, 34.8780517578125]","[133.15489196777344, 125.11528015136719]","[136.45201110839844, 76.92684936523438]","[134.90878295898438, 48.850257873535156]","[134.862548828125, 24.598831176757812]","[107.49446105957031, 128.0652313232422]","[109.99168395996094, 84.2939682006836]","[108.00128173828125, 58.16658401489258]","[110.02104187011719, 36.55341339111328]","[83.24512481689453, 137.56350708007812]","[81.53826141357422, 104.07028198242188]","[79.87263488769531, 84.50633239746094]","[82.81089782714844, 66.26104736328125]"
"[124.84481811523438, 217.9295196533203]","[161.70925903320312, 202.7816162109375]","[165.0249481201172, 183.74949645996094]","[151.18179321289062, 167.8688201904297]","[130.55615234375, 153.4688262939453]","[164.95909118652344, 132.04171752929688]","[165.49131774902344, 87.28438568115234]","[164.0203399658203, 59.73127365112305]","[164.48240661621094, 35.21482849121094]","[135.80393981933594, 127.95585632324219]","[139.5915069580078, 79.38318634033203]","[137.5558319091797, 50.856727600097656]","[136.83152770996094, 26.260639190673828]","[109.40816497802734, 130.82786560058594]","[112.56928253173828, 86.0639419555664]","[110.89469909667969, 59.255218505859375]","[112.70723724365234, 37.93974685668945]","[84.07080841064453, 139.9559783935547]","[83.39971923828125, 106.28299713134766]","[82.18538665771484, 86.22431945800781]","[84.7886734008789, 67.4107437133789]"
"[119.44049072265625, 217.89122009277344]","[157.06069946289062, 204.11068725585938]","[164.47897338867188, 182.14447021484375]","[150.20852661132812, 161.7247772216797]","[131.86642456054688, 143.30734252929688]","[160.35836791992188, 126.02955627441406]","[161.92852783203125, 84.1108627319336]","[160.25863647460938, 56.4384651184082]","[159.88600158691406, 30.014955520629883]","[130.06385803222656, 121.90174865722656]","[135.86712646484375, 76.04246520996094]","[135.0908966064453, 48.70219802856445]","[134.52528381347656, 23.745708465576172]","[103.20135498046875, 125.6692123413086]","[106.88624572753906, 84.00090789794922]","[106.06209564208984, 57.07783508300781]","[108.70433044433594, 34.892276763916016]","[79.41363525390625, 136.54470825195312]","[80.9026107788086, 103.83157348632812]","[81.55467224121094, 83.98025512695312]","[86.13666534423828, 66.82746887207031]"
"[125.2291259765625, 219.12681579589844]","[158.02281188964844, 205.51846313476562]","[164.6485595703125, 183.9091339111328]","[149.96990966796875, 162.88351440429688]","[130.67433166503906, 145.8313446044922]","[158.89080810546875, 128.63560485839844]","[160.08010864257812, 85.54857635498047]","[158.01504516601562, 57.4304313659668]","[156.34481811523438, 32.62683868408203]","[130.72067260742188, 125.35993957519531]","[134.44754028320312, 79.21585845947266]","[131.2530975341797, 50.64347839355469]","[128.37266540527344, 25.159408569335938]","[104.85069274902344, 129.11541748046875]","[107.98965454101562, 87.83485412597656]","[105.6940689086914, 59.37984085083008]","[107.17610168457031, 35.19275665283203]","[81.3624267578125, 140.2414093017578]","[80.5123062133789, 106.8668212890625]","[79.87898254394531, 85.45885467529297]","[83.05244445800781, 64.56116485595703]"
"[121.03490447998047, 220.8212890625]","[155.12486267089844, 207.3417510986328]","[164.0974884033203, 183.142333984375]","[149.38751220703125, 162.19381713867188]","[130.2277069091797, 145.89129638671875]","[156.88348388671875, 127.68360900878906]","[158.93136596679688, 85.93848419189453]","[156.88343811035156, 57.839900970458984]","[155.9269561767578, 32.659236907958984]","[128.47840881347656, 125.22874450683594]","[133.75869750976562, 79.58453369140625]","[130.1531219482422, 51.38347625732422]","[126.76722717285156, 26.07988166809082]","[102.08362579345703, 128.53671264648438]","[105.39640045166016, 86.65159606933594]","[103.2780532836914, 57.555023193359375]","[105.04544067382812, 34.23365020751953]","[77.81571960449219, 138.36599731445312]","[78.77127075195312, 104.07618713378906]","[78.96969604492188, 82.75387573242188]","[82.52597045898438, 62.99500274658203]"
"[121.75786590576172, 217.26113891601562]","[152.87869262695312, 209.84226989746094]","[161.4717254638672, 188.49581909179688]","[146.52267456054688, 169.81019592285156]","[124.82585906982422, 157.90997314453125]","[152.98348999023438, 126.8471908569336]","[152.19712829589844, 86.31360626220703]","[150.66256713867188, 58.21297836303711]","[149.7467803955078, 33.141502380371094]","[126.30704498291016, 124.63314056396484]","[128.44940185546875, 82.06721496582031]","[125.10636901855469, 53.63479995727539]","[121.05343627929688, 27.00873565673828]","[101.35340118408203, 128.113037109375]","[102.0843276977539, 90.45709228515625]","[98.08470153808594, 61.76337432861328]","[96.54893493652344, 37.21587371826172]","[77.62288665771484, 137.86746215820312]","[76.12934112548828, 108.65184020996094]","[74.50731658935547, 87.7103500366211]","[74.86506652832031, 66.71544647216797]"
