point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[130.7864227294922, 244.88197326660156]","[167.3833770751953, 229.0494842529297]","[185.18894958496094, 215.8876190185547]","[199.73324584960938, 194.4617462158203]","[208.8061981201172, 173.22125244140625]","[148.4279022216797, 169.91001892089844]","[164.2485809326172, 133.75112915039062]","[179.03578186035156, 114.21410369873047]","[193.98187255859375, 103.0103759765625]","[131.4635772705078, 158.83428955078125]","[149.251708984375, 112.63670349121094]","[176.17112731933594, 96.23269653320312]","[201.17901611328125, 86.83436584472656]","[121.842041015625, 152.9436492919922]","[135.55467224121094, 108.03401184082031]","[158.95306396484375, 93.07711029052734]","[180.025634765625, 85.5609359741211]","[113.5512466430664, 150.93038940429688]","[118.87264251708984, 118.8432388305664]","[132.40049743652344, 103.94141387939453]","[148.6967010498047, 93.63523864746094]"
"[125.46802520751953, 245.50616455078125]","[161.3935089111328, 228.93431091308594]","[177.97268676757812, 213.32516479492188]","[195.1937255859375, 189.0592803955078]","[209.83792114257812, 167.87010192871094]","[143.97726440429688, 166.16607666015625]","[156.46994018554688, 132.5833740234375]","[173.31019592285156, 115.78345489501953]","[190.42620849609375, 107.95671081542969]","[125.34805297851562, 155.95945739746094]","[141.9718017578125, 112.34410095214844]","[170.2731170654297, 99.28778076171875]","[195.67327880859375, 96.68138885498047]","[113.88873291015625, 150.29840087890625]","[127.75782012939453, 109.0055160522461]","[154.4770050048828, 97.54927062988281]","[177.17800903320312, 97.67617797851562]","[103.27561950683594, 147.8980255126953]","[111.0252456665039, 113.97041320800781]","[127.38260650634766, 98.93494415283203]","[144.96038818359375, 94.24513244628906]"
"[123.96784210205078, 243.4770965576172]","[154.34222412109375, 227.384765625]","[174.28355407714844, 209.2645721435547]","[189.95265197753906, 185.9590606689453]","[203.69216918945312, 166.25718688964844]","[141.7602081298828, 164.60943603515625]","[158.39117431640625, 129.9442138671875]","[175.70875549316406, 115.70648956298828]","[192.37771606445312, 110.97207641601562]","[126.54612731933594, 151.52130126953125]","[147.28591918945312, 109.86480712890625]","[174.79449462890625, 99.76891326904297]","[200.04031372070312, 101.497802734375]","[117.10783386230469, 144.90101623535156]","[134.72840881347656, 103.544677734375]","[160.02264404296875, 94.02606201171875]","[181.32640075683594, 97.14948272705078]","[109.03345489501953, 142.73983764648438]","[115.8166732788086, 111.7558822631836]","[130.0295867919922, 97.46945190429688]","[146.13671875, 92.43123626708984]"
"[126.71917724609375, 242.2906951904297]","[158.7079620361328, 225.21646118164062]","[176.0933837890625, 208.80801391601562]","[188.578125, 187.682861328125]","[196.6141815185547, 168.33396911621094]","[142.73184204101562, 170.80657958984375]","[155.06390380859375, 137.2394561767578]","[170.32069396972656, 126.28189086914062]","[184.77049255371094, 120.88894653320312]","[128.47238159179688, 157.96031188964844]","[145.01803588867188, 113.11093139648438]","[168.47802734375, 106.17015838623047]","[188.18695068359375, 109.77520751953125]","[119.63201141357422, 148.3383331298828]","[135.39683532714844, 105.76266479492188]","[157.74855041503906, 101.12399291992188]","[174.2980499267578, 105.81175994873047]","[112.76471710205078, 141.57994079589844]","[119.78418731689453, 105.88410186767578]","[135.7638702392578, 95.65010833740234]","[150.9156951904297, 94.16481018066406]"
"[130.26742553710938, 242.5691680908203]","[161.13400268554688, 223.87554931640625]","[176.38491821289062, 206.08810424804688]","[187.94020080566406, 184.5091094970703]","[194.06089782714844, 166.0238037109375]","[144.02867126464844, 169.06344604492188]","[156.6138916015625, 136.3905487060547]","[171.3067169189453, 127.15990447998047]","[184.47918701171875, 122.81716918945312]","[130.25184631347656, 159.77865600585938]","[145.6084747314453, 113.65180206298828]","[170.32180786132812, 110.51512145996094]","[189.9758758544922, 118.00350952148438]","[121.66450500488281, 152.76473999023438]","[135.1615753173828, 108.23856353759766]","[157.29469299316406, 102.46240234375]","[173.07762145996094, 109.42754364013672]","[114.75094604492188, 148.57479858398438]","[118.04769134521484, 110.9083023071289]","[130.90757751464844, 97.38064575195312]","[143.7831573486328, 95.79486846923828]"
"[123.7493896484375, 242.0899200439453]","[153.28948974609375, 227.23263549804688]","[174.21176147460938, 210.58876037597656]","[191.83287048339844, 188.3228302001953]","[204.74647521972656, 167.4525909423828]","[143.98121643066406, 165.6261444091797]","[159.08995056152344, 128.46421813964844]","[175.07762145996094, 112.29853820800781]","[190.0502471923828, 105.068603515625]","[127.43783569335938, 155.7184295654297]","[143.52883911132812, 108.75641632080078]","[169.175048828125, 95.70067596435547]","[192.9538116455078, 95.5525894165039]","[117.82658386230469, 150.23257446289062]","[131.70960998535156, 106.37454986572266]","[155.9234619140625, 95.3607177734375]","[175.5745849609375, 97.27381134033203]","[108.67912292480469, 148.07383728027344]","[114.6988296508789, 114.03463745117188]","[128.24989318847656, 100.61468505859375]","[143.79273986816406, 95.9507827758789]"
"[129.2786102294922, 243.58155822753906]","[164.9149627685547, 223.44924926757812]","[182.3994140625, 204.27621459960938]","[195.1783905029297, 181.64112854003906]","[206.3925018310547, 158.41835021972656]","[144.90895080566406, 161.77096557617188]","[156.2730255126953, 125.66181182861328]","[170.94308471679688, 107.67313385009766]","[186.39344787597656, 99.74301147460938]","[127.46322631835938, 154.14645385742188]","[141.8742218017578, 108.42937469482422]","[168.92535400390625, 95.2583236694336]","[194.9552459716797, 94.86857604980469]","[115.18843841552734, 150.10415649414062]","[127.20753479003906, 106.20486450195312]","[152.8704376220703, 94.36432647705078]","[175.46102905273438, 96.07275390625]","[104.28034210205078, 148.85006713867188]","[108.91096496582031, 111.68584442138672]","[122.91416931152344, 96.69215393066406]","[139.56785583496094, 91.37439727783203]"
"[127.77373504638672, 247.3389892578125]","[166.45252990722656, 225.69044494628906]","[183.46170043945312, 203.98387145996094]","[195.6039276123047, 178.54563903808594]","[203.34022521972656, 155.93853759765625]","[144.89187622070312, 161.5753936767578]","[152.25596618652344, 124.3777847290039]","[167.0264434814453, 106.82308197021484]","[182.0018310546875, 100.68820190429688]","[127.3163070678711, 155.152587890625]","[138.5341796875, 107.37433624267578]","[165.6540069580078, 93.53236389160156]","[190.775146484375, 91.87800598144531]","[115.88795471191406, 152.64588928222656]","[124.55155944824219, 107.73477172851562]","[150.76837158203125, 97.04999542236328]","[172.59739685058594, 98.44239044189453]","[105.14596557617188, 151.99069213867188]","[109.016845703125, 113.66519927978516]","[123.9852294921875, 100.19446563720703]","[140.9028778076172, 95.1802749633789]"
"[122.46797180175781, 243.31690979003906]","[153.55995178222656, 231.01153564453125]","[176.87655639648438, 212.33822631835938]","[193.12762451171875, 187.33839416503906]","[201.83734130859375, 163.64556884765625]","[143.1199188232422, 169.30592346191406]","[157.64976501464844, 132.0531005859375]","[173.16896057128906, 111.77323913574219]","[187.67037963867188, 102.32138061523438]","[125.66187286376953, 159.8943328857422]","[141.37794494628906, 113.69440460205078]","[167.63433837890625, 95.5545425415039]","[192.13787841796875, 90.65729522705078]","[115.07891082763672, 154.77870178222656]","[128.134765625, 111.25556945800781]","[152.53797912597656, 95.95423126220703]","[172.22232055664062, 93.35489654541016]","[106.3079833984375, 151.80946350097656]","[111.73009490966797, 115.23714447021484]","[124.59912872314453, 100.00824737548828]","[138.9617156982422, 92.236572265625]"
"[124.0479736328125, 245.53021240234375]","[155.10494995117188, 226.57830810546875]","[173.418701171875, 211.36807250976562]","[186.39881896972656, 186.64393615722656]","[191.46641540527344, 167.545654296875]","[142.46664428710938, 162.88339233398438]","[153.6752166748047, 133.00868225097656]","[165.35707092285156, 121.21455383300781]","[177.0400848388672, 117.37873840332031]","[125.57768249511719, 157.6982879638672]","[137.66738891601562, 118.9507064819336]","[158.03720092773438, 107.36717224121094]","[175.89088439941406, 111.28626251220703]","[114.07365417480469, 157.79005432128906]","[124.32774353027344, 118.77301788330078]","[144.3968963623047, 105.0669174194336]","[161.16207885742188, 108.13490295410156]","[103.8133544921875, 160.52847290039062]","[108.32919311523438, 128.79393005371094]","[120.79590606689453, 112.74547576904297]","[135.78195190429688, 108.00277709960938]"
"[120.0101318359375, 243.21005249023438]","[155.319580078125, 220.6211700439453]","[168.80332946777344, 199.73873901367188]","[177.3016815185547, 175.47573852539062]","[176.4197998046875, 154.481689453125]","[138.5699462890625, 154.45338439941406]","[140.8950653076172, 122.5013198852539]","[149.6892547607422, 111.6849136352539]","[159.2188262939453, 107.43455505371094]","[118.5584945678711, 151.7951202392578]","[121.39301300048828, 110.3785400390625]","[136.73081970214844, 93.85140228271484]","[151.57400512695312, 91.13783264160156]","[102.76775360107422, 154.0728759765625]","[106.0579605102539, 117.58391571044922]","[121.9227294921875, 107.70950317382812]","[135.805908203125, 111.2024917602539]","[89.4027328491211, 158.5787811279297]","[92.38101196289062, 128.37237548828125]","[103.74906921386719, 117.57828521728516]","[118.07355499267578, 114.33279418945312]"
"[122.93980407714844, 245.2290802001953]","[156.1925506591797, 227.6633758544922]","[177.25474548339844, 208.90274047851562]","[191.79852294921875, 184.19244384765625]","[192.13600158691406, 168.94712829589844]","[138.05252075195312, 166.09242248535156]","[146.00027465820312, 136.3570556640625]","[158.10223388671875, 127.52030944824219]","[167.9659423828125, 124.63615417480469]","[119.72728729248047, 161.82748413085938]","[124.8492202758789, 117.7307357788086]","[142.64599609375, 99.27996826171875]","[156.02684020996094, 95.16699981689453]","[107.83242797851562, 163.65655517578125]","[112.16061401367188, 121.04735565185547]","[131.39979553222656, 110.13367462158203]","[145.32325744628906, 113.3233642578125]","[98.16199493408203, 169.6685333251953]","[99.3539810180664, 134.38088989257812]","[109.5911865234375, 119.82870483398438]","[121.73558044433594, 116.23394775390625]"
"[119.99942016601562, 239.91600036621094]","[154.66213989257812, 216.23736572265625]","[171.40155029296875, 195.52999877929688]","[182.10597229003906, 168.66937255859375]","[180.60177612304688, 146.14813232421875]","[137.082275390625, 155.32650756835938]","[142.35279846191406, 117.07560729980469]","[151.55960083007812, 96.8960952758789]","[160.59107971191406, 83.86598205566406]","[117.67395782470703, 154.11270141601562]","[122.45005798339844, 108.42158508300781]","[139.39834594726562, 90.70149230957031]","[156.02650451660156, 84.65830993652344]","[102.98545837402344, 156.66465759277344]","[104.40800476074219, 117.25594329833984]","[123.13402557373047, 106.11239624023438]","[140.64491271972656, 106.04251861572266]","[90.03487396240234, 162.6727752685547]","[89.90636444091797, 126.60025024414062]","[100.96753692626953, 111.44075775146484]","[117.10623168945312, 105.29843139648438]"
"[115.60054016113281, 239.8780975341797]","[154.15054321289062, 215.9591827392578]","[175.13632202148438, 192.9709014892578]","[187.65646362304688, 166.3262176513672]","[188.60470581054688, 140.02171325683594]","[136.3903350830078, 144.50254821777344]","[145.23312377929688, 106.36552429199219]","[159.69833374023438, 86.18384552001953]","[174.38397216796875, 75.23884582519531]","[116.97288513183594, 144.0346221923828]","[126.64961242675781, 96.64891815185547]","[147.72842407226562, 81.89600372314453]","[167.8040313720703, 78.49272155761719]","[102.01665496826172, 147.24661254882812]","[108.32653045654297, 104.26654052734375]","[128.81028747558594, 91.11934661865234]","[146.43829345703125, 88.57711029052734]","[89.7332763671875, 153.36048889160156]","[94.08360290527344, 114.53462982177734]","[107.64205169677734, 99.35309600830078]","[123.01331329345703, 92.35659790039062]"
"[114.81414794921875, 243.1538848876953]","[151.60765075683594, 222.81629943847656]","[173.39700317382812, 202.78131103515625]","[189.51419067382812, 176.18565368652344]","[195.3992156982422, 150.60311889648438]","[139.41217041015625, 154.4611358642578]","[152.1109161376953, 117.64048767089844]","[164.23770141601562, 97.82380676269531]","[174.9642333984375, 87.48745727539062]","[119.12133026123047, 150.79214477539062]","[130.00808715820312, 104.35525512695312]","[151.46202087402344, 85.7700424194336]","[171.5143280029297, 80.63666534423828]","[104.93930053710938, 151.32582092285156]","[111.1597900390625, 108.55071258544922]","[132.29490661621094, 94.81661224365234]","[149.93165588378906, 92.83924865722656]","[93.8105239868164, 155.60787963867188]","[98.45215606689453, 117.94499206542969]","[110.65094757080078, 102.1093521118164]","[124.79434967041016, 95.08885192871094]"
"[118.41557312011719, 247.5201416015625]","[155.68655395507812, 227.6600341796875]","[177.1892852783203, 205.03977966308594]","[190.73812866210938, 175.332275390625]","[195.87220764160156, 147.28182983398438]","[141.3843231201172, 159.42799377441406]","[152.30250549316406, 124.7157211303711]","[164.2604522705078, 102.80233764648438]","[175.59300231933594, 90.17292785644531]","[121.36005401611328, 155.3054656982422]","[130.970458984375, 109.42666625976562]","[152.2141571044922, 90.14344024658203]","[172.769775390625, 84.08941650390625]","[105.72978973388672, 155.9070281982422]","[111.52814483642578, 111.69957733154297]","[133.11981201171875, 94.86804962158203]","[152.52000427246094, 91.05150604248047]","[91.2755355834961, 160.4469757080078]","[93.8919448852539, 121.02751922607422]","[105.83228302001953, 102.62532043457031]","[120.93150329589844, 92.5142593383789]"
