point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[123.5514144897461, 223.74497985839844]","[159.1082305908203, 205.53903198242188]","[166.23086547851562, 182.3087921142578]","[150.75497436523438, 157.45559692382812]","[130.52883911132812, 139.1913604736328]","[149.27069091796875, 127.7690200805664]","[151.1619110107422, 84.18526458740234]","[152.3078155517578, 55.836856842041016]","[151.6483917236328, 38.60606384277344]","[123.99639892578125, 131.88043212890625]","[114.68610382080078, 98.4061508178711]","[113.83362579345703, 101.51286315917969]","[115.06640625, 114.51520538330078]","[99.73152923583984, 141.8128204345703]","[89.91667175292969, 122.10961151123047]","[98.30952453613281, 140.45846557617188]","[105.70283508300781, 160.47402954101562]","[78.04907989501953, 153.21780395507812]","[70.50363159179688, 142.3836669921875]","[80.45103454589844, 155.84034729003906]","[90.64451599121094, 171.45721435546875]"
"[118.67866516113281, 236.14938354492188]","[147.9374542236328, 208.9384002685547]","[157.03663635253906, 184.8126678466797]","[144.30938720703125, 161.56991577148438]","[124.65684509277344, 148.18617248535156]","[134.99107360839844, 147.19439697265625]","[136.67486572265625, 110.25528717041016]","[141.69639587402344, 83.2858657836914]","[144.36740112304688, 63.19662857055664]","[117.63912200927734, 147.7666778564453]","[116.35850524902344, 110.1875991821289]","[127.40674591064453, 116.29490661621094]","[134.7938232421875, 129.9523162841797]","[100.13394927978516, 154.0362091064453]","[96.77860260009766, 119.46336364746094]","[110.70735168457031, 133.8587646484375]","[117.07527160644531, 152.058349609375]","[84.0520248413086, 161.4742889404297]","[87.02674865722656, 139.17678833007812]","[101.47881317138672, 147.87962341308594]","[111.1662826538086, 162.34225463867188]"
"[124.48966217041016, 233.46412658691406]","[157.73484802246094, 211.16058349609375]","[169.57443237304688, 184.669189453125]","[154.21934509277344, 162.34259033203125]","[129.18765258789062, 154.59701538085938]","[146.7694091796875, 142.29714965820312]","[146.372314453125, 101.71446990966797]","[150.1968536376953, 76.9678955078125]","[152.22146606445312, 61.60853576660156]","[127.15948486328125, 145.500732421875]","[122.37027740478516, 111.6285400390625]","[132.10621643066406, 123.57923126220703]","[136.68719482421875, 140.9464111328125]","[108.07559967041016, 153.176025390625]","[101.64259338378906, 125.41158294677734]","[116.52635192871094, 143.7411346435547]","[123.39869689941406, 163.091064453125]","[90.13750457763672, 161.88916015625]","[89.12666320800781, 145.43797302246094]","[104.05020141601562, 156.43243408203125]","[114.14620971679688, 170.05413818359375]"
"[126.55680084228516, 231.790771484375]","[152.8412322998047, 213.4403839111328]","[165.90640258789062, 189.32318115234375]","[157.19534301757812, 170.96505737304688]","[138.11099243164062, 165.90591430664062]","[142.58370971679688, 141.3615264892578]","[144.22824096679688, 103.68489074707031]","[146.9031524658203, 78.09907531738281]","[147.3785400390625, 60.222984313964844]","[125.02920532226562, 146.66653442382812]","[121.43724822998047, 116.6334457397461]","[126.93339538574219, 132.86447143554688]","[129.4546661376953, 151.57254028320312]","[107.63636016845703, 154.49513244628906]","[99.94739532470703, 130.69146728515625]","[110.93174743652344, 148.73204040527344]","[116.6809310913086, 166.7614288330078]","[91.06372833251953, 162.84376525878906]","[86.05567932128906, 148.82118225097656]","[98.21131896972656, 159.10470581054688]","[106.78842163085938, 172.80258178710938]"
"[124.02991485595703, 232.23350524902344]","[150.93560791015625, 212.13882446289062]","[164.43280029296875, 187.4528350830078]","[153.3529052734375, 166.0901336669922]","[131.64022827148438, 156.1112060546875]","[145.89938354492188, 139.94712829589844]","[148.06765747070312, 99.79437255859375]","[151.5858154296875, 76.25843811035156]","[153.50613403320312, 63.19999313354492]","[125.89823150634766, 144.0653076171875]","[120.24828338623047, 110.98332214355469]","[126.86937713623047, 129.49349975585938]","[130.62661743164062, 149.32615661621094]","[107.45944213867188, 153.0377960205078]","[98.08629608154297, 126.01895141601562]","[109.70482635498047, 145.53509521484375]","[116.10094451904297, 162.87103271484375]","[90.34058380126953, 162.26498413085938]","[83.27166748046875, 147.1540069580078]","[95.32601165771484, 158.32066345214844]","[103.7447509765625, 170.7000732421875]"
"[121.38578796386719, 223.49948120117188]","[150.50091552734375, 206.97805786132812]","[160.903564453125, 182.8157958984375]","[146.62632751464844, 162.59385681152344]","[125.40206909179688, 153.40863037109375]","[141.01858520507812, 132.997802734375]","[143.1931610107422, 96.05889129638672]","[143.51004028320312, 66.4645767211914]","[141.93646240234375, 43.4017448425293]","[120.17237854003906, 136.27688598632812]","[115.88884735107422, 104.4534683227539]","[119.18567657470703, 111.89287567138672]","[121.80265808105469, 124.69359588623047]","[101.8099594116211, 144.1772918701172]","[93.73619079589844, 120.61289978027344]","[102.09197235107422, 137.40594482421875]","[106.79698944091797, 153.73876953125]","[84.07057189941406, 154.34515380859375]","[79.79571533203125, 139.80593872070312]","[91.03196716308594, 150.09434509277344]","[98.05006408691406, 161.52658081054688]"
"[124.2052993774414, 225.29391479492188]","[151.08905029296875, 204.4029541015625]","[163.734375, 182.07432556152344]","[149.88827514648438, 162.8949737548828]","[129.32789611816406, 151.11160278320312]","[147.91795349121094, 128.8730926513672]","[148.8238983154297, 89.10237121582031]","[150.71253967285156, 63.879207611083984]","[151.57281494140625, 48.080833435058594]","[125.9191665649414, 129.90362548828125]","[119.66781616210938, 96.87714385986328]","[123.47122955322266, 108.03162384033203]","[125.72406005859375, 123.16891479492188]","[105.83885192871094, 136.9099884033203]","[97.97664642333984, 112.84937286376953]","[107.64617919921875, 134.89561462402344]","[112.4324722290039, 151.54010009765625]","[87.35022735595703, 147.01278686523438]","[84.65819549560547, 133.59799194335938]","[94.26934814453125, 148.40109252929688]","[100.26861572265625, 160.5603485107422]"
"[118.64341735839844, 234.4885711669922]","[150.84445190429688, 213.1469268798828]","[162.48468017578125, 186.53492736816406]","[150.06614685058594, 165.1352081298828]","[126.27354431152344, 158.25137329101562]","[139.2405242919922, 140.8115997314453]","[139.83941650390625, 99.58612060546875]","[139.58462524414062, 72.84564208984375]","[136.83274841308594, 54.93268585205078]","[118.88435363769531, 144.17770385742188]","[116.60716247558594, 109.72119903564453]","[122.56168365478516, 113.96272277832031]","[123.95281219482422, 124.47909545898438]","[99.3150863647461, 152.80667114257812]","[95.18184661865234, 124.28524017333984]","[108.57308197021484, 139.08937072753906]","[113.55635070800781, 154.54989624023438]","[82.00637817382812, 162.52589416503906]","[82.0274429321289, 144.21896362304688]","[97.93384552001953, 155.58297729492188]","[107.05876922607422, 170.5512237548828]"
"[123.38240814208984, 232.81765747070312]","[151.7447509765625, 211.1804962158203]","[163.91387939453125, 185.84669494628906]","[152.54791259765625, 162.71568298339844]","[127.98986053466797, 154.3863067626953]","[141.50039672851562, 138.10494995117188]","[141.97769165039062, 98.21546173095703]","[140.82887268066406, 69.42296600341797]","[136.82789611816406, 48.951229095458984]","[121.17792510986328, 140.18870544433594]","[118.71614074707031, 102.32447052001953]","[125.79912567138672, 102.9346694946289]","[130.07989501953125, 111.92532348632812]","[101.26660919189453, 148.7461395263672]","[96.76618957519531, 117.16326904296875]","[109.90046691894531, 135.25872802734375]","[115.53851318359375, 155.1494140625]","[82.28694152832031, 159.5703887939453]","[81.42227935791016, 137.7406463623047]","[97.1690444946289, 149.2951202392578]","[107.9536361694336, 165.44357299804688]"
"[123.44512939453125, 237.84475708007812]","[151.72154235839844, 215.20977783203125]","[165.16224670410156, 189.76089477539062]","[153.8988494873047, 168.2928466796875]","[130.04869079589844, 160.72787475585938]","[141.75035095214844, 145.8123779296875]","[140.1536865234375, 107.7338638305664]","[139.64419555664062, 80.33055114746094]","[137.37060546875, 59.52653503417969]","[123.94816589355469, 147.88636779785156]","[120.2995834350586, 114.70916748046875]","[130.196533203125, 129.6652374267578]","[136.20680236816406, 147.4168701171875]","[105.52056121826172, 154.84873962402344]","[99.01591491699219, 124.06375885009766]","[113.23185729980469, 144.4811248779297]","[120.90612030029297, 164.43585205078125]","[87.98908233642578, 164.66653442382812]","[85.69515991210938, 143.06307983398438]","[100.64168548583984, 154.64573669433594]","[112.19239807128906, 171.28744506835938]"
"[123.29362487792969, 238.71356201171875]","[152.89820861816406, 215.0071258544922]","[164.55029296875, 189.8643798828125]","[152.4403076171875, 167.68775939941406]","[131.0639190673828, 159.1958465576172]","[140.53573608398438, 146.6837158203125]","[139.81434631347656, 107.5960693359375]","[139.6049041748047, 79.62129974365234]","[138.0975341796875, 58.632381439208984]","[122.96236419677734, 148.68116760253906]","[120.24464416503906, 113.50623321533203]","[129.90599060058594, 125.01875305175781]","[136.2209930419922, 141.04241943359375]","[104.1357650756836, 155.15110778808594]","[99.22785186767578, 122.95960235595703]","[112.62255859375, 141.9289093017578]","[119.5307388305664, 162.4368896484375]","[85.7271728515625, 163.6735382080078]","[84.36072540283203, 140.70858764648438]","[98.19992065429688, 151.29977416992188]","[108.4807357788086, 167.93943786621094]"
"[121.61416625976562, 234.18295288085938]","[153.74295043945312, 210.66220092773438]","[163.77210998535156, 182.7720947265625]","[148.69007873535156, 157.244140625]","[125.28083801269531, 149.89959716796875]","[136.890380859375, 141.42684936523438]","[134.40560913085938, 100.0990982055664]","[132.75563049316406, 72.00724792480469]","[129.0764617919922, 50.7676887512207]","[117.33829498291016, 144.0727996826172]","[113.29595184326172, 104.97127532958984]","[122.64122772216797, 104.38140869140625]","[127.6281967163086, 112.01940155029297]","[97.55248260498047, 152.94842529296875]","[91.11705017089844, 118.9247817993164]","[106.96499633789062, 134.38333129882812]","[113.95259857177734, 152.86277770996094]","[79.43067932128906, 163.74998474121094]","[77.52813720703125, 142.1114501953125]","[94.14269256591797, 152.6735382080078]","[104.64266204833984, 167.31077575683594]"
"[120.95734405517578, 233.23452758789062]","[148.5813751220703, 206.57530212402344]","[156.88021850585938, 179.1848602294922]","[139.2917938232422, 155.4484405517578]","[114.84265899658203, 147.6610870361328]","[137.3724365234375, 141.78282165527344]","[135.74668884277344, 102.49750518798828]","[135.04678344726562, 75.24060821533203]","[131.46533203125, 54.280555725097656]","[117.97213745117188, 142.5464630126953]","[112.93852996826172, 104.40715026855469]","[119.93646240234375, 101.73141479492188]","[124.1610107421875, 106.13328552246094]","[99.08677673339844, 151.05638122558594]","[91.30253601074219, 116.45793151855469]","[104.52471923828125, 132.77618408203125]","[109.81196594238281, 150.4250946044922]","[82.05903625488281, 161.81497192382812]","[79.42790985107422, 140.93264770507812]","[93.53378295898438, 153.58084106445312]","[102.02997589111328, 168.84906005859375]"
