point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[110.3386001586914, 242.947021484375]","[148.1394500732422, 220.31146240234375]","[157.36468505859375, 190.47903442382812]","[160.0059356689453, 165.80702209472656]","[151.45919799804688, 152.41993713378906]","[116.96534729003906, 137.32742309570312]","[141.2025146484375, 113.79083251953125]","[156.00975036621094, 107.91256713867188]","[163.87416076660156, 107.19932556152344]","[110.88026428222656, 130.6543731689453]","[146.35879516601562, 108.8349609375]","[165.63710021972656, 130.0717315673828]","[169.0509490966797, 152.97039794921875]","[110.51948547363281, 128.2940673828125]","[142.93923950195312, 105.34974670410156]","[162.7652130126953, 128.2237548828125]","[168.84658813476562, 149.8357696533203]","[112.99376678466797, 125.91815185546875]","[132.35533142089844, 101.14601135253906]","[149.17257690429688, 113.9426498413086]","[156.464111328125, 128.95802307128906]"
"[114.29568481445312, 238.97923278808594]","[149.80978393554688, 223.40304565429688]","[152.64505004882812, 195.31668090820312]","[152.87600708007812, 170.43496704101562]","[144.28895568847656, 156.26901245117188]","[115.05912017822266, 148.71658325195312]","[137.96072387695312, 125.54653930664062]","[153.34388732910156, 122.84291076660156]","[162.8294677734375, 120.96099853515625]","[111.37628173828125, 139.93035888671875]","[147.85511779785156, 119.66621398925781]","[164.80386352539062, 139.8833465576172]","[167.0475311279297, 161.5189666748047]","[113.576904296875, 132.5547637939453]","[149.93621826171875, 112.21753692626953]","[168.8462677001953, 135.13754272460938]","[172.21743774414062, 157.58132934570312]","[118.29818725585938, 125.89583587646484]","[137.5466766357422, 95.00908660888672]","[153.9514617919922, 97.73410034179688]","[163.6581268310547, 108.51419830322266]"
"[110.63861846923828, 238.16049194335938]","[151.182861328125, 221.9587860107422]","[162.71865844726562, 197.8643798828125]","[162.49781799316406, 180.61737060546875]","[147.24110412597656, 171.29554748535156]","[125.1591567993164, 146.40423583984375]","[144.64886474609375, 121.85082244873047]","[152.24159240722656, 123.6204833984375]","[155.72413635253906, 123.445068359375]","[114.76350402832031, 138.10919189453125]","[141.1199493408203, 112.66171264648438]","[151.42355346679688, 125.16572570800781]","[152.3732452392578, 142.0107421875]","[109.8187255859375, 134.70826721191406]","[134.15151977539062, 105.69679260253906]","[145.43231201171875, 117.8467788696289]","[147.81410217285156, 134.7708282470703]","[108.48999786376953, 134.07208251953125]","[121.21336364746094, 100.03437042236328]","[129.64239501953125, 100.81790161132812]","[133.43324279785156, 110.86033630371094]"
"[117.47288513183594, 232.8915252685547]","[157.60899353027344, 208.00302124023438]","[158.23751831054688, 182.17784118652344]","[157.15513610839844, 161.1348419189453]","[149.00341796875, 151.6791534423828]","[122.04812622070312, 128.46011352539062]","[130.3934326171875, 103.25902557373047]","[137.72610473632812, 96.38145446777344]","[147.32510375976562, 93.87638854980469]","[111.41926574707031, 122.06475830078125]","[127.24758911132812, 91.05370330810547]","[143.39930725097656, 93.50856018066406]","[153.02084350585938, 104.86233520507812]","[106.50836944580078, 120.37692260742188]","[123.51078796386719, 93.01956176757812]","[143.1348419189453, 100.89966583251953]","[153.76852416992188, 114.74075317382812]","[105.20480346679688, 120.50003814697266]","[116.18611145019531, 96.05459594726562]","[131.1240234375, 100.03456115722656]","[141.0283660888672, 112.29779052734375]"
"[121.51716613769531, 241.1548614501953]","[159.40444946289062, 213.432373046875]","[164.95164489746094, 179.4127197265625]","[158.77647399902344, 151.24462890625]","[144.7146759033203, 143.57980346679688]","[136.00045776367188, 136.88287353515625]","[151.5568084716797, 114.7684326171875]","[160.7124481201172, 111.99227905273438]","[164.38026428222656, 110.98362731933594]","[123.4520034790039, 130.80967712402344]","[141.92555236816406, 98.625]","[157.6237030029297, 108.58679962158203]","[159.45693969726562, 125.6836929321289]","[114.16761016845703, 131.0476531982422]","[132.44619750976562, 100.3265609741211]","[147.84255981445312, 124.33582305908203]","[151.0074920654297, 148.03375244140625]","[106.74053192138672, 134.14111328125]","[119.40532684326172, 103.39998626708984]","[132.94204711914062, 118.22811889648438]","[139.340087890625, 135.78192138671875]"
"[117.85648345947266, 243.887939453125]","[155.77557373046875, 218.73556518554688]","[164.80990600585938, 177.3431854248047]","[157.73049926757812, 145.0501251220703]","[135.8502655029297, 137.136962890625]","[143.03884887695312, 141.52740478515625]","[161.70777893066406, 112.49168395996094]","[165.9066619873047, 125.95863342285156]","[163.2921142578125, 138.48240661621094]","[120.43407440185547, 136.3152313232422]","[134.10769653320312, 95.2692642211914]","[145.6342010498047, 111.22394561767578]","[145.80499267578125, 127.11803436279297]","[101.2427978515625, 138.6781768798828]","[115.36888122558594, 98.97236633300781]","[124.35294342041016, 121.48054504394531]","[125.0224838256836, 142.36697387695312]","[86.70903778076172, 145.7836151123047]","[96.33543395996094, 107.36178588867188]","[109.3666763305664, 119.05894470214844]","[117.48722839355469, 135.04269409179688]"
"[120.79454803466797, 236.9586639404297]","[156.1676483154297, 216.2997589111328]","[166.81069946289062, 179.34349060058594]","[161.5429229736328, 152.7239227294922]","[140.92393493652344, 148.76116943359375]","[152.6230926513672, 139.9424591064453]","[163.41783142089844, 109.74808502197266]","[162.39776611328125, 124.05644989013672]","[157.77670288085938, 136.6747589111328]","[126.88990783691406, 131.45399475097656]","[134.90792846679688, 96.67415618896484]","[141.20640563964844, 118.74669647216797]","[140.13584899902344, 136.4237060546875]","[106.13821411132812, 133.4901885986328]","[112.70329284667969, 100.44107818603516]","[116.64107513427734, 125.35234832763672]","[117.10758972167969, 146.41915893554688]","[89.45256042480469, 142.00709533691406]","[93.32402038574219, 110.96720123291016]","[103.98934936523438, 123.99923706054688]","[111.2749252319336, 139.0836181640625]"
"[120.3506851196289, 237.34120178222656]","[157.4109649658203, 208.76478576660156]","[165.60000610351562, 172.345458984375]","[157.40298461914062, 147.3793182373047]","[136.090087890625, 144.4071807861328]","[154.2331085205078, 144.21322631835938]","[162.63609313964844, 114.7719497680664]","[164.21554565429688, 132.4573516845703]","[160.25381469726562, 146.50830078125]","[128.3970184326172, 137.9119873046875]","[139.71450805664062, 101.2303237915039]","[148.35740661621094, 129.31069946289062]","[145.38853454589844, 147.42037963867188]","[107.05817413330078, 138.70314025878906]","[114.4063720703125, 102.20484924316406]","[120.92671203613281, 130.43563842773438]","[121.13284301757812, 152.9510498046875]","[87.39375305175781, 143.35357666015625]","[93.97771453857422, 114.74726867675781]","[105.2429428100586, 134.14573669433594]","[111.82066345214844, 152.3423614501953]"
"[119.029296875, 237.03262329101562]","[159.3465576171875, 210.989990234375]","[170.68104553222656, 176.66738891601562]","[163.18992614746094, 150.75001525878906]","[143.18484497070312, 149.06878662109375]","[153.54576110839844, 136.32240295410156]","[167.54263305664062, 109.34306335449219]","[166.92286682128906, 128.60826110839844]","[159.57997131347656, 141.314208984375]","[127.11298370361328, 130.64881896972656]","[140.127197265625, 98.86079406738281]","[144.07249450683594, 131.4345703125]","[137.67677307128906, 145.51651000976562]","[105.44852447509766, 134.4556427001953]","[116.57501983642578, 102.99456787109375]","[120.00750732421875, 133.0682373046875]","[114.88085174560547, 149.9706573486328]","[85.3568344116211, 143.34666442871094]","[93.55945587158203, 117.68048858642578]","[102.46672058105469, 136.8705291748047]","[103.99125671386719, 151.38739013671875]"
"[123.24485778808594, 237.66917419433594]","[160.44342041015625, 212.97314453125]","[173.95443725585938, 177.20040893554688]","[170.65737915039062, 152.90420532226562]","[153.06353759765625, 148.20359802246094]","[153.66281127929688, 138.96981811523438]","[161.0670623779297, 106.31901550292969]","[161.78631591796875, 117.67414093017578]","[160.06166076660156, 129.12278747558594]","[130.28628540039062, 135.76690673828125]","[142.68099975585938, 102.80504608154297]","[151.19178771972656, 125.5328369140625]","[148.791015625, 142.50735473632812]","[110.88797760009766, 138.81488037109375]","[119.95606231689453, 107.14717102050781]","[128.20106506347656, 132.19920349121094]","[129.1148681640625, 154.1826171875]","[91.97468566894531, 147.38845825195312]","[99.5560073852539, 118.0454330444336]","[111.25144958496094, 131.50006103515625]","[116.4931411743164, 147.23472595214844]"
