point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[118.48458099365234, 241.4403839111328]","[148.3426513671875, 220.35293579101562]","[168.42674255371094, 196.59542846679688]","[172.8456268310547, 182.0801239013672]","[158.18975830078125, 176.41551208496094]","[145.9800567626953, 157.1138458251953]","[154.177978515625, 137.79788208007812]","[153.78431701660156, 158.09246826171875]","[153.63104248046875, 174.88467407226562]","[124.43656158447266, 151.48878479003906]","[128.76144409179688, 112.76420593261719]","[127.684326171875, 89.57098388671875]","[130.441650390625, 68.14810180664062]","[106.16554260253906, 155.03176879882812]","[111.35508728027344, 122.25084686279297]","[112.8808364868164, 102.31234741210938]","[117.4896240234375, 83.71832275390625]","[86.79972839355469, 166.02195739746094]","[81.28178405761719, 139.7518310546875]","[80.52415466308594, 123.0271987915039]","[85.14554595947266, 103.91869354248047]"
"[115.86762237548828, 237.6436004638672]","[147.7696075439453, 219.76727294921875]","[168.00924682617188, 197.9671173095703]","[169.92970275878906, 178.05685424804688]","[150.3109893798828, 167.02108764648438]","[143.25704956054688, 162.0688018798828]","[152.3166961669922, 139.3807830810547]","[154.43936157226562, 155.35365295410156]","[154.76002502441406, 169.30760192871094]","[120.24473571777344, 155.751953125]","[124.66548156738281, 112.65861511230469]","[124.54499816894531, 86.66490173339844]","[126.61288452148438, 65.08504486083984]","[101.16629791259766, 158.69039916992188]","[107.0990219116211, 123.77379608154297]","[107.6465835571289, 103.33221435546875]","[109.88888549804688, 85.14598083496094]","[81.3868408203125, 167.79811096191406]","[76.27021026611328, 138.0645751953125]","[76.34857177734375, 121.53601837158203]","[78.63883209228516, 105.8019790649414]"
"[117.01568603515625, 237.43142700195312]","[145.7058868408203, 222.5921173095703]","[166.845947265625, 201.45693969726562]","[170.63836669921875, 180.2673797607422]","[152.22726440429688, 166.59519958496094]","[141.84793090820312, 163.1466827392578]","[152.8721160888672, 138.7299041748047]","[154.65731811523438, 155.1486053466797]","[155.2025604248047, 170.74252319335938]","[119.01612091064453, 155.68418884277344]","[125.16425323486328, 110.9527587890625]","[124.55638122558594, 83.52659606933594]","[127.65190887451172, 59.33019256591797]","[100.04841613769531, 158.87603759765625]","[104.31420135498047, 121.72476959228516]","[103.05007934570312, 99.23338317871094]","[105.08281707763672, 79.52462005615234]","[80.56890106201172, 168.60659790039062]","[73.39820861816406, 136.7769317626953]","[70.9957504272461, 118.80001068115234]","[73.37998962402344, 100.26763916015625]"
"[118.5517807006836, 239.70632934570312]","[148.9445343017578, 223.29710388183594]","[170.44235229492188, 200.70567321777344]","[172.25628662109375, 179.44497680664062]","[149.7696533203125, 168.5095977783203]","[144.03292846679688, 163.40074157714844]","[152.750732421875, 137.0663299560547]","[154.51577758789062, 153.1307830810547]","[154.60914611816406, 168.2555389404297]","[120.88372802734375, 156.43008422851562]","[126.47447204589844, 111.56531524658203]","[126.14900970458984, 85.050048828125]","[129.5489959716797, 62.656681060791016]","[101.7708511352539, 159.3797607421875]","[106.39984893798828, 122.56874084472656]","[105.37369537353516, 101.2199478149414]","[108.03202819824219, 82.77302551269531]","[81.5180435180664, 169.19686889648438]","[74.26251983642578, 137.7540740966797]","[72.26152801513672, 120.65215301513672]","[75.53034210205078, 103.64729309082031]"
"[120.84651947021484, 240.5166778564453]","[150.93484497070312, 220.08045959472656]","[167.41983032226562, 199.970703125]","[170.51036071777344, 182.39439392089844]","[155.11334228515625, 169.62417602539062]","[148.4489288330078, 161.86215209960938]","[153.92184448242188, 138.1825408935547]","[154.20388793945312, 151.68638610839844]","[154.564208984375, 166.77407836914062]","[126.26484680175781, 155.94317626953125]","[127.6986083984375, 115.1781997680664]","[127.32542419433594, 88.77037811279297]","[130.97462463378906, 66.85131072998047]","[106.90290069580078, 159.18223571777344]","[110.39200592041016, 123.86112976074219]","[111.76359558105469, 100.11738586425781]","[115.95651245117188, 79.78033447265625]","[86.09876251220703, 169.75509643554688]","[79.08118438720703, 141.4951629638672]","[78.51541137695312, 122.61783599853516]","[81.61427307128906, 103.68900299072266]"
"[121.29573059082031, 239.9735870361328]","[150.21653747558594, 222.39576721191406]","[168.9916229248047, 202.31045532226562]","[172.54331970214844, 183.9382781982422]","[155.75465393066406, 171.27243041992188]","[148.9851837158203, 163.26687622070312]","[156.2678680419922, 140.26063537597656]","[156.89500427246094, 154.92935180664062]","[156.5662384033203, 169.5641326904297]","[126.03954315185547, 156.14511108398438]","[130.241943359375, 114.49486541748047]","[130.17144775390625, 87.94379425048828]","[133.63848876953125, 65.48147583007812]","[106.37483215332031, 159.21826171875]","[110.39191436767578, 123.4024658203125]","[111.6636734008789, 99.22516632080078]","[115.92119598388672, 78.26785278320312]","[85.13008880615234, 169.44712829589844]","[77.06072998046875, 139.94760131835938]","[76.67813110351562, 120.98576354980469]","[80.51383972167969, 101.95671844482422]"
"[116.54441833496094, 239.7930450439453]","[146.11349487304688, 224.5286102294922]","[168.58203125, 205.09597778320312]","[172.8501739501953, 185.51173400878906]","[153.4626007080078, 173.5302734375]","[145.0056915283203, 165.50564575195312]","[155.26560974121094, 142.7063446044922]","[157.54547119140625, 158.50439453125]","[158.53628540039062, 173.0004119873047]","[122.32426452636719, 157.52340698242188]","[128.57723999023438, 115.8319091796875]","[130.0436248779297, 89.4163818359375]","[133.2888946533203, 67.0865478515625]","[103.60952758789062, 159.5393524169922]","[110.02347564697266, 125.7249755859375]","[111.61502838134766, 102.93434143066406]","[115.26129913330078, 82.84626770019531]","[82.98863220214844, 168.86953735351562]","[77.97986602783203, 139.2847900390625]","[77.5931167602539, 120.19284057617188]","[80.22097778320312, 102.12445068359375]"
"[116.91011810302734, 237.4847412109375]","[147.3049774169922, 220.04611206054688]","[170.33778381347656, 199.78073120117188]","[179.08399963378906, 182.38104248046875]","[165.14056396484375, 169.7298126220703]","[144.68463134765625, 158.76217651367188]","[157.19821166992188, 139.27001953125]","[161.0001983642578, 159.6705322265625]","[161.9207763671875, 176.99522399902344]","[123.7357406616211, 152.33099365234375]","[129.1759033203125, 112.61235046386719]","[131.8561248779297, 87.85652160644531]","[136.77633666992188, 64.41584777832031]","[106.7464370727539, 155.3518829345703]","[112.10957336425781, 122.55171203613281]","[114.13348388671875, 100.16090393066406]","[118.35926818847656, 78.9344253540039]","[87.79715728759766, 165.86915588378906]","[83.03318786621094, 138.4287567138672]","[83.05191802978516, 119.35895538330078]","[86.4700698852539, 99.57728576660156]"
"[124.95145416259766, 233.4635772705078]","[158.502197265625, 218.1669464111328]","[181.5297088623047, 198.42942810058594]","[188.636962890625, 180.14195251464844]","[172.9185333251953, 168.26119995117188]","[156.25904846191406, 155.51766967773438]","[163.60760498046875, 132.80780029296875]","[164.90187072753906, 149.63397216796875]","[163.49710083007812, 165.48956298828125]","[133.72792053222656, 148.54141235351562]","[136.8182830810547, 109.38679504394531]","[138.4512481689453, 83.35903930664062]","[141.8195343017578, 57.370201110839844]","[113.50521850585938, 151.2807159423828]","[117.58489227294922, 117.91255187988281]","[118.85964965820312, 94.79374694824219]","[120.60775756835938, 72.63375091552734]","[90.68327331542969, 162.45883178710938]","[86.5906982421875, 135.16993713378906]","[85.96726989746094, 115.84526062011719]","[86.36786651611328, 94.9172592163086]"
"[125.24349975585938, 233.3632049560547]","[156.91024780273438, 219.71145629882812]","[178.54078674316406, 200.54037475585938]","[184.99192810058594, 182.99777221679688]","[167.35755920410156, 171.26222229003906]","[155.9088134765625, 151.97802734375]","[159.8140106201172, 130.13174438476562]","[158.4368133544922, 147.91348266601562]","[155.78672790527344, 163.96478271484375]","[134.0819091796875, 146.3302764892578]","[136.77662658691406, 108.63595581054688]","[136.4683074951172, 84.16881561279297]","[138.7305450439453, 58.630126953125]","[112.95639038085938, 149.2950439453125]","[115.5728988647461, 115.89411163330078]","[115.60894012451172, 92.00627899169922]","[117.38581848144531, 69.08233642578125]","[88.54090881347656, 161.66836547851562]","[83.43968200683594, 133.71047973632812]","[82.13885498046875, 114.0056381225586]","[82.88521575927734, 92.25213623046875]"
"[123.25819396972656, 235.1580047607422]","[154.83189392089844, 220.3882598876953]","[175.02658081054688, 201.53172302246094]","[182.59158325195312, 183.3704071044922]","[167.17288208007812, 168.79360961914062]","[152.55169677734375, 152.98062133789062]","[158.61624145507812, 130.12252807617188]","[158.35386657714844, 146.67942810058594]","[156.76895141601562, 162.08792114257812]","[130.8483428955078, 146.99029541015625]","[134.75326538085938, 109.42167663574219]","[135.14309692382812, 85.47411346435547]","[138.03353881835938, 60.986331939697266]","[110.56612396240234, 149.74998474121094]","[113.94095611572266, 117.24256134033203]","[114.58782958984375, 94.15764617919922]","[116.95968627929688, 71.94579315185547]","[87.46607208251953, 161.84324645996094]","[83.10449981689453, 134.78248596191406]","[81.65998077392578, 114.93206024169922]","[82.51094818115234, 93.84738159179688]"
"[117.68949127197266, 238.73460388183594]","[150.08518981933594, 224.9749298095703]","[173.27169799804688, 206.3177490234375]","[181.85214233398438, 189.8313751220703]","[165.6490936279297, 177.4476318359375]","[146.64181518554688, 164.58766174316406]","[157.43011474609375, 139.90478515625]","[161.0729217529297, 157.71205139160156]","[164.0612030029297, 174.56777954101562]","[124.74922943115234, 156.8520965576172]","[131.1026611328125, 115.4371566772461]","[134.00750732421875, 90.3902816772461]","[139.0333251953125, 70.07006072998047]","[106.61858367919922, 157.68504333496094]","[113.25694274902344, 123.79400634765625]","[116.1964111328125, 101.28412628173828]","[121.26419067382812, 82.96614074707031]","[86.5909423828125, 166.03236389160156]","[82.8392333984375, 138.61683654785156]","[83.85690307617188, 120.86309051513672]","[89.0572280883789, 103.64253997802734]"
"[121.91423797607422, 239.9573974609375]","[149.88226318359375, 220.8614959716797]","[169.77174377441406, 199.61434936523438]","[175.45404052734375, 182.58981323242188]","[158.90684509277344, 171.89418029785156]","[148.05923461914062, 162.32418823242188]","[157.48980712890625, 137.51904296875]","[159.51255798339844, 152.1166229248047]","[159.99456787109375, 167.6714630126953]","[125.58683013916016, 154.88986206054688]","[129.5325164794922, 113.50593566894531]","[130.76803588867188, 87.056884765625]","[134.9967041015625, 64.20817565917969]","[105.74490356445312, 158.1544952392578]","[110.44356536865234, 122.2389144897461]","[111.98148345947266, 99.00349426269531]","[116.15656280517578, 78.50713348388672]","[84.73359680175781, 169.74722290039062]","[77.83855438232422, 141.07574462890625]","[76.74517059326172, 122.32693481445312]","[79.26132202148438, 101.99848175048828]"
"[116.39738464355469, 242.26304626464844]","[142.14732360839844, 227.89266967773438]","[165.2639617919922, 210.5275115966797]","[172.61700439453125, 195.05612182617188]","[157.44577026367188, 187.82333374023438]","[143.29168701171875, 169.97898864746094]","[154.66932678222656, 148.8662567138672]","[158.12522888183594, 158.95199584960938]","[161.30130004882812, 167.10826110839844]","[122.63571166992188, 163.32679748535156]","[128.4346923828125, 121.34407806396484]","[131.3150634765625, 94.12582397460938]","[134.95950317382812, 72.55377960205078]","[104.8929443359375, 164.0163116455078]","[107.70872497558594, 129.7036895751953]","[110.4838638305664, 106.57849884033203]","[115.36475372314453, 86.07563781738281]","[86.79713439941406, 172.62779235839844]","[81.98526000976562, 145.80093383789062]","[81.00456237792969, 125.53523254394531]","[84.27709197998047, 103.03961181640625]"
"[120.03257751464844, 240.72293090820312]","[150.4644012451172, 225.2263641357422]","[175.23370361328125, 203.88702392578125]","[181.33506774902344, 190.6209259033203]","[160.7830810546875, 185.62477111816406]","[149.7420654296875, 165.12478637695312]","[159.11294555664062, 142.97512817382812]","[161.8609619140625, 161.2093048095703]","[164.32017517089844, 175.73475646972656]","[123.16290283203125, 160.54531860351562]","[127.9637451171875, 114.97711181640625]","[128.2516632080078, 90.0571060180664]","[130.21994018554688, 70.00396728515625]","[99.77957153320312, 163.64479064941406]","[103.11804962158203, 124.56249237060547]","[101.85974884033203, 100.88737487792969]","[102.77780151367188, 80.35078430175781]","[78.480712890625, 174.6046142578125]","[74.67147064208984, 141.39805603027344]","[72.96656799316406, 120.2742691040039]","[74.90563201904297, 99.4653549194336]"
"[123.9880599975586, 237.83421325683594]","[151.13214111328125, 221.9975128173828]","[170.6721954345703, 199.32374572753906]","[176.42327880859375, 179.6548309326172]","[158.12713623046875, 169.48170471191406]","[146.3212890625, 153.98211669921875]","[153.84255981445312, 132.0423583984375]","[156.98651123046875, 146.07272338867188]","[159.41810607910156, 156.9530792236328]","[124.82508850097656, 148.16371154785156]","[127.27405548095703, 109.24092864990234]","[126.48652648925781, 86.86175537109375]","[127.08885955810547, 63.24873733520508]","[103.42974853515625, 153.18319702148438]","[101.99240112304688, 119.00947570800781]","[97.61576080322266, 100.1520767211914]","[97.71495819091797, 80.43692016601562]","[83.00897979736328, 167.00975036621094]","[75.47579193115234, 138.294921875]","[70.75267028808594, 122.13053131103516]","[71.10380554199219, 103.61042022705078]"
"[133.77444458007812, 242.27359008789062]","[164.2891082763672, 221.2211151123047]","[180.44241333007812, 195.1992645263672]","[181.33480834960938, 176.2735137939453]","[155.214111328125, 171.22189331054688]","[151.0808563232422, 162.90792846679688]","[156.3054656982422, 140.99349975585938]","[160.901611328125, 154.78750610351562]","[163.00509643554688, 166.5247039794922]","[127.54515075683594, 160.83204650878906]","[127.42601776123047, 115.3287353515625]","[127.0227279663086, 87.8521728515625]","[126.8835220336914, 64.12162780761719]","[105.38642120361328, 167.13818359375]","[106.85133361816406, 126.57701110839844]","[102.92688751220703, 102.83062744140625]","[101.97859191894531, 81.14948272705078]","[83.79165649414062, 179.86253356933594]","[78.2221908569336, 145.2968292236328]","[75.31137084960938, 124.91472625732422]","[75.50060272216797, 103.36727142333984]"
"[127.28646087646484, 233.55227661132812]","[159.9842987060547, 216.73741149902344]","[177.57666015625, 195.49017333984375]","[182.72178649902344, 175.99159240722656]","[162.24575805664062, 164.29014587402344]","[152.10922241210938, 154.2098388671875]","[157.6729736328125, 129.66310119628906]","[161.5660400390625, 146.64271545410156]","[164.1453094482422, 162.03155517578125]","[128.7071075439453, 148.60072326660156]","[127.67875671386719, 104.67559051513672]","[127.68484497070312, 78.38751220703125]","[130.58596801757812, 53.34218215942383]","[106.35575866699219, 152.1068878173828]","[103.5148696899414, 114.26554870605469]","[100.55533599853516, 91.89956665039062]","[102.61286163330078, 69.7328109741211]","[84.78897857666016, 163.64263916015625]","[76.68131256103516, 130.9217987060547]","[73.8642807006836, 112.78323364257812]","[75.21366119384766, 93.34967041015625]"
"[124.6168441772461, 232.33343505859375]","[157.2397003173828, 217.76649475097656]","[177.5364227294922, 200.00686645507812]","[181.74990844726562, 182.0110626220703]","[158.85621643066406, 172.29408264160156]","[150.36045837402344, 155.7141571044922]","[155.40560913085938, 129.76168823242188]","[158.88864135742188, 144.3286590576172]","[161.91433715820312, 156.79930114746094]","[125.96073150634766, 149.7866973876953]","[127.24871063232422, 102.43150329589844]","[127.35823822021484, 75.54544830322266]","[128.85218811035156, 50.471771240234375]","[103.0858383178711, 154.09910583496094]","[101.260986328125, 112.9985122680664]","[97.45195007324219, 90.63508605957031]","[97.1417236328125, 69.4827651977539]","[81.43180084228516, 165.3094024658203]","[75.53390502929688, 129.62066650390625]","[71.54999542236328, 111.70491790771484]","[70.76154327392578, 92.00804138183594]"
"[126.53990936279297, 238.09104919433594]","[162.61741638183594, 220.84715270996094]","[180.67576599121094, 205.03211975097656]","[184.9359588623047, 191.2709503173828]","[166.2428741455078, 178.58425903320312]","[157.26275634765625, 156.08331298828125]","[160.3654327392578, 136.09359741210938]","[162.41702270507812, 149.1759796142578]","[165.2071075439453, 161.3722381591797]","[131.11166381835938, 148.7747344970703]","[133.56065368652344, 110.75692749023438]","[136.7085418701172, 87.32770538330078]","[140.77488708496094, 65.896484375]","[107.06706237792969, 150.73165893554688]","[105.54740142822266, 116.58440399169922]","[101.96693420410156, 95.4476547241211]","[102.93169403076172, 76.27275085449219]","[87.06620788574219, 163.09962463378906]","[83.7223129272461, 134.08090209960938]","[80.66964721679688, 116.3761978149414]","[80.20578002929688, 98.93224334716797]"
