point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[129.67596435546875, 228.71142578125]","[168.33004760742188, 206.45045471191406]","[174.38577270507812, 171.7086944580078]","[163.3633270263672, 143.44630432128906]","[148.54116821289062, 129.4020538330078]","[156.1510009765625, 136.62835693359375]","[138.09786987304688, 96.95105743408203]","[131.98934936523438, 73.18080139160156]","[125.31812286376953, 54.731201171875]","[132.92771911621094, 146.31495666503906]","[123.30573272705078, 130.63629150390625]","[131.9291229248047, 161.9463348388672]","[134.12301635742188, 175.990478515625]","[111.09628295898438, 156.43338012695312]","[106.61476135253906, 147.17752075195312]","[118.0789566040039, 174.01560974121094]","[120.20272827148438, 184.4370574951172]","[90.85418701171875, 164.90138244628906]","[90.28270721435547, 157.55813598632812]","[98.5404052734375, 176.00772094726562]","[99.45452117919922, 184.717041015625]"
"[131.835693359375, 230.3621826171875]","[170.58648681640625, 209.26675415039062]","[176.37457275390625, 174.6853790283203]","[164.40896606445312, 147.8750457763672]","[150.2139129638672, 134.19273376464844]","[157.9354705810547, 138.1511993408203]","[139.40126037597656, 98.60811614990234]","[133.08987426757812, 73.81455993652344]","[126.22949981689453, 56.320579528808594]","[134.85302734375, 147.70501708984375]","[127.57783508300781, 129.6013946533203]","[136.4036865234375, 160.67530822753906]","[138.74075317382812, 175.54940795898438]","[112.66963195800781, 157.8094482421875]","[108.52825164794922, 149.8612823486328]","[121.31568908691406, 177.13699340820312]","[124.65998077392578, 188.8588104248047]","[92.1707763671875, 165.4604949951172]","[91.40233612060547, 161.13009643554688]","[101.57904052734375, 179.0795440673828]","[105.66029357910156, 188.0869903564453]"
"[131.49673461914062, 229.38958740234375]","[168.7024688720703, 209.51803588867188]","[175.87413024902344, 173.3088836669922]","[162.29058837890625, 143.59449768066406]","[147.39096069335938, 127.96003723144531]","[160.7349853515625, 135.11541748046875]","[146.3649139404297, 98.2325668334961]","[140.5570526123047, 73.08309173583984]","[132.37274169921875, 52.6756706237793]","[138.0458526611328, 143.9686737060547]","[133.46441650390625, 126.47740936279297]","[141.1232147216797, 153.8462677001953]","[142.1956787109375, 169.05210876464844]","[117.09554290771484, 153.14781188964844]","[111.68045043945312, 148.53543090820312]","[124.43545532226562, 175.71116638183594]","[127.9769058227539, 188.64334106445312]","[96.95870208740234, 160.79107666015625]","[95.13204193115234, 161.1204376220703]","[104.86803436279297, 180.1038818359375]","[107.81976318359375, 190.13340759277344]"
"[131.8591766357422, 230.00625610351562]","[170.06661987304688, 208.9470977783203]","[175.27894592285156, 175.01222229003906]","[163.02268981933594, 147.9010772705078]","[147.57020568847656, 134.3891143798828]","[160.2001190185547, 137.8815155029297]","[145.72157287597656, 98.25076293945312]","[138.81333923339844, 73.63312530517578]","[128.90379333496094, 55.168025970458984]","[137.64691162109375, 145.7707061767578]","[131.5637969970703, 127.00614929199219]","[139.47825622558594, 155.9971160888672]","[141.1064453125, 173.01466369628906]","[116.4898681640625, 154.13694763183594]","[110.09319305419922, 145.70506286621094]","[122.85929870605469, 173.05763244628906]","[126.88404083251953, 186.89645385742188]","[96.88151550292969, 162.22328186035156]","[95.30290222167969, 158.9888458251953]","[104.63299560546875, 176.9564971923828]","[107.59913635253906, 187.56765747070312]"
"[131.79063415527344, 229.56678771972656]","[167.50596618652344, 207.07577514648438]","[175.5588836669922, 176.74464416503906]","[168.71578979492188, 147.844482421875]","[156.00628662109375, 123.46497344970703]","[161.31605529785156, 131.66265869140625]","[148.81309509277344, 90.25232696533203]","[138.8443145751953, 65.37989044189453]","[128.00738525390625, 50.40358352661133]","[139.69654846191406, 141.0325164794922]","[128.44650268554688, 126.14422607421875]","[134.21575927734375, 158.35646057128906]","[138.2506866455078, 181.0210723876953]","[118.1630859375, 148.82009887695312]","[109.95659637451172, 140.8892059326172]","[119.17363739013672, 170.6991424560547]","[123.94790649414062, 188.19761657714844]","[97.54401397705078, 154.83779907226562]","[94.43589782714844, 152.22354125976562]","[101.46467590332031, 171.8284912109375]","[106.45391082763672, 186.99435424804688]"
"[137.20947265625, 228.47023010253906]","[165.3724365234375, 209.04592895507812]","[173.04525756835938, 179.67239379882812]","[170.02552795410156, 148.10572814941406]","[158.11380004882812, 125.20482635498047]","[165.9356231689453, 138.38241577148438]","[156.7532196044922, 101.72171783447266]","[147.9158477783203, 77.63666534423828]","[137.54193115234375, 58.296695709228516]","[142.98440551757812, 138.25889587402344]","[147.96531677246094, 115.1526107788086]","[147.13035583496094, 121.30448913574219]","[142.3299102783203, 122.86646270751953]","[123.49552154541016, 145.4733123779297]","[127.14771270751953, 139.7593536376953]","[133.2353057861328, 166.3522186279297]","[134.06747436523438, 179.13258361816406]","[105.11386108398438, 151.84666442871094]","[113.40483093261719, 153.07350158691406]","[117.64266204833984, 173.58392333984375]","[116.25141906738281, 184.9925994873047]"
"[139.50352478027344, 220.8940887451172]","[140.341796875, 168.75331115722656]","[132.65927124023438, 132.2898712158203]","[125.12149810791016, 104.54084777832031]","[110.22663116455078, 89.56912231445312]","[143.33151245117188, 114.62946319580078]","[116.83287811279297, 73.75262451171875]","[98.5461196899414, 50.99382400512695]","[79.48758697509766, 41.05171585083008]","[139.45359802246094, 122.5711898803711]","[115.2181625366211, 76.4889144897461]","[96.84349822998047, 51.6930046081543]","[80.02284240722656, 37.956077575683594]","[129.2077178955078, 136.564697265625]","[96.20760345458984, 98.508056640625]","[74.45647430419922, 79.87919616699219]","[60.00950241088867, 73.61991119384766]","[116.70008087158203, 150.93954467773438]","[79.9492416381836, 126.67229461669922]","[60.5046501159668, 113.78136444091797]","[47.938568115234375, 103.54463195800781]"
"[153.10227966308594, 225.27886962890625]","[142.8429718017578, 181.78672790527344]","[128.2050323486328, 147.8285675048828]","[119.54247283935547, 119.44368743896484]","[111.00050354003906, 101.08064270019531]","[148.11801147460938, 112.55347442626953]","[103.9378433227539, 74.14046478271484]","[77.23433685302734, 58.86509704589844]","[53.84662628173828, 55.428462982177734]","[144.934326171875, 122.09264373779297]","[98.3539810180664, 77.47734069824219]","[72.24005889892578, 58.64826965332031]","[49.61185073852539, 49.472110748291016]","[133.08218383789062, 136.782470703125]","[87.42777252197266, 94.72496032714844]","[59.74264907836914, 74.14788055419922]","[39.296058654785156, 63.1079216003418]","[118.362548828125, 152.5879669189453]","[81.37946319580078, 115.62311553955078]","[63.35466003417969, 98.66083526611328]","[46.07432174682617, 88.72114562988281]"
"[149.3498077392578, 236.03805541992188]","[161.4533233642578, 220.72938537597656]","[155.10821533203125, 189.2964324951172]","[133.90771484375, 160.9730682373047]","[117.58417510986328, 126.6168441772461]","[168.83074951171875, 140.12075805664062]","[140.76588439941406, 107.96269989013672]","[118.43047332763672, 87.89547729492188]","[101.1312026977539, 76.4012451171875]","[147.91209411621094, 146.3512725830078]","[122.18460845947266, 132.141845703125]","[124.9762954711914, 151.50308227539062]","[131.73277282714844, 162.20391845703125]","[125.14948272705078, 159.60971069335938]","[104.5906982421875, 163.25404357910156]","[122.04325866699219, 183.33798217773438]","[136.11538696289062, 191.7935791015625]","[104.65239715576172, 171.9827117919922]","[95.82010650634766, 179.240966796875]","[108.7598876953125, 194.93653869628906]","[120.20037078857422, 199.84193420410156]"
"[139.743408203125, 222.03018188476562]","[127.06671142578125, 188.1908721923828]","[119.09734344482422, 154.70347595214844]","[116.09229278564453, 128.59974670410156]","[105.28227996826172, 114.97771453857422]","[138.89903259277344, 122.71903991699219]","[106.0978775024414, 84.60803985595703]","[91.55042266845703, 59.91820526123047]","[74.2777099609375, 43.374427795410156]","[139.4357147216797, 128.55506896972656]","[109.63347625732422, 82.39331817626953]","[96.93167114257812, 54.68819808959961]","[81.65972900390625, 34.32431411743164]","[132.9647216796875, 141.8221893310547]","[94.48503112792969, 105.59912109375]","[73.01248931884766, 82.85794067382812]","[56.94693374633789, 66.68962860107422]","[122.74393463134766, 156.20889282226562]","[84.8148193359375, 130.13356018066406]","[66.90325164794922, 113.34635162353516]","[51.38982391357422, 95.88585662841797]"
"[135.7862091064453, 228.90164184570312]","[170.43272399902344, 206.7564697265625]","[169.14952087402344, 174.04086303710938]","[156.42393493652344, 149.22142028808594]","[137.14906311035156, 128.239501953125]","[163.78968811035156, 126.20384979248047]","[145.54820251464844, 86.87152862548828]","[138.98765563964844, 62.378883361816406]","[132.26014709472656, 43.0147590637207]","[140.61322021484375, 134.7526397705078]","[126.58306884765625, 119.40741729736328]","[136.9755096435547, 149.67861938476562]","[141.19793701171875, 163.88270568847656]","[119.8746337890625, 144.26669311523438]","[113.72952270507812, 144.54893493652344]","[128.18728637695312, 169.6315460205078]","[133.28854370117188, 176.7566680908203]","[102.53731536865234, 155.26087951660156]","[101.69193267822266, 155.24752807617188]","[112.7464370727539, 174.25865173339844]","[115.95709991455078, 182.13412475585938]"
