point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[129.16441345214844, 224.64695739746094]","[163.6402587890625, 209.77618408203125]","[166.6073760986328, 173.82728576660156]","[144.14163208007812, 152.72279357910156]","[118.42908477783203, 146.52671813964844]","[144.4218292236328, 125.34930419921875]","[131.50645446777344, 89.25879669189453]","[122.99921417236328, 66.5238265991211]","[115.00469970703125, 45.17851638793945]","[121.3302001953125, 133.07554626464844]","[107.46637725830078, 95.8551254272461]","[98.95320892333984, 68.28298950195312]","[89.49956512451172, 44.056617736816406]","[102.27400970458984, 146.83592224121094]","[97.59614562988281, 136.59396362304688]","[118.93043518066406, 165.67453002929688]","[130.09332275390625, 186.12887573242188]","[85.84146118164062, 164.3669891357422]","[86.03511810302734, 156.59056091308594]","[103.43781280517578, 171.0020294189453]","[117.20445251464844, 184.64666748046875]"
"[131.08541870117188, 224.65576171875]","[162.78091430664062, 203.82728576660156]","[167.66400146484375, 170.76998901367188]","[143.4450225830078, 149.4923553466797]","[116.84349822998047, 145.63201904296875]","[147.82608032226562, 127.3266830444336]","[140.8679962158203, 90.7168960571289]","[137.4310760498047, 70.1334228515625]","[133.5098876953125, 50.331695556640625]","[125.58692169189453, 132.26116943359375]","[114.89584350585938, 95.24259948730469]","[109.0667953491211, 67.59445190429688]","[102.2172622680664, 43.82349395751953]","[105.96580505371094, 146.1407012939453]","[100.88845825195312, 130.74830627441406]","[118.99445343017578, 157.94888305664062]","[129.06959533691406, 176.83908081054688]","[89.74425506591797, 163.87855529785156]","[90.77864837646484, 154.88214111328125]","[105.56492614746094, 169.73411560058594]","[117.43033599853516, 182.24172973632812]"
"[132.31130981445312, 228.9013671875]","[165.2377166748047, 208.31008911132812]","[164.04937744140625, 172.6348114013672]","[142.18008422851562, 150.28021240234375]","[114.69869232177734, 140.33340454101562]","[139.1977081298828, 128.220458984375]","[122.70478820800781, 89.2078857421875]","[114.55924987792969, 68.16029357910156]","[105.41767883300781, 50.89741134643555]","[117.36421203613281, 136.5396270751953]","[97.79917907714844, 97.47701263427734]","[85.28144836425781, 70.8357162475586]","[71.11334228515625, 48.219520568847656]","[99.0272216796875, 152.03042602539062]","[91.7528305053711, 136.74588012695312]","[111.84313201904297, 162.84906005859375]","[121.79143524169922, 181.224853515625]","[84.64818572998047, 168.34921264648438]","[83.73314666748047, 159.39715576171875]","[100.63512420654297, 174.0070037841797]","[114.87890625, 187.3045654296875]"
"[133.44406127929688, 226.64752197265625]","[161.98046875, 206.3731231689453]","[163.62240600585938, 172.47589111328125]","[142.14178466796875, 154.99085998535156]","[112.80314636230469, 149.32754516601562]","[138.78578186035156, 131.29342651367188]","[125.04009246826172, 97.20037841796875]","[115.42215728759766, 75.53314971923828]","[104.8557357788086, 54.61038589477539]","[118.11785888671875, 135.22850036621094]","[100.89676666259766, 101.77264404296875]","[90.08113098144531, 74.4231185913086]","[76.58553314208984, 49.705387115478516]","[100.81083679199219, 148.6668701171875]","[91.62284851074219, 133.57107543945312]","[112.21025848388672, 159.62753295898438]","[121.14008331298828, 178.54852294921875]","[88.40088653564453, 166.73316955566406]","[86.36219787597656, 157.4827880859375]","[103.08010864257812, 173.90769958496094]","[115.83686065673828, 187.53652954101562]"
"[130.81239318847656, 222.2326202392578]","[163.05934143066406, 194.46376037597656]","[164.08689880371094, 158.28640747070312]","[143.0541229248047, 139.29283142089844]","[115.375732421875, 129.44219970703125]","[134.91497802734375, 121.6083755493164]","[125.30155944824219, 87.41244506835938]","[118.41931915283203, 64.33409881591797]","[110.75474548339844, 42.3343505859375]","[115.24176025390625, 128.3892364501953]","[96.12557220458984, 92.88677215576172]","[85.56509399414062, 62.93202209472656]","[73.153564453125, 37.9654426574707]","[97.9439697265625, 143.92710876464844]","[92.8764419555664, 125.84534454345703]","[116.36502075195312, 151.5697784423828]","[126.80622863769531, 173.38343811035156]","[85.09143829345703, 162.6894989013672]","[87.63163757324219, 153.44325256347656]","[107.67464447021484, 166.10548400878906]","[122.28718566894531, 179.5404052734375]"
"[134.72247314453125, 225.40098571777344]","[166.3096466064453, 199.62228393554688]","[165.976806640625, 163.56605529785156]","[143.8637237548828, 143.90255737304688]","[116.86222076416016, 134.6444091796875]","[139.32630920410156, 124.07584381103516]","[124.95828247070312, 90.45733642578125]","[117.30692291259766, 69.83766174316406]","[109.95577239990234, 49.851566314697266]","[118.78009796142578, 132.17181396484375]","[98.0296859741211, 97.7627944946289]","[85.66109466552734, 71.7065658569336]","[71.18582916259766, 48.71311569213867]","[101.1344223022461, 147.49700927734375]","[92.01266479492188, 132.8604736328125]","[115.53253936767578, 160.38104248046875]","[127.58011627197266, 180.70169067382812]","[86.95652770996094, 165.45309448242188]","[84.8923110961914, 156.3574676513672]","[104.49169921875, 172.57687377929688]","[120.77320098876953, 187.203125]"
"[135.38059997558594, 218.54104614257812]","[164.5138397216797, 202.197509765625]","[166.06549072265625, 168.7172088623047]","[141.1588897705078, 146.2476806640625]","[116.9897232055664, 137.0458221435547]","[145.34046936035156, 121.87810516357422]","[132.19729614257812, 82.95565795898438]","[125.13815307617188, 61.09115982055664]","[118.79505920410156, 42.113826751708984]","[123.78813171386719, 128.31564331054688]","[109.84333038330078, 90.88745880126953]","[98.0575180053711, 63.95764923095703]","[86.0634536743164, 39.218788146972656]","[104.85807800292969, 142.41757202148438]","[94.63153076171875, 126.36148071289062]","[110.48058319091797, 156.54185485839844]","[119.48029327392578, 176.65000915527344]","[88.54778289794922, 159.73825073242188]","[86.15996551513672, 149.25701904296875]","[99.983642578125, 165.8946990966797]","[113.23815155029297, 180.27450561523438]"
"[131.68673706054688, 218.3024139404297]","[161.5218048095703, 200.4634552001953]","[167.15965270996094, 165.78196716308594]","[146.419921875, 146.12294006347656]","[123.25042724609375, 142.10107421875]","[146.29067993164062, 123.45138549804688]","[136.9579620361328, 86.98612213134766]","[129.06483459472656, 64.39801788330078]","[122.84159851074219, 42.787620544433594]","[122.81537628173828, 126.11076354980469]","[114.17962646484375, 90.23258972167969]","[107.99720764160156, 62.513641357421875]","[100.28064727783203, 39.109642028808594]","[102.87783813476562, 138.54974365234375]","[99.55313110351562, 126.47264099121094]","[118.58679962158203, 156.94247436523438]","[128.45494079589844, 176.29476928710938]","[87.31828308105469, 156.58868408203125]","[90.912109375, 150.20889282226562]","[106.69535827636719, 168.2573699951172]","[120.48220825195312, 182.5098876953125]"
"[133.86941528320312, 219.76097106933594]","[163.26910400390625, 203.47557067871094]","[163.5103302001953, 171.0866241455078]","[141.9800262451172, 151.54180908203125]","[122.72151947021484, 146.20550537109375]","[147.95437622070312, 121.2387466430664]","[132.35179138183594, 83.5257797241211]","[123.0363540649414, 60.07356262207031]","[115.66307067871094, 37.016998291015625]","[123.26544189453125, 126.3180923461914]","[114.59221649169922, 89.1583480834961]","[105.3300552368164, 63.071067810058594]","[95.88423156738281, 38.824378967285156]","[101.75633239746094, 140.583740234375]","[98.260986328125, 129.27114868164062]","[114.39900207519531, 157.303466796875]","[123.33373260498047, 176.0335693359375]","[83.19611358642578, 159.5130157470703]","[87.4427261352539, 153.33302307128906]","[102.09532165527344, 169.03192138671875]","[114.72004699707031, 182.89315795898438]"
"[133.8010711669922, 230.16441345214844]","[171.1309814453125, 213.01380920410156]","[168.3381805419922, 177.97999572753906]","[140.2569580078125, 159.25625610351562]","[114.08038330078125, 151.97743225097656]","[139.65512084960938, 120.94278717041016]","[113.62969970703125, 85.23175811767578]","[104.39271545410156, 63.27193069458008]","[94.7544937133789, 39.66433334350586]","[113.31218719482422, 130.9529571533203]","[93.93550872802734, 96.02145385742188]","[80.75896453857422, 69.51470947265625]","[64.06121826171875, 44.83030700683594]","[92.03064727783203, 148.78170776367188]","[92.36869049072266, 142.03738403320312]","[120.64498901367188, 173.4005889892578]","[134.1736602783203, 190.2746124267578]","[75.81193542480469, 168.6699981689453]","[81.1542739868164, 168.77281188964844]","[99.64513397216797, 183.20057678222656]","[112.61066436767578, 190.95619201660156]"
"[133.9581756591797, 218.4425048828125]","[158.6724090576172, 212.42869567871094]","[150.6631622314453, 181.84718322753906]","[124.38188171386719, 163.98802185058594]","[96.60942840576172, 152.69869995117188]","[141.00204467773438, 119.0317611694336]","[116.58419036865234, 82.40096282958984]","[102.1109619140625, 60.80839157104492]","[89.23126983642578, 37.48252868652344]","[119.25055694580078, 122.68073272705078]","[98.09413146972656, 83.76067352294922]","[78.20108795166016, 57.43367385864258]","[56.2091064453125, 31.5001220703125]","[100.06391143798828, 134.77687072753906]","[92.85858917236328, 131.3878631591797]","[123.68313598632812, 168.95567321777344]","[142.10296630859375, 188.82533264160156]","[86.17864227294922, 150.662353515625]","[78.74059295654297, 151.0441131591797]","[98.19501495361328, 172.38011169433594]","[117.27156829833984, 186.05067443847656]"
"[133.0031280517578, 224.1662139892578]","[168.6625518798828, 214.09503173828125]","[167.85455322265625, 181.3513946533203]","[141.4805450439453, 163.4148406982422]","[112.69485473632812, 151.48080444335938]","[141.52008056640625, 121.21253967285156]","[117.68960571289062, 85.46595764160156]","[106.74640655517578, 62.97677993774414]","[95.80810546875, 40.95691680908203]","[115.73808288574219, 131.419921875]","[93.514892578125, 95.29473876953125]","[76.59685516357422, 68.99800109863281]","[55.89328384399414, 46.16347122192383]","[94.06402587890625, 148.04905700683594]","[91.75355529785156, 146.19314575195312]","[122.30339813232422, 178.1667938232422]","[137.961669921875, 195.49581909179688]","[77.87239837646484, 165.541259765625]","[78.5649642944336, 167.83004760742188]","[98.83370208740234, 181.79769897460938]","[114.74007415771484, 189.78839111328125]"
