point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[158.28073120117188, 191.24871826171875]","[117.85506439208984, 177.86053466796875]","[90.43263244628906, 158.13906860351562]","[74.8323974609375, 136.13148498535156]","[66.67202758789062, 117.29153442382812]","[136.85557556152344, 133.59616088867188]","[119.77680206298828, 88.63069915771484]","[95.50845336914062, 82.62130737304688]","[75.7498779296875, 86.40348815917969]","[157.56736755371094, 120.96961975097656]","[112.28548431396484, 103.09584045410156]","[86.80924224853516, 117.63233184814453]","[77.14547729492188, 129.21714782714844]","[172.84378051757812, 124.5159683227539]","[125.61546325683594, 115.80412292480469]","[109.3831787109375, 137.397705078125]","[110.26856994628906, 152.97662353515625]","[187.1060028076172, 136.03363037109375]","[146.47097778320312, 133.31875610351562]","[130.44357299804688, 150.3146514892578]","[127.64702606201172, 159.62301635742188]"
"[152.13720703125, 203.069580078125]","[163.58729553222656, 217.2491912841797]","[161.73123168945312, 209.6393585205078]","[142.3265838623047, 190.41848754882812]","[114.0146713256836, 163.70733642578125]","[176.16648864746094, 153.33688354492188]","[154.65377807617188, 140.5783233642578]","[138.62789916992188, 163.06497192382812]","[133.78578186035156, 170.46043395996094]","[154.6029510498047, 133.98870849609375]","[115.16838073730469, 130.41470336914062]","[104.2097396850586, 164.1981658935547]","[109.8304214477539, 180.54727172851562]","[131.79763793945312, 124.66740417480469]","[96.42757415771484, 130.66773986816406]","[91.09514617919922, 170.53271484375]","[98.94458770751953, 190.28297424316406]","[110.05807495117188, 117.07662200927734]","[91.9697265625, 97.82516479492188]","[78.62541198730469, 98.64360046386719]","[75.83973693847656, 94.8078842163086]"
"[127.57250213623047, 228.2801971435547]","[158.8428955078125, 198.12135314941406]","[166.4751434326172, 180.2974090576172]","[167.81008911132812, 157.50543212890625]","[150.93348693847656, 143.9519805908203]","[151.3232421875, 149.75987243652344]","[160.54640197753906, 119.35975646972656]","[155.9537353515625, 140.74847412109375]","[146.2520294189453, 152.1645965576172]","[127.57855987548828, 148.69349670410156]","[137.62841796875, 121.78187561035156]","[136.133544921875, 149.37124633789062]","[128.372802734375, 166.6425323486328]","[106.80484771728516, 151.05596923828125]","[114.85721588134766, 127.39466857910156]","[118.81371307373047, 154.3387908935547]","[119.54955291748047, 173.26121520996094]","[87.11207580566406, 152.43052673339844]","[78.53862762451172, 107.01748657226562]","[79.50516510009766, 92.971923828125]","[85.89764404296875, 84.40992736816406]"
"[122.93810272216797, 230.20204162597656]","[155.9965362548828, 207.22506713867188]","[166.13636779785156, 188.356689453125]","[168.0258026123047, 164.33763122558594]","[148.90988159179688, 150.01377868652344]","[149.65098571777344, 154.96014404296875]","[156.83389282226562, 125.3942642211914]","[156.00425720214844, 144.88226318359375]","[150.326904296875, 155.65252685546875]","[122.95269775390625, 152.50808715820312]","[136.80613708496094, 128.86761474609375]","[139.06861877441406, 160.04270935058594]","[132.9532012939453, 176.41094970703125]","[99.27949523925781, 153.59414672851562]","[111.1161117553711, 132.78956604003906]","[117.0956802368164, 166.32962036132812]","[117.18489074707031, 187.26380920410156]","[76.90066528320312, 154.1385040283203]","[68.98279571533203, 112.70545959472656]","[67.96623229980469, 100.3329849243164]","[71.22708892822266, 89.42063903808594]"
"[127.01563262939453, 236.024169921875]","[153.56680297851562, 206.24732971191406]","[166.18475341796875, 177.6449737548828]","[163.1932830810547, 150.79217529296875]","[138.1222381591797, 143.98941040039062]","[145.42990112304688, 147.78402709960938]","[146.2411346435547, 112.81423950195312]","[148.60067749023438, 134.84466552734375]","[149.4520263671875, 153.716064453125]","[121.84679412841797, 147.39202880859375]","[126.1489486694336, 117.02935791015625]","[132.25123596191406, 145.61964416503906]","[130.48497009277344, 165.24130249023438]","[98.50849151611328, 152.41497802734375]","[104.03921508789062, 127.88076782226562]","[116.65824890136719, 161.45448303222656]","[122.1107406616211, 185.34861755371094]","[75.25926208496094, 158.0450439453125]","[61.207820892333984, 119.4660873413086]","[55.57327651977539, 102.18305206298828]","[54.4724006652832, 84.28817749023438]"
"[120.8786392211914, 235.9412078857422]","[150.59429931640625, 207.05941772460938]","[157.92811584472656, 180.9026641845703]","[159.59742736816406, 159.6922607421875]","[141.8264923095703, 154.9523468017578]","[141.1857452392578, 153.53932189941406]","[142.20257568359375, 123.21675872802734]","[143.6475372314453, 142.39463806152344]","[143.80288696289062, 158.00723266601562]","[117.02611541748047, 153.47642517089844]","[125.1657485961914, 127.76214599609375]","[130.82264709472656, 155.72129821777344]","[128.37864685058594, 172.5546112060547]","[95.89904022216797, 157.5618896484375]","[106.59159851074219, 139.23721313476562]","[117.77788543701172, 171.40170288085938]","[121.6458969116211, 192.62310791015625]","[76.0727310180664, 161.6011962890625]","[67.72382354736328, 123.68665313720703]","[66.73674774169922, 108.29830932617188]","[69.58406829833984, 94.52108001708984]"
"[132.55361938476562, 234.10208129882812]","[161.9373779296875, 202.59616088867188]","[169.38929748535156, 174.08619689941406]","[162.21896362304688, 147.5894317626953]","[142.68316650390625, 141.6649627685547]","[153.68218994140625, 142.56358337402344]","[152.36325073242188, 111.9333267211914]","[153.6392059326172, 131.2145538330078]","[154.35702514648438, 146.5194091796875]","[131.9172821044922, 143.223876953125]","[134.85809326171875, 118.10592651367188]","[139.14024353027344, 147.10922241210938]","[138.1478729248047, 164.79229736328125]","[111.82156372070312, 145.66783142089844]","[113.50897216796875, 125.81111907958984]","[123.78990936279297, 158.61868286132812]","[129.64060974121094, 181.130859375]","[90.00533294677734, 148.85211181640625]","[79.48662567138672, 113.59544372558594]","[81.87300109863281, 95.65862274169922]","[89.41252899169922, 77.70484161376953]"
"[123.8209228515625, 235.85601806640625]","[159.0842742919922, 214.2164306640625]","[170.36631774902344, 189.91140747070312]","[168.74688720703125, 167.7515106201172]","[145.7623291015625, 160.63697814941406]","[152.20326232910156, 157.58363342285156]","[155.166259765625, 126.4132080078125]","[155.9190216064453, 147.32058715820312]","[155.49293518066406, 160.79954528808594]","[126.68145751953125, 159.51654052734375]","[134.11378479003906, 129.55674743652344]","[139.4262237548828, 155.07069396972656]","[138.51869201660156, 171.3934326171875]","[106.26531982421875, 162.157470703125]","[113.36095428466797, 138.8948516845703]","[121.73262786865234, 169.95069885253906]","[125.19728088378906, 192.13482666015625]","[87.00711059570312, 164.93698120117188]","[82.07854461669922, 126.57122039794922]","[85.57572937011719, 112.8515853881836]","[93.89763641357422, 102.37842559814453]"
"[125.57347106933594, 233.8668212890625]","[163.0166778564453, 211.6153106689453]","[173.73976135253906, 186.74517822265625]","[170.74053955078125, 164.38357543945312]","[148.5135498046875, 158.55398559570312]","[151.89230346679688, 157.5334930419922]","[157.20103454589844, 125.6862564086914]","[158.96084594726562, 142.98272705078125]","[157.0280303955078, 153.19129943847656]","[126.56354522705078, 159.46812438964844]","[139.96719360351562, 132.96400451660156]","[144.35198974609375, 158.7361297607422]","[140.88865661621094, 177.73663330078125]","[107.18910217285156, 162.42620849609375]","[119.22450256347656, 140.84976196289062]","[125.6935043334961, 168.0663604736328]","[126.55607604980469, 190.63804626464844]","[89.1584243774414, 164.79827880859375]","[84.10356903076172, 125.11164093017578]","[88.44750213623047, 106.6259994506836]","[96.76488494873047, 94.83370971679688]"
"[128.77615356445312, 236.94497680664062]","[161.87667846679688, 207.84963989257812]","[171.63575744628906, 180.21173095703125]","[162.82017517089844, 156.994873046875]","[136.958984375, 155.41397094726562]","[155.26089477539062, 145.4517822265625]","[156.72280883789062, 116.31188201904297]","[157.0028839111328, 140.84002685546875]","[156.7921905517578, 157.29693603515625]","[129.77377319335938, 147.40916442871094]","[135.25015258789062, 121.3963851928711]","[139.850341796875, 153.9317169189453]","[138.65415954589844, 172.4588623046875]","[108.15589141845703, 152.4694366455078]","[112.98426818847656, 132.94154357910156]","[122.75193786621094, 166.65121459960938]","[127.2021713256836, 189.1537628173828]","[86.0789794921875, 158.72747802734375]","[75.62944030761719, 120.38581085205078]","[78.32372283935547, 105.65819549560547]","[86.53327178955078, 92.76966094970703]"
