point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[119.44930267333984, 232.4828338623047]","[148.6824493408203, 212.4346466064453]","[149.92098999023438, 182.298095703125]","[139.64019775390625, 156.11187744140625]","[125.52423095703125, 131.38323974609375]","[152.79039001464844, 148.2908477783203]","[156.66912841796875, 112.99019622802734]","[161.24270629882812, 90.93463897705078]","[161.55091857910156, 73.99407958984375]","[127.45996856689453, 148.81654357910156]","[108.00334167480469, 110.15152740478516]","[98.33751678466797, 85.16498565673828]","[89.25093841552734, 67.0174560546875]","[103.2821273803711, 156.32598876953125]","[90.80408477783203, 136.50714111328125]","[104.42332458496094, 157.55868530273438]","[113.38124084472656, 175.40452575683594]","[79.91609954833984, 165.9879150390625]","[72.57620239257812, 152.9832305908203]","[82.90797424316406, 165.98226928710938]","[91.43192291259766, 176.68714904785156]"
"[117.50225067138672, 225.05844116210938]","[149.4983673095703, 196.81478881835938]","[152.70974731445312, 159.456787109375]","[142.19566345214844, 130.65736389160156]","[127.85729217529297, 107.46481323242188]","[144.12525939941406, 141.1698455810547]","[153.62037658691406, 105.07457733154297]","[160.59701538085938, 81.13566589355469]","[162.62867736816406, 63.057003021240234]","[119.96685028076172, 141.24021911621094]","[113.78070831298828, 101.95906829833984]","[110.26222229003906, 71.13157653808594]","[104.0303726196289, 48.7789306640625]","[97.34842681884766, 149.11805725097656]","[97.88501739501953, 128.5753631591797]","[110.3997573852539, 154.30435180664062]","[113.07373809814453, 177.76890563964844]","[75.71156311035156, 157.6695098876953]","[80.1485595703125, 144.94630432128906]","[91.86703491210938, 164.65939331054688]","[99.1446533203125, 183.3509979248047]"
"[121.19629669189453, 227.40771484375]","[153.0687255859375, 201.56222534179688]","[156.89732360839844, 169.2953338623047]","[146.1722869873047, 139.74928283691406]","[129.98109436035156, 116.67677307128906]","[151.34231567382812, 139.92416381835938]","[162.1537322998047, 104.85396575927734]","[168.47198486328125, 82.26863098144531]","[168.0503692626953, 64.24407196044922]","[126.01394653320312, 141.350341796875]","[111.67058563232422, 103.98815155029297]","[105.09874725341797, 78.28341674804688]","[94.77875518798828, 57.893524169921875]","[102.85010528564453, 151.413818359375]","[97.32437896728516, 133.96041870117188]","[111.6905288696289, 161.24656677246094]","[115.18494415283203, 181.20310974121094]","[80.82600402832031, 164.17236328125]","[80.798828125, 154.9969940185547]","[92.4947738647461, 172.79254150390625]","[98.53777313232422, 185.72023010253906]"
"[119.09929656982422, 233.6101531982422]","[149.8956298828125, 217.46998596191406]","[150.6929168701172, 187.5203094482422]","[141.51046752929688, 166.36959838867188]","[130.3777618408203, 145.25186157226562]","[139.41464233398438, 144.03562927246094]","[138.09310913085938, 100.8713607788086]","[137.4192657470703, 72.93009948730469]","[134.34121704101562, 50.912445068359375]","[114.03715515136719, 155.5797119140625]","[81.76329040527344, 118.99290466308594]","[63.00245666503906, 98.39080047607422]","[48.92232131958008, 80.47607421875]","[90.10826873779297, 168.79600524902344]","[75.19831848144531, 152.9954071044922]","[87.09414672851562, 170.64442443847656]","[96.6617431640625, 181.9584503173828]","[71.77686309814453, 182.44308471679688]","[67.15123748779297, 174.2766876220703]","[80.49308776855469, 183.74671936035156]","[89.43242645263672, 189.4883270263672]"
"[118.18185424804688, 233.36520385742188]","[147.22743225097656, 215.81454467773438]","[151.43092346191406, 185.2655487060547]","[142.4332733154297, 164.66026306152344]","[134.85818481445312, 141.12351989746094]","[147.96714782714844, 142.87350463867188]","[150.15557861328125, 104.11610412597656]","[154.5583953857422, 78.18384552001953]","[153.83370971679688, 56.69356918334961]","[122.19935607910156, 151.123779296875]","[92.94831085205078, 109.70796966552734]","[77.78208923339844, 92.52108001708984]","[67.28919982910156, 77.35034942626953]","[98.5822982788086, 162.02127075195312]","[80.09390258789062, 147.69679260253906]","[91.31002044677734, 172.97386169433594]","[101.70796966552734, 187.88768005371094]","[78.46190643310547, 173.33969116210938]","[67.7896957397461, 168.1905059814453]","[76.50704956054688, 186.72715759277344]","[84.67786407470703, 198.44921875]"
"[113.79769134521484, 236.89801025390625]","[147.46910095214844, 220.8343048095703]","[152.2015838623047, 192.45401000976562]","[145.98988342285156, 172.00938415527344]","[138.9269561767578, 149.29736328125]","[142.49215698242188, 148.09751892089844]","[143.0831756591797, 107.2583999633789]","[146.01422119140625, 79.24053955078125]","[146.57211303710938, 55.79924392700195]","[114.84929656982422, 157.23516845703125]","[85.37664031982422, 118.34154510498047]","[66.60276794433594, 95.08900451660156]","[53.107662200927734, 77.6182861328125]","[89.23567962646484, 169.0657196044922]","[78.0542984008789, 156.3264617919922]","[89.16712951660156, 174.66421508789062]","[99.45560455322266, 185.9364776611328]","[68.8780746459961, 182.9775848388672]","[66.37918853759766, 178.65481567382812]","[78.82731628417969, 192.04476928710938]","[89.81709289550781, 200.6649169921875]"
"[116.27803039550781, 232.92152404785156]","[143.04225158691406, 216.36767578125]","[147.41387939453125, 186.41493225097656]","[143.30433654785156, 164.64395141601562]","[138.80413818359375, 138.6695556640625]","[144.67478942871094, 144.76971435546875]","[147.3146514892578, 107.6680679321289]","[153.03213500976562, 82.67584991455078]","[153.63858032226562, 62.468318939208984]","[120.08126068115234, 152.83493041992188]","[92.01676177978516, 113.2769775390625]","[77.61495971679688, 95.02953338623047]","[67.21018981933594, 78.35765838623047]","[97.48133850097656, 165.09292602539062]","[79.53646850585938, 151.22337341308594]","[90.99957275390625, 173.0704803466797]","[100.82392883300781, 184.93307495117188]","[77.91427612304688, 176.4142608642578]","[67.66678619384766, 170.91429138183594]","[76.67224884033203, 185.950927734375]","[84.61650848388672, 194.70652770996094]"
"[122.93055725097656, 236.52235412597656]","[153.8192901611328, 218.90206909179688]","[159.8060302734375, 190.43983459472656]","[155.09909057617188, 168.3978729248047]","[146.62168884277344, 141.1916961669922]","[152.43678283691406, 147.2086181640625]","[155.19630432128906, 108.07503509521484]","[159.9224090576172, 83.96698760986328]","[163.2299346923828, 64.34645080566406]","[126.78762817382812, 154.09283447265625]","[100.00540161132812, 117.70850372314453]","[81.82273864746094, 97.28021240234375]","[68.63117980957031, 77.17818450927734]","[103.36133575439453, 165.97048950195312]","[95.2591781616211, 155.1884307861328]","[107.90148162841797, 174.2567901611328]","[117.49659729003906, 185.1328125]","[85.17613983154297, 176.3038330078125]","[84.09640502929688, 173.33074951171875]","[93.87112426757812, 187.2760467529297]","[100.8254623413086, 195.95045471191406]"
"[126.21275329589844, 231.7733154296875]","[154.1507568359375, 216.46800231933594]","[154.42999267578125, 187.88502502441406]","[140.9622039794922, 165.4053497314453]","[123.07715606689453, 141.6741180419922]","[152.8102264404297, 142.4681854248047]","[154.7134552001953, 105.65460205078125]","[158.92555236816406, 82.55095672607422]","[160.37179565429688, 64.31182098388672]","[126.9195556640625, 147.3710174560547]","[103.22380065917969, 112.8067398071289]","[89.37925720214844, 93.8370132446289]","[77.67456817626953, 75.5183334350586]","[103.91307067871094, 158.6261749267578]","[93.11798095703125, 154.16064453125]","[110.27719116210938, 177.42518615722656]","[120.00608825683594, 189.02520751953125]","[84.88560485839844, 169.70162963867188]","[80.98580169677734, 170.54348754882812]","[95.04932403564453, 186.72100830078125]","[105.47795867919922, 193.63975524902344]"
"[123.78711700439453, 230.72149658203125]","[149.69639587402344, 200.6511993408203]","[155.69265747070312, 172.38784790039062]","[150.80711364746094, 147.80288696289062]","[139.76744079589844, 124.40386199951172]","[150.09483337402344, 145.13702392578125]","[156.11802673339844, 116.34820556640625]","[162.20167541503906, 99.15284729003906]","[165.27647399902344, 82.87783813476562]","[128.37899780273438, 147.96743774414062]","[108.8459243774414, 111.06741333007812]","[98.9278564453125, 87.61477661132812]","[91.07757568359375, 68.49788665771484]","[106.36382293701172, 157.99415588378906]","[96.39596557617188, 136.4859161376953]","[109.5184326171875, 155.23696899414062]","[117.56028747558594, 171.24131774902344]","[86.04927062988281, 168.86294555664062]","[78.43537139892578, 154.25155639648438]","[88.86656951904297, 164.2731170654297]","[99.55083465576172, 172.1290740966797]"
