point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[123.54769134521484, 223.78207397460938]","[165.78712463378906, 207.47988891601562]","[185.8211212158203, 174.34909057617188]","[204.70852661132812, 150.59693908691406]","[225.03868103027344, 130.73345947265625]","[144.67788696289062, 136.86016845703125]","[144.01988220214844, 98.90974426269531]","[145.673095703125, 71.0003433227539]","[144.73329162597656, 50.49559020996094]","[120.96183013916016, 147.76986694335938]","[114.04578399658203, 125.69754791259766]","[123.4987564086914, 152.73692321777344]","[128.1419219970703, 170.468994140625]","[98.4210205078125, 158.44613647460938]","[93.20561218261719, 141.58984375]","[106.35944366455078, 167.96160888671875]","[111.78358459472656, 185.77268981933594]","[78.79981231689453, 166.44638061523438]","[77.79661560058594, 158.56765747070312]","[89.02587127685547, 179.99566650390625]","[93.2612533569336, 197.03009033203125]"
"[123.32785034179688, 225.4052734375]","[163.13137817382812, 206.61280822753906]","[182.76478576660156, 171.89163208007812]","[202.117431640625, 145.1702117919922]","[222.10128784179688, 124.28963470458984]","[139.64231872558594, 137.6416473388672]","[138.80062866210938, 96.99761962890625]","[138.13449096679688, 71.2105484008789]","[135.8708038330078, 51.584205627441406]","[118.00228118896484, 147.99278259277344]","[111.5409927368164, 123.83860778808594]","[122.36043548583984, 150.64364624023438]","[128.115966796875, 168.74951171875]","[97.39521026611328, 160.38436889648438]","[91.68810272216797, 142.1793670654297]","[106.2405776977539, 168.8886260986328]","[112.34636688232422, 186.8750457763672]","[78.0710678100586, 170.4995574951172]","[76.08527374267578, 161.79544067382812]","[88.91866302490234, 182.85256958007812]","[94.20072174072266, 197.6583251953125]"
"[121.3236312866211, 224.3651123046875]","[160.37869262695312, 208.06533813476562]","[181.78746032714844, 173.71705627441406]","[199.57431030273438, 146.6310577392578]","[219.4581298828125, 124.83516693115234]","[139.24331665039062, 136.7069854736328]","[137.68392944335938, 97.37722778320312]","[136.63385009765625, 71.29711151123047]","[134.25283813476562, 51.8172492980957]","[116.4732894897461, 147.8102264404297]","[107.46466827392578, 124.21001434326172]","[117.66080474853516, 152.52464294433594]","[125.38992309570312, 172.36953735351562]","[94.5574722290039, 160.3866729736328]","[86.26748657226562, 142.98204040527344]","[100.90299224853516, 171.1680450439453]","[109.03642272949219, 191.01051330566406]","[74.68345642089844, 171.6210479736328]","[70.3805923461914, 163.6558074951172]","[83.36642456054688, 184.22560119628906]","[90.8098373413086, 200.03773498535156]"
"[121.37469482421875, 222.5286407470703]","[162.54006958007812, 205.61912536621094]","[183.31399536132812, 170.57891845703125]","[202.84400939941406, 144.0925750732422]","[223.9392852783203, 121.96106719970703]","[141.8488311767578, 132.2293243408203]","[141.4833221435547, 92.7048110961914]","[140.78175354003906, 67.32946014404297]","[137.9394073486328, 48.13691711425781]","[118.19425964355469, 143.01023864746094]","[109.65006256103516, 120.82974243164062]","[120.8927001953125, 152.94171142578125]","[127.89447784423828, 175.1465301513672]","[95.88485717773438, 155.35263061523438]","[87.4688491821289, 140.09375]","[103.62269592285156, 170.89663696289062]","[112.07823944091797, 190.9075927734375]","[74.76496887207031, 166.77487182617188]","[70.75598907470703, 161.30320739746094]","[85.04542541503906, 184.70291137695312]","[92.86981964111328, 201.18875122070312]"
"[123.32850646972656, 222.037109375]","[165.36427307128906, 204.09317016601562]","[185.3502960205078, 169.42735290527344]","[204.49237060546875, 144.4568634033203]","[226.22531127929688, 123.59427642822266]","[144.5467529296875, 130.60789489746094]","[143.4087371826172, 91.76780700683594]","[143.05496215820312, 64.92949676513672]","[140.6889190673828, 44.7425537109375]","[120.42138671875, 141.49212646484375]","[111.93295288085938, 119.67777252197266]","[121.60595703125, 151.88095092773438]","[127.18345642089844, 174.16952514648438]","[97.87266540527344, 153.1262664794922]","[90.23607635498047, 138.1730499267578]","[105.72544860839844, 170.05136108398438]","[113.66345977783203, 190.48342895507812]","[76.88921356201172, 162.8511199951172]","[73.6695785522461, 157.49075317382812]","[87.54727172851562, 181.4595184326172]","[94.96373748779297, 198.5869598388672]"
"[123.23724365234375, 225.034423828125]","[164.5989532470703, 206.36477661132812]","[184.8863067626953, 171.72598266601562]","[201.87225341796875, 145.65725708007812]","[221.00726318359375, 123.9377670288086]","[141.63076782226562, 134.22447204589844]","[138.24375915527344, 95.57839965820312]","[136.74172973632812, 69.2700424194336]","[133.1310577392578, 48.5406494140625]","[117.7704849243164, 145.6681671142578]","[108.60562896728516, 123.0843505859375]","[121.8573989868164, 155.19305419921875]","[130.0489959716797, 178.12657165527344]","[95.4125747680664, 158.48147583007812]","[88.50973510742188, 141.90304565429688]","[105.99626159667969, 172.79408264160156]","[114.17884063720703, 193.35276794433594]","[74.37605285644531, 170.1099853515625]","[72.33932495117188, 162.86785888671875]","[87.3306884765625, 185.54380798339844]","[95.47479248046875, 202.80593872070312]"
"[124.9470443725586, 226.22213745117188]","[168.84397888183594, 209.8180389404297]","[188.29058837890625, 173.471923828125]","[205.1346893310547, 146.20079040527344]","[223.08499145507812, 124.37648010253906]","[147.08885192871094, 134.82456970214844]","[143.1007843017578, 95.52940368652344]","[142.02207946777344, 66.57172393798828]","[139.33949279785156, 45.31674575805664]","[120.9295654296875, 146.70458984375]","[111.64775085449219, 125.46910095214844]","[123.12551879882812, 155.16015625]","[129.50660705566406, 175.26063537597656]","[96.17948150634766, 159.2644500732422]","[90.165283203125, 144.78073120117188]","[107.66358184814453, 174.298583984375]","[116.65290069580078, 193.6265106201172]","[74.09186553955078, 169.2751007080078]","[73.88926696777344, 165.31399536132812]","[88.5977783203125, 189.0162811279297]","[96.11758422851562, 205.57603454589844]"
"[124.67093658447266, 222.5118865966797]","[169.25173950195312, 204.50221252441406]","[190.87786865234375, 169.76644897460938]","[207.35476684570312, 144.4273681640625]","[226.30113220214844, 123.98005676269531]","[147.8005828857422, 130.7158660888672]","[143.49716186523438, 90.32279205322266]","[143.24009704589844, 62.35195541381836]","[140.80694580078125, 41.270355224609375]","[121.75383758544922, 142.1924591064453]","[111.44548034667969, 121.29155731201172]","[123.53353881835938, 152.90232849121094]","[129.82919311523438, 173.58465576171875]","[97.12010192871094, 153.9355010986328]","[90.82952117919922, 140.41127014160156]","[108.6024398803711, 171.35597229003906]","[116.84873962402344, 190.57200622558594]","[74.23827362060547, 163.614501953125]","[73.76317596435547, 159.82473754882812]","[88.80232238769531, 184.5707244873047]","[96.64669036865234, 202.4681854248047]"
"[123.74868774414062, 225.38381958007812]","[168.71051025390625, 206.03945922851562]","[189.68011474609375, 171.8329620361328]","[206.31698608398438, 146.40499877929688]","[226.2224578857422, 124.07623291015625]","[148.17919921875, 133.8106231689453]","[145.03189086914062, 95.3779525756836]","[144.4033660888672, 66.37261962890625]","[140.87493896484375, 44.71261978149414]","[122.14725494384766, 145.59034729003906]","[114.97611999511719, 122.92699432373047]","[125.93055725097656, 155.38134765625]","[130.71945190429688, 177.89590454101562]","[97.4615249633789, 156.9316864013672]","[92.91165924072266, 142.9098663330078]","[108.59149169921875, 174.64498901367188]","[115.53032684326172, 194.55108642578125]","[75.17572784423828, 165.62322998046875]","[75.6343994140625, 162.36766052246094]","[89.11100006103516, 187.30032348632812]","[96.21559143066406, 203.51974487304688]"
"[124.40505981445312, 231.0146942138672]","[162.56704711914062, 208.12313842773438]","[179.28298950195312, 171.8795166015625]","[194.20094299316406, 145.2650604248047]","[210.5750274658203, 122.06094360351562]","[138.3978729248047, 139.89434814453125]","[132.72738647460938, 102.97895050048828]","[128.44256591796875, 77.64724731445312]","[122.87976837158203, 59.60221481323242]","[116.62019348144531, 151.20291137695312]","[109.16990661621094, 129.65927124023438]","[121.99189758300781, 159.82345581054688]","[129.10377502441406, 179.99139404296875]","[95.61930847167969, 165.00344848632812]","[90.5261001586914, 151.8059539794922]","[107.06389617919922, 180.7816162109375]","[113.68661499023438, 197.7520751953125]","[77.28585815429688, 177.86183166503906]","[77.65476989746094, 175.0172576904297]","[90.65447235107422, 195.47373962402344]","[96.26077270507812, 207.9608154296875]"
