point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[126.56700897216797, 227.3189697265625]","[161.32794189453125, 212.9083251953125]","[173.07015991210938, 188.1971435546875]","[174.71192932128906, 168.75062561035156]","[170.2088623046875, 151.0096893310547]","[149.3331298828125, 152.30438232421875]","[147.74359130859375, 133.48936462402344]","[148.59564208984375, 151.74508666992188]","[152.23828125, 160.40057373046875]","[122.6119613647461, 146.36724853515625]","[124.25751495361328, 125.72522735595703]","[128.09584045410156, 148.76324462890625]","[127.0715103149414, 163.36044311523438]","[99.71200561523438, 146.76416015625]","[101.69598388671875, 126.12561798095703]","[104.48137664794922, 154.7722625732422]","[107.96894836425781, 174.3734893798828]","[82.82283020019531, 149.6728057861328]","[80.9370346069336, 133.46104431152344]","[84.65071105957031, 154.64306640625]","[90.6720962524414, 174.3923797607422]"
"[118.80183410644531, 233.3986053466797]","[85.1948013305664, 219.46986389160156]","[74.48953247070312, 191.84921264648438]","[81.0202865600586, 173.65496826171875]","[92.35787200927734, 159.79212951660156]","[101.41156768798828, 157.45309448242188]","[103.59273529052734, 129.964111328125]","[105.64228820800781, 140.2924346923828]","[109.20061492919922, 148.1016082763672]","[122.86150360107422, 155.2299041748047]","[125.0935287475586, 123.04740142822266]","[123.64219665527344, 144.97715759277344]","[120.69269561767578, 162.10215759277344]","[145.93028259277344, 159.16151428222656]","[149.5630340576172, 122.50810241699219]","[138.95310974121094, 147.8960418701172]","[130.64505004882812, 170.71768188476562]","[167.4235076904297, 166.0372314453125]","[172.20506286621094, 138.30294799804688]","[160.78387451171875, 156.24447631835938]","[150.48451232910156, 173.63217163085938]"
"[122.41105651855469, 237.27059936523438]","[93.13579559326172, 226.536376953125]","[78.36293029785156, 203.8371124267578]","[82.41816711425781, 181.8234100341797]","[89.90499877929688, 164.8087158203125]","[101.20193481445312, 159.21888732910156]","[103.87940979003906, 130.7524871826172]","[101.92874908447266, 150.781494140625]","[102.02738952636719, 164.30690002441406]","[122.8734130859375, 161.12112426757812]","[126.27680969238281, 125.71955871582031]","[129.75413513183594, 151.31362915039062]","[128.71363830566406, 168.6854705810547]","[144.0549774169922, 168.9255828857422]","[150.80429077148438, 128.28964233398438]","[145.09336853027344, 155.48355102539062]","[138.07676696777344, 178.2381591796875]","[164.4219970703125, 176.66140747070312]","[172.73081970214844, 144.80636596679688]","[163.31817626953125, 159.8905792236328]","[153.81735229492188, 176.47317504882812]"
"[117.60877990722656, 238.1077880859375]","[118.82235717773438, 230.59925842285156]","[119.25810241699219, 207.34201049804688]","[127.72844696044922, 183.31336975097656]","[130.4325408935547, 165.56752014160156]","[118.87105560302734, 167.87762451171875]","[124.81673431396484, 141.1136932373047]","[123.74557495117188, 164.29457092285156]","[125.13868713378906, 174.3218231201172]","[117.2275390625, 163.9615936279297]","[123.93893432617188, 127.7545166015625]","[127.98435974121094, 149.67813110351562]","[126.37713623046875, 161.7286834716797]","[118.36848449707031, 167.08267211914062]","[130.47059631347656, 126.40579223632812]","[127.49356079101562, 153.3445587158203]","[122.73445129394531, 173.12667846679688]","[122.67131805419922, 169.15628051757812]","[132.44227600097656, 139.23255920410156]","[124.85259246826172, 156.3541259765625]","[116.62596893310547, 171.54443359375]"
"[120.31869506835938, 236.91629028320312]","[151.0702362060547, 225.5956268310547]","[160.24807739257812, 193.85028076171875]","[162.48294067382812, 163.59609985351562]","[157.66281127929688, 142.1660614013672]","[141.6305389404297, 162.556640625]","[148.94461059570312, 135.24667358398438]","[151.8766326904297, 158.61477661132812]","[153.34329223632812, 171.08766174316406]","[120.58003997802734, 154.83531188964844]","[130.84461975097656, 118.78205108642578]","[136.27610778808594, 143.9413299560547]","[133.95082092285156, 161.04119873046875]","[102.53437042236328, 152.53321838378906]","[113.82916259765625, 116.6444320678711]","[115.32120513916016, 146.69960021972656]","[114.59967803955078, 171.05409240722656]","[88.74334716796875, 151.10504150390625]","[93.92910766601562, 126.15621185302734]","[93.94207763671875, 147.81146240234375]","[93.19274139404297, 168.88841247558594]"
"[126.68534851074219, 236.98716735839844]","[160.78192138671875, 222.50831604003906]","[171.5679168701172, 193.26951599121094]","[178.08580017089844, 166.38140869140625]","[179.90618896484375, 147.21238708496094]","[149.98330688476562, 155.98097229003906]","[151.30703735351562, 132.0322265625]","[153.58642578125, 156.3574676513672]","[153.36761474609375, 169.38890075683594]","[124.1283950805664, 152.3748016357422]","[131.29759216308594, 126.66376495361328]","[139.53665161132812, 154.66172790527344]","[137.0553436279297, 173.8410186767578]","[103.12680053710938, 156.89334106445312]","[109.75529479980469, 130.1697540283203]","[114.53755950927734, 158.98353576660156]","[114.53646850585938, 179.32528686523438]","[89.07254791259766, 162.6316375732422]","[90.58077239990234, 147.67039489746094]","[91.76614379882812, 169.6433868408203]","[92.06427764892578, 187.77468872070312]"
"[126.43079376220703, 234.6510009765625]","[164.4949188232422, 218.68980407714844]","[175.0928192138672, 191.9420166015625]","[179.66221618652344, 165.10302734375]","[173.2894287109375, 148.64109802246094]","[151.2327117919922, 158.66673278808594]","[152.21343994140625, 131.11329650878906]","[154.83969116210938, 154.41873168945312]","[154.50390625, 167.2493133544922]","[122.76947021484375, 155.3334503173828]","[129.59532165527344, 127.05300903320312]","[137.9405517578125, 152.65150451660156]","[134.70480346679688, 168.56906127929688]","[99.22086334228516, 159.1410675048828]","[106.63302612304688, 128.89120483398438]","[111.80439758300781, 153.71774291992188]","[109.72489929199219, 172.4296112060547]","[82.19242858886719, 164.37351989746094]","[86.71117401123047, 141.32135009765625]","[89.20976257324219, 158.0025634765625]","[88.2159423828125, 174.8788299560547]"
"[122.49588012695312, 225.7170867919922]","[159.387451171875, 205.3350067138672]","[174.971923828125, 178.07266235351562]","[183.1605987548828, 159.55487060546875]","[180.98373413085938, 152.635009765625]","[151.05833435058594, 148.05862426757812]","[152.25270080566406, 126.86457061767578]","[153.4184112548828, 154.23057556152344]","[150.28543090820312, 170.9435577392578]","[121.31548309326172, 150.81460571289062]","[121.03372192382812, 127.77018737792969]","[131.6808624267578, 156.56565856933594]","[133.05274963378906, 179.3450164794922]","[97.34819030761719, 159.18698120117188]","[98.27123260498047, 136.11404418945312]","[105.62039947509766, 161.2836456298828]","[107.8084945678711, 181.8826141357422]","[80.04022216796875, 168.62767028808594]","[79.15543365478516, 153.796142578125]","[84.91638946533203, 173.9864959716797]","[89.6536865234375, 192.8913116455078]"
"[120.84503936767578, 233.6605987548828]","[160.32484436035156, 210.43145751953125]","[173.58444213867188, 179.9467315673828]","[175.8415985107422, 154.19000244140625]","[173.45831298828125, 142.15963745117188]","[152.22061157226562, 148.86383056640625]","[160.02542114257812, 120.90044403076172]","[157.46238708496094, 148.06344604492188]","[150.042236328125, 165.5367431640625]","[124.3167953491211, 147.412109375]","[132.55056762695312, 115.83209228515625]","[138.7137908935547, 146.15762329101562]","[136.30516052246094, 170.34413146972656]","[100.22039794921875, 151.57020568847656]","[108.21443176269531, 122.77359771728516]","[112.67396545410156, 150.7369842529297]","[111.7850570678711, 173.61477661132812]","[80.8944320678711, 157.86668395996094]","[83.9156265258789, 139.7285614013672]","[88.82213592529297, 163.68194580078125]","[92.32424926757812, 186.00787353515625]"
"[118.11949157714844, 234.40078735351562]","[159.512451171875, 214.02330017089844]","[175.5253143310547, 181.72474670410156]","[180.66610717773438, 156.173828125]","[177.71697998046875, 144.61155700683594]","[150.82359313964844, 151.18328857421875]","[159.5200958251953, 121.45170593261719]","[157.9342803955078, 145.27883911132812]","[153.03530883789062, 161.35133361816406]","[121.78897094726562, 147.010986328125]","[134.667236328125, 113.55403900146484]","[138.90966796875, 142.651611328125]","[135.9768829345703, 168.9769287109375]","[97.63922119140625, 149.4111328125]","[109.92283630371094, 119.36322021484375]","[111.98252868652344, 147.5636749267578]","[111.5516586303711, 172.68472290039062]","[79.7618637084961, 154.76028442382812]","[86.45658111572266, 138.1141357421875]","[88.61738586425781, 161.8041534423828]","[90.25724029541016, 185.11178588867188]"
