point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[129.9563751220703, 231.9280548095703]","[159.26089477539062, 199.99876403808594]","[168.99713134765625, 167.93771362304688]","[166.30355834960938, 135.5038299560547]","[153.9451141357422, 107.324951171875]","[160.08099365234375, 150.14645385742188]","[163.69386291503906, 103.24906158447266]","[165.97689819335938, 90.76350402832031]","[159.3686981201172, 85.95146179199219]","[129.67752075195312, 151.4949188232422]","[129.39431762695312, 98.6461181640625]","[135.05772399902344, 87.29914855957031]","[132.0595245361328, 85.11498260498047]","[100.7155532836914, 157.8101043701172]","[95.42958068847656, 109.2322006225586]","[104.6623764038086, 104.55083465576172]","[107.205078125, 108.97599792480469]","[74.85295104980469, 166.9679412841797]","[65.98201751708984, 131.36123657226562]","[80.61830139160156, 128.6284942626953]","[93.3956298828125, 134.97134399414062]"
"[128.60263061523438, 236.0391845703125]","[169.5933074951172, 209.16754150390625]","[184.90701293945312, 179.0105438232422]","[185.36026000976562, 152.87435913085938]","[175.66903686523438, 143.11756896972656]","[160.87078857421875, 141.56710815429688]","[165.51438903808594, 111.66033935546875]","[165.85995483398438, 132.54978942871094]","[162.3280029296875, 150.16116333007812]","[129.17112731933594, 139.09765625]","[140.77407836914062, 101.8990478515625]","[151.51966857910156, 126.27249145507812]","[148.58287048339844, 149.89100646972656]","[101.41392517089844, 143.9887237548828]","[112.60161590576172, 114.13824462890625]","[124.15754699707031, 150.88687133789062]","[123.57738494873047, 180.64292907714844]","[76.27201080322266, 153.604248046875]","[84.64948272705078, 132.015380859375]","[95.26050567626953, 158.8046875]","[98.55230712890625, 184.4910888671875]"
"[126.01223754882812, 233.6437225341797]","[169.10374450683594, 213.5461883544922]","[182.3895721435547, 185.06581115722656]","[179.8150177001953, 161.49635314941406]","[169.25885009765625, 152.63504028320312]","[158.37135314941406, 142.60897827148438]","[156.1651153564453, 125.71297454833984]","[158.1007080078125, 151.48912048339844]","[158.786376953125, 167.83082580566406]","[128.84967041015625, 143.1881866455078]","[131.52041625976562, 119.82689666748047]","[139.9591064453125, 149.14149475097656]","[137.9782257080078, 172.8983154296875]","[104.6773910522461, 151.3826141357422]","[103.8990478515625, 135.09210205078125]","[113.56830596923828, 169.86563110351562]","[116.69760131835938, 194.5484161376953]","[83.64000701904297, 161.7691650390625]","[81.29730224609375, 148.6715850830078]","[88.56080627441406, 171.9011993408203]","[93.87657928466797, 193.181396484375]"
"[123.59536743164062, 235.97552490234375]","[169.46542358398438, 209.48153686523438]","[184.6534423828125, 184.3711700439453]","[183.93145751953125, 163.21751403808594]","[171.4473114013672, 155.40664672851562]","[162.86312866210938, 140.08233642578125]","[166.11785888671875, 126.41194152832031]","[163.59092712402344, 154.62413024902344]","[158.98385620117188, 166.54641723632812]","[130.5700225830078, 138.95767211914062]","[140.1790313720703, 124.45370483398438]","[143.8640594482422, 158.56092834472656]","[138.244384765625, 179.5220489501953]","[105.38130187988281, 146.4600372314453]","[112.87664031982422, 139.0841827392578]","[118.17596435546875, 174.2951202392578]","[117.16746520996094, 193.83682250976562]","[82.83013916015625, 156.3646697998047]","[86.87471008300781, 148.779296875]","[92.5959243774414, 172.93597412109375]","[95.6131362915039, 192.2121124267578]"
"[126.8857192993164, 234.2257537841797]","[171.41864013671875, 208.0349578857422]","[184.36793518066406, 181.63967895507812]","[183.57705688476562, 160.7692413330078]","[173.23585510253906, 152.7200164794922]","[160.3203887939453, 139.0263214111328]","[164.20140075683594, 123.63346099853516]","[164.5302276611328, 151.600341796875]","[160.58786010742188, 165.66879272460938]","[129.8241729736328, 141.03492736816406]","[138.36557006835938, 120.53856658935547]","[146.9325408935547, 156.11695861816406]","[142.7958221435547, 177.48968505859375]","[106.12586212158203, 148.61233520507812]","[110.76451110839844, 134.10626220703125]","[120.68101501464844, 169.3406219482422]","[122.13517761230469, 189.4801483154297]","[84.7694091796875, 157.94924926757812]","[86.44449615478516, 145.65684509277344]","[95.0460205078125, 170.3638916015625]","[100.3484878540039, 190.49671936035156]"
"[129.9177703857422, 230.13902282714844]","[169.75006103515625, 205.76412963867188]","[182.32435607910156, 179.0483856201172]","[180.73129272460938, 157.61398315429688]","[173.45201110839844, 149.3081817626953]","[161.31884765625, 139.24642944335938]","[163.2344970703125, 123.04345703125]","[161.55776977539062, 149.90988159179688]","[158.00498962402344, 163.4727783203125]","[132.56619262695312, 139.2656707763672]","[135.92941284179688, 117.1107406616211]","[144.60537719726562, 148.58775329589844]","[143.8751983642578, 171.55357360839844]","[109.65772247314453, 147.58609008789062]","[109.10173797607422, 132.98095703125]","[122.303466796875, 165.59344482421875]","[128.5460205078125, 186.78546142578125]","[89.68098449707031, 158.44505310058594]","[88.03905487060547, 149.5209503173828]","[98.30332946777344, 172.6815185546875]","[106.99137878417969, 193.09942626953125]"
"[127.09019470214844, 231.97821044921875]","[168.59275817871094, 206.61898803710938]","[180.63522338867188, 180.83592224121094]","[178.03768920898438, 159.94847106933594]","[168.78594970703125, 152.19741821289062]","[161.56532287597656, 134.2598419189453]","[162.58885192871094, 122.40740966796875]","[164.0321044921875, 153.5275421142578]","[162.95530700683594, 170.2793426513672]","[131.0819091796875, 137.54347229003906]","[137.47413635253906, 121.3917465209961]","[146.2525177001953, 155.41915893554688]","[143.735107421875, 176.49551391601562]","[106.87269592285156, 147.26426696777344]","[108.79505157470703, 137.31552124023438]","[121.77257537841797, 172.03512573242188]","[126.29459381103516, 191.40379333496094]","[84.2175521850586, 158.21156311035156]","[85.075439453125, 149.3653564453125]","[95.48825073242188, 171.8113555908203]","[102.61260223388672, 189.21343994140625]"
"[114.18570709228516, 238.78128051757812]","[156.68222045898438, 213.97254943847656]","[169.06167602539062, 184.42860412597656]","[172.2210693359375, 160.48284912109375]","[170.20758056640625, 149.1355743408203]","[145.0318145751953, 149.56146240234375]","[150.66668701171875, 130.5936737060547]","[150.121337890625, 156.9088897705078]","[146.58949279785156, 173.85484313964844]","[117.37332153320312, 150.724609375]","[136.02178955078125, 126.3795166015625]","[141.2595672607422, 150.61790466308594]","[134.1869659423828, 170.7445068359375]","[97.60824584960938, 157.5974578857422]","[114.26717376708984, 139.09437561035156]","[118.34648895263672, 167.3220672607422]","[114.50706481933594, 188.90762329101562]","[80.16946411132812, 163.5472869873047]","[88.40414428710938, 146.8402557373047]","[89.71937561035156, 167.51492309570312]","[88.33629608154297, 189.0716552734375]"
"[132.07492065429688, 234.87808227539062]","[165.60519409179688, 213.59083557128906]","[167.75904846191406, 186.80331420898438]","[156.25083923339844, 162.1078338623047]","[147.5849609375, 141.03628540039062]","[144.59225463867188, 141.10873413085938]","[143.11636352539062, 115.90037536621094]","[150.0609130859375, 134.86094665527344]","[154.41085815429688, 151.27117919921875]","[123.68582916259766, 142.29034423828125]","[123.32084655761719, 108.13545227050781]","[137.20933532714844, 139.29733276367188]","[139.83790588378906, 164.32322692871094]","[103.9708023071289, 152.8423614501953]","[100.71976470947266, 125.34982299804688]","[116.17910766601562, 159.5689239501953]","[122.5663070678711, 182.48031616210938]","[87.7998275756836, 166.34686279296875]","[86.08073425292969, 149.1752166748047]","[96.61229705810547, 169.49183654785156]","[103.01811218261719, 189.3962860107422]"
"[134.2576904296875, 236.2874755859375]","[110.05464935302734, 220.167724609375]","[95.96636962890625, 195.5657958984375]","[97.68938446044922, 173.0741424560547]","[110.20809173583984, 162.20883178710938]","[100.92654418945312, 156.0860137939453]","[106.10775756835938, 125.70840454101562]","[110.29888916015625, 140.90533447265625]","[109.8340835571289, 154.9698944091797]","[124.6891098022461, 150.35447692871094]","[125.64793395996094, 111.270263671875]","[134.85714721679688, 129.22128295898438]","[135.10443115234375, 143.66990661621094]","[143.42747497558594, 152.79811096191406]","[141.06507873535156, 122.86221313476562]","[145.2845458984375, 152.39373779296875]","[142.7694854736328, 172.57821655273438]","[156.24676513671875, 159.7296142578125]","[155.76272583007812, 137.6968231201172]","[152.4575958251953, 155.95201110839844]","[146.71763610839844, 174.445068359375]"
