point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[106.48759460449219, 240.37925720214844]","[146.73214721679688, 221.2661895751953]","[156.48277282714844, 191.31809997558594]","[158.03831481933594, 155.2422637939453]","[148.9447021484375, 138.72491455078125]","[129.53504943847656, 162.85244750976562]","[148.52587890625, 130.25942993164062]","[155.03221130371094, 133.12298583984375]","[158.58148193359375, 139.14291381835938]","[107.66680908203125, 152.37286376953125]","[123.56922912597656, 106.88458251953125]","[137.94041442871094, 104.6283187866211]","[145.39772033691406, 117.3511962890625]","[93.22563171386719, 147.08811950683594]","[110.46930694580078, 104.35063171386719]","[123.47203063964844, 114.69943237304688]","[130.7599334716797, 134.59768676757812]","[83.634033203125, 144.7908935546875]","[96.14653015136719, 102.79459381103516]","[109.03230285644531, 104.40193176269531]","[120.00041198730469, 120.37600708007812]"
"[105.00061798095703, 242.40550231933594]","[150.03268432617188, 224.30702209472656]","[167.0625457763672, 199.42678833007812]","[171.09193420410156, 166.24876403808594]","[158.01226806640625, 143.52093505859375]","[134.85494995117188, 161.91180419921875]","[149.5819549560547, 126.3268814086914]","[154.57763671875, 128.93482971191406]","[156.62811279296875, 134.54420471191406]","[111.75578308105469, 150.72528076171875]","[127.02899932861328, 107.31459045410156]","[140.34237670898438, 108.63243103027344]","[144.23365783691406, 123.14225006103516]","[95.61636352539062, 145.06748962402344]","[111.78597259521484, 101.85161590576172]","[125.5075912475586, 107.72314453125]","[129.2012176513672, 125.49235534667969]","[84.79924011230469, 142.68893432617188]","[98.21045684814453, 101.57303619384766]","[110.97704315185547, 103.39122009277344]","[119.50020599365234, 119.23068237304688]"
"[110.33895111083984, 242.09689331054688]","[149.21749877929688, 226.2991943359375]","[159.5145721435547, 199.65084838867188]","[165.35812377929688, 167.96295166015625]","[155.6090850830078, 151.5043487548828]","[134.44003295898438, 162.36520385742188]","[144.68959045410156, 137.30978393554688]","[146.12997436523438, 142.8282928466797]","[146.0220947265625, 146.05203247070312]","[113.75753021240234, 154.07382202148438]","[124.18660736083984, 112.71037292480469]","[134.89430236816406, 108.22372436523438]","[137.60147094726562, 117.71815490722656]","[99.98731231689453, 151.23846435546875]","[111.72698974609375, 111.71048736572266]","[121.37776184082031, 117.5546875]","[125.71907043457031, 133.6910400390625]","[91.46589660644531, 151.92848205566406]","[101.17017364501953, 111.58135223388672]","[114.1046371459961, 111.88327026367188]","[125.34967041015625, 125.27613067626953]"
"[111.074462890625, 242.7411346435547]","[153.33055114746094, 223.4069061279297]","[165.066162109375, 196.45846557617188]","[169.5015411376953, 163.16415405273438]","[158.54180908203125, 146.49325561523438]","[137.18458557128906, 163.03903198242188]","[146.76658630371094, 132.83505249023438]","[146.75096130371094, 135.68556213378906]","[144.94432067871094, 137.4250946044922]","[114.61862182617188, 152.4420623779297]","[126.54539489746094, 108.49230194091797]","[137.62611389160156, 108.26428985595703]","[139.52081298828125, 121.5309829711914]","[98.67310333251953, 147.0469970703125]","[110.3042984008789, 102.828857421875]","[121.19129943847656, 110.1423568725586]","[124.2391357421875, 129.1149139404297]","[87.35660552978516, 145.28074645996094]","[96.43827056884766, 102.64325714111328]","[108.22605895996094, 103.14424896240234]","[117.18290710449219, 118.25416564941406]"
"[107.62263488769531, 239.1095428466797]","[146.96163940429688, 224.0047149658203]","[162.91424560546875, 195.60438537597656]","[172.74456787109375, 164.7852325439453]","[165.95166015625, 148.9695587158203]","[132.49217224121094, 165.33502197265625]","[141.394775390625, 144.17648315429688]","[142.5375518798828, 155.6330108642578]","[142.2954864501953, 160.97837829589844]","[111.35942077636719, 156.4755401611328]","[123.09349822998047, 118.44835662841797]","[127.87864685058594, 117.402099609375]","[123.41065216064453, 122.85076904296875]","[97.41810607910156, 152.10061645507812]","[112.48477935791016, 118.92066955566406]","[120.28471374511719, 128.9662628173828]","[120.59581756591797, 140.381591796875]","[87.65525817871094, 150.84161376953125]","[97.8799057006836, 112.22035217285156]","[107.30359649658203, 113.58073425292969]","[112.47296142578125, 124.0764389038086]"
"[115.06962585449219, 234.6018524169922]","[153.11236572265625, 224.25184631347656]","[172.4440460205078, 199.9835205078125]","[181.57192993164062, 175.05393981933594]","[173.31446838378906, 158.61441040039062]","[144.46519470214844, 165.73715209960938]","[151.36007690429688, 148.38880920410156]","[149.63156127929688, 160.8571319580078]","[145.9582061767578, 168.3497772216797]","[121.32442474365234, 156.7174530029297]","[132.17901611328125, 124.61775207519531]","[131.83033752441406, 126.45628356933594]","[123.69841003417969, 132.70326232910156]","[104.22566223144531, 153.6669158935547]","[116.94825744628906, 125.2437973022461]","[118.162109375, 135.07080078125]","[115.88980865478516, 146.85145568847656]","[92.48225402832031, 154.46775817871094]","[103.72348022460938, 122.24359130859375]","[111.62496948242188, 121.19667053222656]","[116.63407135009766, 128.40919494628906]"
"[112.18395233154297, 234.41677856445312]","[155.1628875732422, 226.5572509765625]","[175.1748046875, 204.63267517089844]","[181.92543029785156, 171.08993530273438]","[174.2037353515625, 143.34205627441406]","[139.82449340820312, 173.26528930664062]","[149.81996154785156, 141.35687255859375]","[148.14239501953125, 146.09645080566406]","[146.16114807128906, 147.52886962890625]","[118.03502655029297, 161.78074645996094]","[127.34590148925781, 120.32323455810547]","[131.0382843017578, 119.46074676513672]","[126.94725036621094, 124.97219848632812]","[102.06153869628906, 154.40737915039062]","[111.10973358154297, 112.78253173828125]","[117.41020202636719, 113.16265869140625]","[118.77235412597656, 120.24666595458984]","[91.65241241455078, 149.9338836669922]","[96.77501678466797, 108.58072662353516]","[107.08479309082031, 102.57868194580078]","[116.37290954589844, 108.02279663085938]"
"[112.17582702636719, 235.2241668701172]","[149.46153259277344, 224.9297332763672]","[168.62367248535156, 203.11959838867188]","[180.3436737060547, 176.25625610351562]","[174.2950897216797, 155.89610290527344]","[136.17459106445312, 165.3515625]","[149.7784881591797, 141.54335021972656]","[148.58566284179688, 152.24952697753906]","[143.53662109375, 157.20089721679688]","[114.66297912597656, 159.3910675048828]","[129.20053100585938, 121.37529754638672]","[133.42193603515625, 124.40361022949219]","[127.13935089111328, 135.5171661376953]","[100.10281372070312, 158.5397491455078]","[115.95223999023438, 120.20999145507812]","[121.1126480102539, 123.30184173583984]","[120.33729553222656, 134.8325653076172]","[93.45594787597656, 160.9163360595703]","[102.5962142944336, 119.59902954101562]","[112.74885559082031, 112.3369140625]","[120.6224365234375, 116.8857421875]"
"[115.1694107055664, 236.4849090576172]","[161.2987823486328, 221.68460083007812]","[180.26263427734375, 202.0855255126953]","[187.29891967773438, 173.354736328125]","[177.92550659179688, 145.57940673828125]","[147.83143615722656, 167.8144073486328]","[154.46780395507812, 142.16897583007812]","[153.99156188964844, 147.74758911132812]","[151.66114807128906, 154.4880828857422]","[123.02515411376953, 156.73275756835938]","[131.3071746826172, 116.10428619384766]","[134.50173950195312, 112.30077362060547]","[130.0812225341797, 119.3248291015625]","[104.38977813720703, 150.60037231445312]","[114.18022155761719, 110.95274353027344]","[120.1668930053711, 108.3732681274414]","[121.00398254394531, 116.63599395751953]","[91.32644653320312, 146.8988037109375]","[100.43086242675781, 111.52459716796875]","[111.31961822509766, 108.04530334472656]","[120.0481185913086, 115.67272186279297]"
"[117.78424072265625, 240.2681121826172]","[157.05491638183594, 219.77256774902344]","[172.2886505126953, 195.5670928955078]","[181.62326049804688, 166.0128936767578]","[176.41831970214844, 139.79734802246094]","[142.95535278320312, 161.64187622070312]","[144.82786560058594, 134.4513397216797]","[143.05001831054688, 142.18453979492188]","[139.62017822265625, 149.80093383789062]","[120.21076965332031, 154.80459594726562]","[128.3650665283203, 113.37683868408203]","[135.69412231445312, 103.96312713623047]","[133.5706329345703, 108.41370391845703]","[102.91664123535156, 152.6512908935547]","[109.2892837524414, 112.66767120361328]","[120.13761138916016, 108.92761993408203]","[123.79613494873047, 118.0730209350586]","[90.7474136352539, 152.9257354736328]","[94.99854278564453, 114.2792739868164]","[106.7569580078125, 109.85194396972656]","[116.45598602294922, 117.6020278930664]"
