point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[146.65386962890625, 219.76454162597656]","[125.88837432861328, 225.36846923828125]","[105.46150207519531, 200.72653198242188]","[81.66228485107422, 175.12905883789062]","[59.39790344238281, 154.01930236816406]","[154.6243133544922, 145.6986541748047]","[121.1904296875, 99.71578979492188]","[100.0354232788086, 75.96614837646484]","[86.59330749511719, 59.46156311035156]","[150.15599060058594, 141.0715789794922]","[99.27562713623047, 121.80899047851562]","[81.6628646850586, 150.27078247070312]","[86.56131744384766, 169.7621307373047]","[139.04827880859375, 142.19444274902344]","[97.03925323486328, 126.81831359863281]","[80.96238708496094, 150.21548461914062]","[84.67024230957031, 165.96484375]","[126.89533996582031, 142.585205078125]","[95.81902313232422, 134.45404052734375]","[87.2227783203125, 144.94590759277344]","[92.6529312133789, 151.3961944580078]"
"[144.49607849121094, 227.03236389160156]","[121.81234741210938, 230.42413330078125]","[97.63226318359375, 204.85107421875]","[75.4256820678711, 172.6438751220703]","[56.355186462402344, 146.7350616455078]","[157.55018615722656, 154.85198974609375]","[126.73406219482422, 104.63528442382812]","[106.04837799072266, 78.98228454589844]","[94.8744888305664, 64.95726013183594]","[154.43344116210938, 148.1620330810547]","[112.69476318359375, 115.83292388916016]","[89.01420593261719, 138.71139526367188]","[87.6087417602539, 160.12857055664062]","[147.50250244140625, 145.85205078125]","[112.49188232421875, 119.46688079833984]","[91.34866333007812, 138.14285278320312]","[89.86571502685547, 156.02764892578125]","[138.9715118408203, 144.3502197265625]","[111.73489379882812, 121.82218170166016]","[100.21517181396484, 130.17379760742188]","[101.67242431640625, 139.5267791748047]"
"[151.9716796875, 224.23597717285156]","[129.25318908691406, 230.23269653320312]","[104.43551635742188, 206.0750274658203]","[79.32820129394531, 182.2580108642578]","[53.32476043701172, 168.2709197998047]","[157.29830932617188, 145.37710571289062]","[118.27336120605469, 99.71931457519531]","[95.3626708984375, 78.95152282714844]","[83.75824737548828, 65.26487731933594]","[155.49949645996094, 138.21571350097656]","[99.0804443359375, 117.73766326904297]","[78.00880432128906, 148.52549743652344]","[82.87091064453125, 168.64927673339844]","[144.96661376953125, 136.10543823242188]","[95.98204803466797, 122.55242156982422]","[75.0078125, 151.9187774658203]","[77.62960052490234, 170.02969360351562]","[132.16053771972656, 133.94906616210938]","[99.81422424316406, 122.67938995361328]","[89.35614013671875, 133.17649841308594]","[95.41915893554688, 138.31048583984375]"
"[154.15480041503906, 226.64096069335938]","[135.9344024658203, 227.61541748046875]","[112.18214416503906, 200.40756225585938]","[87.22757720947266, 181.27786254882812]","[63.22795867919922, 168.20513916015625]","[159.1026153564453, 140.61508178710938]","[126.0205078125, 101.3555908203125]","[102.10336303710938, 78.31392669677734]","[87.95611572265625, 61.94699478149414]","[157.12425231933594, 138.8971405029297]","[109.44982147216797, 124.27932739257812]","[91.10604095458984, 152.36827087402344]","[97.96025085449219, 169.73602294921875]","[148.51393127441406, 141.1132049560547]","[105.45372009277344, 130.6321258544922]","[86.162841796875, 156.4009246826172]","[90.55865478515625, 173.03663635253906]","[138.61322021484375, 142.5966339111328]","[106.20927429199219, 139.31333923339844]","[97.3449935913086, 154.11715698242188]","[106.38675689697266, 161.24252319335938]"
"[152.61488342285156, 224.19717407226562]","[132.7973175048828, 230.2255859375]","[109.08997344970703, 208.07852172851562]","[83.64533233642578, 188.36260986328125]","[60.30485916137695, 178.32289123535156]","[153.5615234375, 149.75807189941406]","[117.33578491210938, 110.4207763671875]","[95.40646362304688, 87.01377868652344]","[82.55580139160156, 68.59373474121094]","[151.27366638183594, 141.1471405029297]","[96.2518310546875, 126.79210662841797]","[84.54805755615234, 156.09542846679688]","[97.80713653564453, 169.2371368408203]","[140.63133239746094, 136.38241577148438]","[90.77403259277344, 127.99351501464844]","[79.37538146972656, 157.9136962890625]","[91.24143981933594, 172.2274932861328]","[129.63430786132812, 131.6219482421875]","[93.76516723632812, 130.37974548339844]","[86.28670501708984, 152.0738067626953]","[96.76258087158203, 160.16807556152344]"
"[167.24790954589844, 219.30563354492188]","[147.01332092285156, 213.99658203125]","[118.29440307617188, 184.5550537109375]","[90.81484985351562, 160.32135009765625]","[63.8433837890625, 146.53875732421875]","[166.43991088867188, 130.14483642578125]","[120.50230407714844, 87.87523651123047]","[93.79562377929688, 67.51781463623047]","[78.7396469116211, 53.86760711669922]","[165.4158172607422, 131.30628967285156]","[111.85834503173828, 106.64392852783203]","[81.73721313476562, 130.0283203125]","[75.41382598876953, 144.44631958007812]","[155.40267944335938, 134.21043395996094]","[105.07923889160156, 113.13155364990234]","[80.33003997802734, 136.8569793701172]","[77.87871551513672, 152.4697723388672]","[143.98828125, 135.0214080810547]","[110.05428314208984, 123.92951202392578]","[98.02874755859375, 136.76133728027344]","[101.09088134765625, 147.7454376220703]"
"[149.4644317626953, 216.12130737304688]","[127.2275390625, 208.97901916503906]","[98.67681121826172, 181.5957794189453]","[73.51338195800781, 157.66635131835938]","[55.05807113647461, 142.3756866455078]","[147.858154296875, 134.6586456298828]","[109.56130981445312, 92.68179321289062]","[82.5943603515625, 72.30757904052734]","[63.455692291259766, 57.63264083862305]","[151.76898193359375, 135.19100952148438]","[101.37837219238281, 115.44122314453125]","[87.80289459228516, 137.47647094726562]","[94.06774139404297, 153.43690490722656]","[148.0270538330078, 138.03854370117188]","[103.71914672851562, 123.38172912597656]","[89.53925323486328, 141.02114868164062]","[93.40938568115234, 153.61465454101562]","[140.8992156982422, 138.6431427001953]","[109.53911590576172, 127.68048095703125]","[99.56426239013672, 136.67620849609375]","[103.82830810546875, 144.9312744140625]"
"[152.47654724121094, 219.29498291015625]","[131.7654571533203, 219.56394958496094]","[102.67841339111328, 191.95445251464844]","[77.44984436035156, 165.97305297851562]","[54.91055679321289, 144.55718994140625]","[153.82266235351562, 145.5215301513672]","[124.2554931640625, 94.86183166503906]","[98.31553649902344, 67.96073150634766]","[77.9635238647461, 52.11669921875]","[158.59642028808594, 143.05368041992188]","[108.80239868164062, 112.08187103271484]","[88.52696990966797, 137.34950256347656]","[91.6982421875, 156.70437622070312]","[154.83006286621094, 141.96170043945312]","[112.70433807373047, 116.91433715820312]","[97.06301879882812, 142.001953125]","[101.33358001708984, 160.63064575195312]","[147.6385955810547, 138.50367736816406]","[115.49983978271484, 121.73783111572266]","[103.59663391113281, 134.17474365234375]","[107.75182342529297, 145.9407196044922]"
"[146.9102020263672, 218.59454345703125]","[119.17243957519531, 223.9822998046875]","[94.4011001586914, 199.14231872558594]","[73.70655822753906, 170.07516479492188]","[64.84962463378906, 146.21945190429688]","[148.35548400878906, 154.05471801757812]","[115.2888412475586, 109.99471282958984]","[92.51313781738281, 83.46143341064453]","[71.98477935791016, 63.36147689819336]","[149.5949249267578, 142.52676391601562]","[97.00465393066406, 122.69019317626953]","[89.51297760009766, 145.1736602783203]","[97.0884780883789, 159.79222106933594]","[143.696044921875, 136.76177978515625]","[98.7999267578125, 125.43894958496094]","[91.8949966430664, 147.8070068359375]","[98.19014739990234, 162.6470489501953]","[135.39013671875, 130.7298126220703]","[100.4690170288086, 124.87720489501953]","[93.32865142822266, 140.93833923339844]","[98.3564453125, 149.3709259033203]"
"[151.9230194091797, 219.4267578125]","[125.20281982421875, 215.90724182128906]","[99.97803497314453, 192.0504913330078]","[76.46305847167969, 167.12229919433594]","[57.38652038574219, 152.09408569335938]","[151.34320068359375, 146.4713592529297]","[108.59656524658203, 109.02489471435547]","[85.96842956542969, 92.199462890625]","[73.2534408569336, 78.43083190917969]","[154.56039428710938, 139.14906311035156]","[102.14031982421875, 121.12858581542969]","[90.3285903930664, 142.21539306640625]","[94.18065643310547, 157.9154815673828]","[148.45668029785156, 138.52833557128906]","[104.32434844970703, 128.19287109375]","[91.88525390625, 148.028076171875]","[94.94200134277344, 160.67092895507812]","[140.23876953125, 136.8670196533203]","[112.58573150634766, 129.85328674316406]","[102.93451690673828, 134.07872009277344]","[104.77178192138672, 133.4641876220703]"
