point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[137.36367797851562, 230.10240173339844]","[94.25330352783203, 208.15203857421875]","[71.28807067871094, 170.4795379638672]","[54.540443420410156, 130.8503875732422]","[36.06590270996094, 95.61141204833984]","[138.2971649169922, 133.68553161621094]","[80.58611297607422, 100.90716552734375]","[60.992271423339844, 121.68194580078125]","[67.75333404541016, 137.7407989501953]","[151.13214111328125, 126.815185546875]","[90.12815856933594, 87.472900390625]","[71.00099182128906, 111.59687805175781]","[79.8857192993164, 130.70445251464844]","[151.54612731933594, 120.9993896484375]","[95.32682037353516, 86.68753051757812]","[81.77804565429688, 114.05557250976562]","[92.51090240478516, 132.79885864257812]","[145.3580322265625, 115.69032287597656]","[104.22197723388672, 90.61592864990234]","[92.50629425048828, 105.9767837524414]","[99.75767517089844, 120.13330841064453]"
"[132.94195556640625, 228.016845703125]","[93.94869995117188, 217.3226318359375]","[72.35088348388672, 178.66908264160156]","[55.65692138671875, 139.4587860107422]","[35.16891098022461, 103.38221740722656]","[132.80873107910156, 141.2623748779297]","[89.3454818725586, 90.24989318847656]","[49.397308349609375, 82.76757049560547]","[26.407470703125, 86.87254333496094]","[146.18194580078125, 130.36546325683594]","[99.04925537109375, 73.7490234375]","[63.0361328125, 78.88370513916016]","[50.46078872680664, 91.80005645751953]","[148.5728759765625, 124.06379699707031]","[105.94588470458984, 81.40666961669922]","[75.88008880615234, 98.33729553222656]","[66.10160827636719, 114.39051055908203]","[144.69387817382812, 119.50028228759766]","[104.37481689453125, 93.75615692138672]","[84.34015655517578, 107.743896484375]","[80.7058334350586, 122.03267669677734]"
"[148.77767944335938, 230.37759399414062]","[108.91876220703125, 217.35870361328125]","[85.74041748046875, 190.05982971191406]","[65.48294830322266, 161.36441040039062]","[51.89255142211914, 141.36573791503906]","[146.34507751464844, 128.93943786621094]","[70.33753204345703, 105.41828918457031]","[50.479034423828125, 124.89945220947266]","[61.09672546386719, 138.82298278808594]","[153.3389129638672, 113.8915023803711]","[74.60100555419922, 80.79800415039062]","[55.1932487487793, 107.44578552246094]","[66.6387710571289, 126.75457000732422]","[150.28265380859375, 107.75650024414062]","[85.82233428955078, 79.24756622314453]","[70.0020980834961, 102.95549011230469]","[78.31400299072266, 117.79092407226562]","[137.93711853027344, 107.96983337402344]","[86.75639343261719, 82.98825073242188]","[70.59921264648438, 102.48504638671875]","[75.55069732666016, 118.16796112060547]"
"[149.2730712890625, 219.70542907714844]","[113.85355377197266, 215.783935546875]","[85.10881042480469, 195.32073974609375]","[61.187744140625, 166.9249267578125]","[47.9298210144043, 148.79246520996094]","[141.9341583251953, 142.15008544921875]","[70.03194427490234, 109.39432525634766]","[42.42017364501953, 121.61551666259766]","[43.602149963378906, 134.0133819580078]","[154.28712463378906, 119.70855712890625]","[85.04338836669922, 72.36701202392578]","[58.4326057434082, 93.64584350585938]","[61.38314437866211, 113.00556945800781]","[157.41709899902344, 105.25662994384766]","[103.46382141113281, 62.9344596862793]","[80.57733917236328, 79.8971939086914]","[79.73938751220703, 94.95944213867188]","[153.46775817871094, 95.36921691894531]","[106.10910034179688, 65.16654205322266]","[82.42738342285156, 82.70301818847656]","[77.14266204833984, 100.51358795166016]"
"[147.5856170654297, 235.1134796142578]","[110.32166290283203, 225.5273895263672]","[84.4285888671875, 192.2186737060547]","[60.34819030761719, 158.59304809570312]","[45.728538513183594, 133.05026245117188]","[144.57546997070312, 133.9418182373047]","[72.44891357421875, 94.95069885253906]","[55.958412170410156, 116.30179595947266]","[68.96952056884766, 135.44857788085938]","[153.4693603515625, 117.64866638183594]","[79.62846374511719, 69.24874877929688]","[64.03228759765625, 95.12129974365234]","[76.69384765625, 116.907958984375]","[151.6631622314453, 109.89282989501953]","[95.60738372802734, 69.98123168945312]","[85.27745056152344, 95.21233367919922]","[96.22462463378906, 111.21910858154297]","[142.9947509765625, 109.60969543457031]","[94.36817169189453, 79.97969818115234]","[81.20177459716797, 102.47817993164062]","[87.23518371582031, 119.26224517822266]"
"[148.11865234375, 226.72769165039062]","[125.72985076904297, 199.90933227539062]","[102.8508071899414, 174.28114318847656]","[82.07550811767578, 160.85552978515625]","[65.48535919189453, 156.81382751464844]","[150.55075073242188, 121.76255798339844]","[93.72015380859375, 109.99221801757812]","[73.52649688720703, 119.72432708740234]","[68.44233703613281, 122.69927978515625]","[150.68447875976562, 130.0299072265625]","[81.5462417602539, 109.68057250976562]","[64.33769989013672, 126.51496124267578]","[68.13555908203125, 133.23182678222656]","[143.63475036621094, 145.28099060058594]","[86.84071350097656, 126.0343246459961]","[70.13385009765625, 137.88685607910156]","[70.72283172607422, 140.5221710205078]","[128.62171936035156, 163.69180297851562]","[83.67156982421875, 146.9170379638672]","[66.70709991455078, 152.87295532226562]","[60.730892181396484, 155.2364959716797]"
"[155.37229919433594, 227.32510375976562]","[141.1496124267578, 189.5518798828125]","[117.1119384765625, 159.6114501953125]","[90.4068832397461, 148.94635009765625]","[68.57179260253906, 146.4757080078125]","[161.5355682373047, 120.87837219238281]","[104.182373046875, 100.75569152832031]","[83.74003601074219, 101.49626159667969]","[76.62479400634766, 104.4229736328125]","[154.8098907470703, 131.40298461914062]","[82.25337982177734, 113.46820831298828]","[64.72029876708984, 135.10206604003906]","[67.70027923583984, 149.09617614746094]","[141.67630004882812, 149.18099975585938]","[73.6038818359375, 137.4591522216797]","[59.208675384521484, 159.6706085205078]","[61.50382614135742, 173.50709533691406]","[123.19210052490234, 171.19667053222656]","[69.913330078125, 163.8230743408203]","[58.288875579833984, 175.28048706054688]","[59.839630126953125, 181.04664611816406]"
"[154.9956817626953, 213.6178436279297]","[131.9757080078125, 211.40377807617188]","[107.073486328125, 195.01519775390625]","[82.07534790039062, 184.20126342773438]","[66.3493423461914, 174.70298767089844]","[154.16397094726562, 132.5883026123047]","[80.76432037353516, 130.53627014160156]","[61.519256591796875, 157.6393585205078]","[61.99586868286133, 174.93646240234375]","[155.70602416992188, 129.8255157470703]","[80.33736419677734, 134.0246124267578]","[69.7229232788086, 164.47268676757812]","[77.2260513305664, 177.66213989257812]","[150.9759979248047, 136.93649291992188]","[83.51726531982422, 138.79891967773438]","[76.96807098388672, 160.12335205078125]","[86.75890350341797, 169.67564392089844]","[142.4300994873047, 147.589599609375]","[97.24124145507812, 142.48828125]","[87.86933135986328, 150.291259765625]","[90.07869720458984, 150.4256134033203]"
"[133.77247619628906, 215.3946990966797]","[117.1885757446289, 206.75567626953125]","[97.67398071289062, 188.174560546875]","[79.24349975585938, 181.72059631347656]","[60.036033630371094, 179.91163635253906]","[142.90187072753906, 127.23957824707031]","[96.20558166503906, 128.8821563720703]","[80.44426727294922, 143.53759765625]","[77.74341583251953, 151.3986053466797]","[138.3004913330078, 127.71537017822266]","[88.60245513916016, 128.72552490234375]","[75.14924621582031, 152.08338928222656]","[76.36133575439453, 168.4200897216797]","[131.6435089111328, 138.31056213378906]","[87.5443115234375, 136.47113037109375]","[74.63416290283203, 155.47999572753906]","[77.75401306152344, 171.0438232421875]","[121.56698608398438, 152.5569610595703]","[91.93841552734375, 146.14395141601562]","[79.84991455078125, 153.41673278808594]","[78.3368911743164, 160.01889038085938]"
"[134.09312438964844, 194.83335876464844]","[136.94033813476562, 192.80801391601562]","[132.83523559570312, 196.9836883544922]","[112.1845932006836, 205.4707489013672]","[99.36921691894531, 221.95721435546875]","[139.78729248046875, 142.90550231933594]","[104.91734313964844, 161.99868774414062]","[92.12808990478516, 189.7666473388672]","[88.61620330810547, 192.9556121826172]","[128.1876678466797, 132.67050170898438]","[81.41859436035156, 157.1415557861328]","[69.09322357177734, 184.49453735351562]","[67.29916381835938, 194.43734741210938]","[118.16951751708984, 135.44125366210938]","[76.51451873779297, 158.2200164794922]","[71.43797302246094, 185.11285400390625]","[78.76750946044922, 201.1038055419922]","[112.44429016113281, 144.61416625976562]","[90.09962463378906, 156.0472869873047]","[88.82594299316406, 170.58599853515625]","[94.51178741455078, 181.67874145507812]"
