point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[122.80806732177734, 218.7764129638672]","[155.97850036621094, 203.80661010742188]","[156.02684020996094, 177.14698791503906]","[127.07037353515625, 161.39239501953125]","[93.55026245117188, 143.0665283203125]","[147.32009887695312, 116.04978942871094]","[145.4163360595703, 77.91380310058594]","[143.7700958251953, 50.917179107666016]","[141.9081268310547, 32.260562896728516]","[119.54122161865234, 122.2859878540039]","[107.46973419189453, 94.00804138183594]","[109.19064331054688, 117.53923797607422]","[114.89360809326172, 141.1728057861328]","[94.6811294555664, 131.79811096191406]","[81.82451629638672, 116.25984954833984]","[92.43260192871094, 149.56309509277344]","[103.53421783447266, 171.8233184814453]","[74.81571197509766, 143.81544494628906]","[64.2911376953125, 132.81378173828125]","[75.58399963378906, 153.85531616210938]","[87.41787719726562, 171.6113739013672]"
"[121.51575469970703, 229.32373046875]","[153.044677734375, 209.6077423095703]","[156.126220703125, 181.02403259277344]","[133.9246063232422, 163.7825469970703]","[105.6158447265625, 148.2421112060547]","[158.7898406982422, 127.3337173461914]","[162.33642578125, 88.35187530517578]","[164.48179626464844, 62.277687072753906]","[164.69654846191406, 43.271934509277344]","[131.2702178955078, 132.35946655273438]","[129.09530639648438, 97.42434692382812]","[128.58944702148438, 120.36914825439453]","[129.437255859375, 140.8684844970703]","[106.49513244628906, 140.65347290039062]","[103.33660888671875, 115.90239715576172]","[108.71871185302734, 146.79063415527344]","[113.06005859375, 167.1926727294922]","[85.38404846191406, 149.6046600341797]","[81.3791275024414, 129.52224731445312]","[89.79991149902344, 148.28057861328125]","[95.7638168334961, 163.85861206054688]"
"[128.250244140625, 226.1596221923828]","[160.9278564453125, 206.68084716796875]","[159.7950439453125, 175.19216918945312]","[134.41844177246094, 155.08778381347656]","[104.54177856445312, 141.01821899414062]","[163.23602294921875, 122.40120697021484]","[164.755615234375, 85.48733520507812]","[164.1075439453125, 57.61998748779297]","[160.45816040039062, 31.630657196044922]","[135.2627716064453, 125.8707504272461]","[141.80506896972656, 85.3478012084961]","[145.79042053222656, 71.0665512084961]","[148.0213165283203, 61.447181701660156]","[108.72850799560547, 134.81117248535156]","[105.33843231201172, 109.2516098022461]","[114.19788360595703, 137.04693603515625]","[118.01051330566406, 157.37860107421875]","[83.80156707763672, 146.90057373046875]","[79.0702896118164, 127.33753967285156]","[92.2228012084961, 147.4229278564453]","[100.98689270019531, 164.73731994628906]"
"[124.75267028808594, 225.55203247070312]","[158.56036376953125, 207.1262664794922]","[159.97068786621094, 176.45379638671875]","[136.0261688232422, 159.3455810546875]","[105.44332122802734, 144.72650146484375]","[163.35496520996094, 125.60916900634766]","[164.193359375, 89.1895523071289]","[163.66258239746094, 62.23088455200195]","[161.45228576660156, 37.272674560546875]","[136.55532836914062, 130.5039825439453]","[142.8834991455078, 94.07620239257812]","[147.26571655273438, 89.2807388305664]","[151.7689971923828, 84.6859130859375]","[111.15774536132812, 138.52670288085938]","[108.90521240234375, 115.89849853515625]","[113.95196533203125, 144.2811279296875]","[117.41374206542969, 161.84524536132812]","[87.708984375, 148.22515869140625]","[82.20645904541016, 127.0778579711914]","[90.96204376220703, 145.37091064453125]","[98.98082733154297, 159.3882293701172]"
"[124.12580871582031, 227.322265625]","[158.24908447265625, 212.4844207763672]","[161.59815979003906, 185.81661987304688]","[138.248291015625, 169.78721618652344]","[105.30448150634766, 153.21380615234375]","[162.5019073486328, 129.8778839111328]","[165.739990234375, 94.88497161865234]","[166.3655548095703, 68.33746337890625]","[165.06369018554688, 43.04976272583008]","[136.1388397216797, 132.26612854003906]","[142.04991149902344, 93.39616394042969]","[145.75238037109375, 81.78162384033203]","[150.4878387451172, 72.03440856933594]","[111.3660888671875, 138.96839904785156]","[106.91537475585938, 115.0562515258789]","[111.1418228149414, 145.12286376953125]","[113.81141662597656, 166.759033203125]","[88.35441589355469, 148.90341186523438]","[82.22834777832031, 129.21136474609375]","[90.5732421875, 149.45413208007812]","[97.85320281982422, 166.71438598632812]"
"[124.2569580078125, 229.30148315429688]","[158.5677490234375, 214.0613250732422]","[162.85330200195312, 186.10110473632812]","[142.07418823242188, 168.70921325683594]","[112.01250457763672, 152.96127319335938]","[162.34158325195312, 132.4447784423828]","[165.04710388183594, 96.57536315917969]","[164.60829162597656, 69.26438903808594]","[163.3013153076172, 43.7258415222168]","[136.2505340576172, 136.4070587158203]","[142.9357452392578, 95.60482025146484]","[145.14443969726562, 80.92312622070312]","[150.2971954345703, 67.3116683959961]","[111.31195068359375, 144.30836486816406]","[108.00675201416016, 120.90631103515625]","[110.9278564453125, 148.5576629638672]","[114.04133605957031, 167.05931091308594]","[88.23749542236328, 153.8656768798828]","[82.3940200805664, 134.3573760986328]","[90.99901580810547, 153.16014099121094]","[99.15208435058594, 168.2930908203125]"
"[122.72949981689453, 227.70535278320312]","[156.35147094726562, 211.9091033935547]","[161.64500427246094, 182.26504516601562]","[140.6407928466797, 161.31361389160156]","[111.11734008789062, 146.27850341796875]","[162.1610565185547, 125.89409637451172]","[163.8142852783203, 88.99662780761719]","[163.15000915527344, 60.99436950683594]","[159.55319213867188, 36.46416473388672]","[134.78610229492188, 127.00340270996094]","[142.08245849609375, 86.66487884521484]","[146.53176879882812, 68.13614654541016]","[149.88951110839844, 56.036338806152344]","[108.93193817138672, 134.03863525390625]","[104.50035858154297, 110.4478530883789]","[112.23217010498047, 138.20684814453125]","[116.26042175292969, 159.07785034179688]","[83.17436218261719, 144.9891357421875]","[78.36475372314453, 124.87985229492188]","[91.8057861328125, 144.393798828125]","[101.55701446533203, 162.10641479492188]"
"[124.4491195678711, 227.6800994873047]","[156.8684844970703, 214.2004852294922]","[162.34034729003906, 189.5037078857422]","[142.5244598388672, 171.08566284179688]","[114.7978744506836, 152.5182647705078]","[160.76795959472656, 131.2299346923828]","[162.82943725585938, 93.72810363769531]","[164.09332275390625, 66.42363739013672]","[163.61685180664062, 44.38901901245117]","[134.8987274169922, 134.5701141357422]","[141.96441650390625, 96.18087005615234]","[144.87026977539062, 84.80608367919922]","[148.86895751953125, 74.99471282958984]","[111.19490051269531, 142.01304626464844]","[107.26947784423828, 123.80264282226562]","[114.0051498413086, 151.20925903320312]","[118.57102966308594, 167.7677001953125]","[89.34874725341797, 150.4399871826172]","[84.96444702148438, 137.13265991210938]","[95.5953140258789, 156.3343963623047]","[103.87090301513672, 171.071044921875]"
"[124.020751953125, 230.83822631835938]","[154.37863159179688, 213.76812744140625]","[159.32864379882812, 187.2201690673828]","[141.38966369628906, 168.63980102539062]","[115.24805450439453, 153.75318908691406]","[158.40628051757812, 133.46974182128906]","[161.14698791503906, 97.36258697509766]","[161.08692932128906, 70.81549072265625]","[158.84884643554688, 48.25910568237305]","[133.31532287597656, 135.48780822753906]","[139.92202758789062, 92.25750732421875]","[145.01187133789062, 74.68937683105469]","[150.49566650390625, 62.6336784362793]","[109.691162109375, 142.28533935546875]","[106.0780258178711, 116.72201538085938]","[112.52056121826172, 143.72518920898438]","[115.26761627197266, 165.4398956298828]","[87.05037689208984, 152.32456970214844]","[83.13732147216797, 132.48109436035156]","[92.92365264892578, 151.8995361328125]","[100.12551879882812, 170.3625946044922]"
"[122.50231170654297, 229.55343627929688]","[158.78463745117188, 211.61715698242188]","[163.5880126953125, 185.9075469970703]","[145.15257263183594, 167.32275390625]","[117.94853210449219, 153.2538604736328]","[159.29031372070312, 130.6709442138672]","[160.1939239501953, 91.06829833984375]","[160.56773376464844, 66.68267059326172]","[157.48927307128906, 45.17507553100586]","[132.30665588378906, 133.5416717529297]","[137.9470672607422, 88.29419708251953]","[143.34051513671875, 70.33561706542969]","[147.85162353515625, 59.09904098510742]","[107.67972564697266, 140.67018127441406]","[106.18954467773438, 116.33236694335938]","[112.9760971069336, 145.62681579589844]","[114.69741821289062, 167.4891815185547]","[84.47351837158203, 150.96038818359375]","[83.09037017822266, 132.51283264160156]","[93.81459045410156, 153.17884826660156]","[99.88750457763672, 169.73287963867188]"
