point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[115.0022964477539, 204.46649169921875]","[151.472900390625, 186.12677001953125]","[173.71339416503906, 171.119873046875]","[184.1263427734375, 156.82740783691406]","[174.47718811035156, 146.61302185058594]","[145.7477569580078, 129.988525390625]","[160.2222137451172, 126.0543441772461]","[156.85049438476562, 138.38070678710938]","[149.87998962402344, 141.35020446777344]","[118.6181411743164, 126.98573303222656]","[130.99012756347656, 122.31012725830078]","[129.78941345214844, 143.15919494628906]","[121.9010009765625, 153.10231018066406]","[99.54435729980469, 130.43612670898438]","[115.6705551147461, 133.382080078125]","[119.35369873046875, 156.72186279296875]","[115.06055450439453, 168.17404174804688]","[86.61141967773438, 134.1580352783203]","[89.84952545166016, 123.64738464355469]","[93.8657455444336, 139.1708526611328]","[94.21867370605469, 152.19480895996094]"
"[121.45350646972656, 206.37210083007812]","[158.72531127929688, 193.487548828125]","[175.78025817871094, 180.38021850585938]","[182.0814971923828, 162.6927032470703]","[174.04974365234375, 147.09603881835938]","[157.4284210205078, 138.77044677734375]","[155.2420654296875, 131.7680206298828]","[150.64569091796875, 144.016357421875]","[146.89488220214844, 147.3516387939453]","[129.1798553466797, 135.25621032714844]","[125.57240295410156, 126.85272979736328]","[123.07864379882812, 145.35678100585938]","[119.399658203125, 156.2593231201172]","[107.16310119628906, 135.1020965576172]","[108.03938293457031, 128.64639282226562]","[105.1471939086914, 146.2666778564453]","[101.33538818359375, 158.76068115234375]","[91.04254150390625, 136.4803009033203]","[87.66132354736328, 122.8001937866211]","[87.37627410888672, 139.5457000732422]","[87.28351593017578, 154.62660217285156]"
"[125.31055450439453, 197.05165100097656]","[159.83905029296875, 185.41346740722656]","[174.5073699951172, 174.06520080566406]","[179.33070373535156, 166.29940795898438]","[168.9488983154297, 158.09654235839844]","[159.07144165039062, 129.72509765625]","[157.95175170898438, 130.54148864746094]","[151.51473999023438, 140.41775512695312]","[146.24249267578125, 143.16082763671875]","[131.2117919921875, 126.81034851074219]","[130.6947021484375, 126.10282135009766]","[128.2596893310547, 145.31661987304688]","[123.24945068359375, 156.96719360351562]","[107.76222229003906, 128.53053283691406]","[113.7824478149414, 128.92930603027344]","[109.04695892333984, 149.89508056640625]","[103.63990783691406, 165.35833740234375]","[89.60355377197266, 130.31805419921875]","[88.22209930419922, 118.93849182128906]","[86.04483032226562, 132.45118713378906]","[86.09532928466797, 146.02572631835938]"
"[122.65196990966797, 199.39163208007812]","[156.59994506835938, 189.0767059326172]","[174.43966674804688, 174.75479125976562]","[179.70310974121094, 164.43548583984375]","[171.10305786132812, 161.6255645751953]","[158.51470947265625, 128.7869415283203]","[153.66864013671875, 133.79666137695312]","[151.12734985351562, 153.12413024902344]","[148.27951049804688, 157.421142578125]","[129.34817504882812, 126.89437103271484]","[123.23126983642578, 130.05287170410156]","[120.56639099121094, 155.24346923828125]","[113.63510131835938, 169.33633422851562]","[105.04956817626953, 130.73452758789062]","[105.38663482666016, 134.82667541503906]","[103.2435302734375, 160.00869750976562]","[99.2951431274414, 175.98562622070312]","[86.8738021850586, 136.06056213378906]","[83.82244110107422, 126.22589874267578]","[81.50926971435547, 140.0164337158203]","[80.40966796875, 150.34564208984375]"
"[119.79151916503906, 211.0243377685547]","[154.78030395507812, 196.2622528076172]","[173.5676727294922, 183.96470642089844]","[178.3044891357422, 170.48825073242188]","[165.9739990234375, 160.0763702392578]","[163.79881286621094, 134.38819885253906]","[154.9449462890625, 132.8664093017578]","[149.0859832763672, 154.18878173828125]","[145.07339477539062, 163.10317993164062]","[132.8682861328125, 132.7526397705078]","[128.30410766601562, 127.2206802368164]","[127.13872528076172, 151.16297912597656]","[122.31866455078125, 161.09214782714844]","[107.90985107421875, 136.93997192382812]","[106.73063659667969, 137.2286376953125]","[103.52075958251953, 164.8441619873047]","[98.32791900634766, 179.5269012451172]","[86.56407165527344, 143.24562072753906]","[82.92034149169922, 129.09803771972656]","[82.44989013671875, 144.6640625]","[82.63609313964844, 155.08218383789062]"
"[123.0903549194336, 225.6379852294922]","[161.3242645263672, 196.11183166503906]","[176.40078735351562, 176.55221557617188]","[175.53138732910156, 151.0988006591797]","[163.88705444335938, 135.69589233398438]","[159.18048095703125, 139.71310424804688]","[155.98501586914062, 120.68067169189453]","[152.24049377441406, 137.80703735351562]","[148.38153076171875, 148.89913940429688]","[131.7774658203125, 136.94003295898438]","[133.7863006591797, 117.58663940429688]","[136.0926513671875, 134.47723388671875]","[131.8295440673828, 142.17776489257812]","[108.82259368896484, 140.2689208984375]","[113.7283935546875, 127.48270416259766]","[113.75823211669922, 153.51535034179688]","[110.1972427368164, 167.0665283203125]","[89.03480529785156, 147.9803009033203]","[90.11624145507812, 130.24559020996094]","[93.06134796142578, 146.6519775390625]","[95.84611511230469, 160.72203063964844]"
"[116.78977966308594, 226.3070068359375]","[155.76663208007812, 196.3840789794922]","[171.05747985839844, 174.05052185058594]","[170.04808044433594, 144.74342346191406]","[157.3483428955078, 128.10302734375]","[154.58433532714844, 140.26055908203125]","[150.14320373535156, 116.78660583496094]","[146.31690979003906, 132.4734649658203]","[143.04750061035156, 145.3541259765625]","[127.32611083984375, 139.13162231445312]","[129.24481201171875, 112.95797729492188]","[131.6907958984375, 130.4656982421875]","[127.24542999267578, 140.0211181640625]","[104.83956146240234, 142.0041961669922]","[108.21134185791016, 121.55453491210938]","[109.951416015625, 146.88279724121094]","[107.60539245605469, 161.47705078125]","[84.61841583251953, 148.5618896484375]","[84.11444091796875, 124.84870910644531]","[88.35346221923828, 141.61862182617188]","[90.27381134033203, 156.7509307861328]"
"[119.2149658203125, 226.27749633789062]","[156.6383056640625, 199.15061950683594]","[174.3197479248047, 177.0530242919922]","[176.2832489013672, 146.15945434570312]","[164.3536376953125, 129.6247100830078]","[158.7801513671875, 132.6603240966797]","[152.5609893798828, 112.83171844482422]","[150.14138793945312, 136.3252716064453]","[147.39048767089844, 152.0258331298828]","[130.04029846191406, 133.6756134033203]","[133.23992919921875, 121.6194839477539]","[136.49871826171875, 149.99057006835938]","[130.5321502685547, 160.33401489257812]","[106.8247299194336, 140.04273986816406]","[108.96231079101562, 131.81146240234375]","[114.73844909667969, 160.1245574951172]","[114.08464050292969, 170.30995178222656]","[84.83723449707031, 149.9083709716797]","[82.76322174072266, 132.186767578125]","[88.34442901611328, 149.76097106933594]","[91.85985565185547, 162.8404998779297]"
"[114.43867492675781, 227.3028106689453]","[153.97442626953125, 204.05099487304688]","[171.62127685546875, 177.38406372070312]","[169.05642700195312, 145.18345642089844]","[152.8663787841797, 129.7853240966797]","[152.9458770751953, 135.58937072753906]","[148.40525817871094, 114.57379913330078]","[144.93209838867188, 134.4202117919922]","[139.62692260742188, 148.63771057128906]","[123.21852111816406, 137.631103515625]","[125.20441436767578, 116.73304748535156]","[129.9356689453125, 140.82969665527344]","[124.1612548828125, 153.74728393554688]","[98.78831481933594, 143.4290008544922]","[103.1384048461914, 126.43612670898438]","[110.63121032714844, 155.7416229248047]","[109.8520278930664, 170.1660919189453]","[76.7408218383789, 151.6510772705078]","[76.6824951171875, 130.68011474609375]","[83.01372528076172, 150.99696350097656]","[85.6065902709961, 166.29156494140625]"
"[120.63045501708984, 228.85000610351562]","[157.7581329345703, 204.95797729492188]","[170.38401794433594, 175.12083435058594]","[167.77459716796875, 145.7420196533203]","[156.1759490966797, 129.86155700683594]","[157.10256958007812, 133.637451171875]","[153.0108184814453, 105.11554718017578]","[150.83396911621094, 115.73138427734375]","[147.96604919433594, 127.46817016601562]","[127.77572631835938, 132.75057983398438]","[126.49634552001953, 117.19445037841797]","[131.6324920654297, 145.72146606445312]","[129.5885009765625, 162.12522888183594]","[102.63250732421875, 139.1710205078125]","[104.57523345947266, 126.8857421875]","[112.95130920410156, 154.76922607421875]","[114.7409439086914, 169.45989990234375]","[80.56434631347656, 149.489501953125]","[79.13102722167969, 133.0809783935547]","[88.14736938476562, 151.51295471191406]","[93.38616180419922, 167.07090759277344]"
