point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[114.91101837158203, 228.45681762695312]","[158.74948120117188, 206.8624267578125]","[170.2382049560547, 181.8482208251953]","[181.3918914794922, 162.1538543701172]","[178.12997436523438, 147.55108642578125]","[138.8529052734375, 148.6321563720703]","[165.57867431640625, 134.6039276123047]","[171.4451904296875, 124.50495910644531]","[171.46583557128906, 112.72451782226562]","[116.98931884765625, 144.03829956054688]","[159.6406707763672, 151.79884338378906]","[153.1072235107422, 182.52879333496094]","[135.36941528320312, 197.5371856689453]","[101.6178970336914, 146.15109252929688]","[143.24281311035156, 155.22125244140625]","[132.6675567626953, 187.0480194091797]","[118.17024230957031, 202.64234924316406]","[89.85955810546875, 149.0840301513672]","[114.7026596069336, 143.8684844970703]","[118.41437530517578, 149.01675415039062]","[116.29434967041016, 151.52706909179688]"
"[114.04595184326172, 229.10397338867188]","[152.9917449951172, 196.0131072998047]","[168.30792236328125, 159.28807067871094]","[166.3927459716797, 127.41252899169922]","[163.7648162841797, 95.47257995605469]","[140.24815368652344, 127.46873474121094]","[142.77554321289062, 90.85227966308594]","[149.37286376953125, 79.2234878540039]","[152.3883056640625, 79.80345153808594]","[115.65632629394531, 134.6501007080078]","[118.48379516601562, 105.14826202392578]","[131.7064666748047, 139.7432403564453]","[130.80459594726562, 166.6531219482422]","[92.97868347167969, 143.30496215820312]","[98.45459747314453, 117.14247131347656]","[111.81376647949219, 151.49545288085938]","[112.02605438232422, 176.59295654296875]","[70.21504211425781, 153.701904296875]","[76.68162536621094, 132.40916442871094]","[91.48707580566406, 158.2126007080078]","[92.86235046386719, 180.57357788085938]"
"[116.97362518310547, 236.87191772460938]","[158.98165893554688, 214.5916748046875]","[169.01853942871094, 178.00247192382812]","[168.70994567871094, 150.77427673339844]","[168.53555297851562, 126.93762969970703]","[148.30245971679688, 145.78790283203125]","[147.6606903076172, 112.16045379638672]","[148.85186767578125, 93.48686218261719]","[150.02760314941406, 85.01701354980469]","[123.69265747070312, 152.49209594726562]","[121.02330780029297, 129.69117736816406]","[126.61896514892578, 153.39535522460938]","[127.64372253417969, 176.33502197265625]","[100.88770294189453, 161.51438903808594]","[100.41819763183594, 143.9585418701172]","[109.85507202148438, 167.78225708007812]","[112.70777893066406, 187.99334716796875]","[76.83147430419922, 169.781494140625]","[77.72615814208984, 160.79319763183594]","[84.97521209716797, 176.3179931640625]","[86.5738754272461, 192.41818237304688]"
"[119.0396957397461, 234.00453186035156]","[159.85446166992188, 209.21697998046875]","[174.00047302246094, 170.02542114257812]","[173.63658142089844, 137.40846252441406]","[172.67945861816406, 103.49626159667969]","[145.55667114257812, 136.6511688232422]","[147.24940490722656, 106.35083770751953]","[154.98309326171875, 92.04953002929688]","[158.96487426757812, 86.30326843261719]","[119.37818145751953, 142.467529296875]","[119.48062896728516, 122.23345947265625]","[127.51788330078125, 148.66787719726562]","[127.53874206542969, 177.4727325439453]","[98.08538055419922, 148.9344482421875]","[102.4671401977539, 135.14373779296875]","[116.10042572021484, 164.38900756835938]","[120.47930908203125, 190.1279754638672]","[77.46277618408203, 157.58131408691406]","[77.98951721191406, 147.2303009033203]","[89.25193786621094, 170.2537078857422]","[94.0583724975586, 194.09713745117188]"
"[121.25786590576172, 226.2255859375]","[156.81597900390625, 199.6132049560547]","[171.49530029296875, 166.47879028320312]","[171.32327270507812, 137.67471313476562]","[166.46762084960938, 106.9559555053711]","[141.4175567626953, 136.3109588623047]","[146.41775512695312, 100.28784942626953]","[151.45518493652344, 83.78038787841797]","[153.42733764648438, 80.69085693359375]","[119.9189682006836, 140.3163299560547]","[122.20176696777344, 118.15298461914062]","[130.61978149414062, 145.2427215576172]","[130.2601318359375, 175.76620483398438]","[101.12498474121094, 145.41835021972656]","[105.66181182861328, 126.18651580810547]","[116.42223358154297, 152.63360595703125]","[119.82477569580078, 177.20233154296875]","[82.65970611572266, 152.36172485351562]","[82.5173568725586, 138.7621307373047]","[91.51835632324219, 158.3844757080078]","[95.99393463134766, 180.74423217773438]"
"[120.95262908935547, 225.45785522460938]","[157.777587890625, 194.67575073242188]","[171.29214477539062, 164.1842803955078]","[176.26820373535156, 136.9795684814453]","[175.37599182128906, 108.03636932373047]","[142.33668518066406, 141.156982421875]","[147.93350219726562, 105.18550109863281]","[155.3566131591797, 85.8017807006836]","[159.31094360351562, 78.53138732910156]","[121.97740173339844, 146.6667022705078]","[125.50942993164062, 118.24879455566406]","[134.2845001220703, 136.8123321533203]","[134.94358825683594, 161.3653106689453]","[104.47360229492188, 151.10958862304688]","[110.1591567993164, 125.14729309082031]","[123.54781341552734, 142.69760131835938]","[128.43341064453125, 163.4494171142578]","[87.41870880126953, 155.63565063476562]","[88.10234832763672, 134.51251220703125]","[98.63796997070312, 147.22727966308594]","[105.301513671875, 167.06851196289062]"
"[121.14920043945312, 223.56439208984375]","[156.34942626953125, 196.7085418701172]","[169.53890991210938, 166.1103973388672]","[174.2577667236328, 137.6939697265625]","[173.05531311035156, 107.10445404052734]","[144.82032775878906, 139.40020751953125]","[152.25210571289062, 103.8232421875]","[158.05479431152344, 81.8304672241211]","[161.1533966064453, 73.19735717773438]","[123.73179626464844, 143.8404541015625]","[126.75695037841797, 117.8473892211914]","[132.87997436523438, 141.0281219482422]","[132.2391815185547, 168.1562957763672]","[104.92501831054688, 148.0150146484375]","[110.10890197753906, 124.67109680175781]","[120.87808990478516, 145.02899169921875]","[124.2559814453125, 166.9735107421875]","[86.65216064453125, 152.4600067138672]","[87.81185913085938, 132.9273681640625]","[97.34790802001953, 148.6973876953125]","[102.62794494628906, 170.8143310546875]"
"[123.32134246826172, 228.68072509765625]","[158.39450073242188, 201.66876220703125]","[171.6175994873047, 169.72804260253906]","[174.9429168701172, 141.05352783203125]","[175.3493194580078, 110.39942169189453]","[148.25009155273438, 144.6580047607422]","[152.7810821533203, 106.14932250976562]","[159.72059631347656, 82.7240982055664]","[163.84605407714844, 74.32400512695312]","[126.46086883544922, 149.31532287597656]","[126.24578094482422, 120.56184387207031]","[130.98196411132812, 145.9051055908203]","[127.88232421875, 174.57632446289062]","[107.06737518310547, 153.67630004882812]","[110.05524444580078, 127.67585754394531]","[119.74618530273438, 152.6757049560547]","[121.78166198730469, 177.1868896484375]","[87.34269714355469, 157.32363891601562]","[86.10929107666016, 136.5211944580078]","[95.0492935180664, 154.06678771972656]","[98.32910919189453, 176.66920471191406]"
"[124.5221176147461, 227.4548797607422]","[161.64309692382812, 202.2047576904297]","[173.4750518798828, 168.71328735351562]","[173.4593963623047, 138.18096923828125]","[168.34579467773438, 108.62921142578125]","[152.35926818847656, 147.13575744628906]","[155.48468017578125, 110.21884155273438]","[160.8313751220703, 88.26349639892578]","[163.8152618408203, 79.4288330078125]","[128.03517150878906, 150.85317993164062]","[128.8560791015625, 121.91122436523438]","[133.08673095703125, 141.19427490234375]","[131.68429565429688, 166.65280151367188]","[107.62220001220703, 154.820068359375]","[112.80950927734375, 131.73764038085938]","[124.15892028808594, 151.83595275878906]","[128.1262969970703, 172.98275756835938]","[87.99315643310547, 158.82167053222656]","[89.050537109375, 141.34754943847656]","[99.2010498046875, 155.30531311035156]","[104.46066284179688, 174.933349609375]"
"[123.85908508300781, 233.42857360839844]","[160.5034942626953, 211.04913330078125]","[172.21937561035156, 178.03192138671875]","[174.58065795898438, 150.84756469726562]","[173.18942260742188, 125.53975677490234]","[149.2320556640625, 148.19090270996094]","[150.47586059570312, 115.7804183959961]","[153.08900451660156, 91.83918762207031]","[154.62005615234375, 76.83425903320312]","[126.4338150024414, 151.76904296875]","[127.77408599853516, 134.565185546875]","[134.09902954101562, 148.26858520507812]","[132.80662536621094, 162.90664672851562]","[104.93071746826172, 159.14425659179688]","[108.42981719970703, 148.05084228515625]","[118.85987854003906, 164.96743774414062]","[120.44792938232422, 179.5374755859375]","[83.26940155029297, 167.1837158203125]","[87.56884765625, 158.99423217773438]","[96.2059326171875, 168.9285125732422]","[97.5229263305664, 180.98390197753906]"
