point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[116.03523254394531, 226.64810180664062]","[138.3318634033203, 216.735107421875]","[147.92373657226562, 188.49107360839844]","[137.2464599609375, 165.0310821533203]","[126.427490234375, 138.4889373779297]","[165.39971923828125, 153.66612243652344]","[184.5803680419922, 113.56050109863281]","[195.5154266357422, 87.90518951416016]","[202.0278778076172, 66.249267578125]","[140.40167236328125, 146.7898406982422]","[158.06361389160156, 102.84881591796875]","[169.65902709960938, 80.4639892578125]","[181.46282958984375, 62.00727081298828]","[114.12434387207031, 148.9379425048828]","[122.3325424194336, 126.25676727294922]","[119.43370056152344, 155.50450134277344]","[115.68819427490234, 178.22276306152344]","[91.0035629272461, 152.07379150390625]","[100.07859802246094, 141.0762176513672]","[102.63046264648438, 160.646240234375]","[100.70387268066406, 178.0850067138672]"
"[116.57176971435547, 226.0804901123047]","[137.3411102294922, 214.0169677734375]","[147.25717163085938, 186.01571655273438]","[135.0917205810547, 165.96505737304688]","[122.68368530273438, 143.24888610839844]","[166.17994689941406, 150.35443115234375]","[183.91543579101562, 114.47856140136719]","[193.63003540039062, 89.56393432617188]","[199.6655731201172, 66.5450439453125]","[140.1761016845703, 143.55410766601562]","[157.8914031982422, 101.82048797607422]","[169.29208374023438, 79.57157897949219]","[180.6689910888672, 60.73109817504883]","[112.89212036132812, 146.531982421875]","[119.52423095703125, 120.6437759399414]","[116.02671813964844, 149.4517822265625]","[111.09285736083984, 172.7676239013672]","[89.27951049804688, 151.04818725585938]","[97.21206665039062, 137.48220825195312]","[99.0312728881836, 158.21136474609375]","[96.29371643066406, 178.00607299804688]"
"[124.7214126586914, 232.73712158203125]","[149.59945678710938, 217.07101440429688]","[152.90110778808594, 188.82662963867188]","[136.79437255859375, 166.49183654785156]","[117.98390197753906, 148.82589721679688]","[167.87026977539062, 146.71119689941406]","[179.01010131835938, 109.3145980834961]","[185.85780334472656, 84.12504577636719]","[189.64437866210938, 61.79367446899414]","[141.88619995117188, 144.0647430419922]","[154.6009979248047, 103.17667388916016]","[160.92967224121094, 75.51604461669922]","[167.44967651367188, 54.14112854003906]","[116.60919952392578, 148.78814697265625]","[114.02289581298828, 126.2896728515625]","[114.3146743774414, 155.65460205078125]","[115.72793579101562, 179.58238220214844]","[94.34648895263672, 155.39805603027344]","[94.23428344726562, 142.5631103515625]","[100.1200942993164, 163.3238525390625]","[105.2328872680664, 183.21115112304688]"
"[125.48467254638672, 229.69320678710938]","[149.6291046142578, 215.30307006835938]","[158.9949188232422, 186.02171325683594]","[148.44952392578125, 162.51858520507812]","[134.8789520263672, 140.4994354248047]","[171.82395935058594, 145.2779083251953]","[185.95021057128906, 108.79208374023438]","[193.11093139648438, 84.60770416259766]","[196.9837188720703, 62.81753921508789]","[146.7977294921875, 139.87399291992188]","[160.766357421875, 102.5176010131836]","[171.428955078125, 78.16992950439453]","[181.1187286376953, 56.69847869873047]","[122.03038024902344, 143.84066772460938]","[122.27391052246094, 125.48477935791016]","[121.33977508544922, 156.83212280273438]","[119.72085571289062, 178.97018432617188]","[99.45369720458984, 149.44374084472656]","[101.66474151611328, 136.4369659423828]","[107.0632095336914, 160.59255981445312]","[110.21210479736328, 181.77796936035156]"
"[125.02691650390625, 234.12339782714844]","[145.0540008544922, 217.0131072998047]","[151.8682861328125, 185.6864471435547]","[142.13760375976562, 161.68173217773438]","[132.5282745361328, 141.69920349121094]","[166.35696411132812, 149.13792419433594]","[181.05247497558594, 113.34229278564453]","[189.15428161621094, 90.17587280273438]","[194.20147705078125, 68.77314758300781]","[145.0060272216797, 144.7787322998047]","[159.0026397705078, 107.49442291259766]","[168.35096740722656, 84.21072387695312]","[176.3039093017578, 63.32288360595703]","[123.07604217529297, 149.88958740234375]","[122.72569274902344, 125.2725830078125]","[121.22473907470703, 152.58807373046875]","[119.620361328125, 173.19351196289062]","[101.4920654296875, 155.39398193359375]","[103.31043243408203, 139.72312927246094]","[107.10872650146484, 159.01959228515625]","[108.66590881347656, 177.04820251464844]"
"[125.77391815185547, 232.33868408203125]","[150.33767700195312, 216.18955993652344]","[158.6029815673828, 189.46533203125]","[149.81690979003906, 169.93699645996094]","[137.75897216796875, 151.53948974609375]","[174.02931213378906, 151.76756286621094]","[192.25845336914062, 115.52703094482422]","[200.66188049316406, 90.57120513916016]","[205.25762939453125, 68.34785461425781]","[148.93118286132812, 145.3912811279297]","[165.45309448242188, 104.80697631835938]","[176.1907501220703, 80.79789733886719]","[184.18133544921875, 61.408138275146484]","[123.19093322753906, 148.67457580566406]","[127.40043640136719, 124.15306091308594]","[127.71338653564453, 152.0464630126953]","[126.78386688232422, 174.50949096679688]","[101.2386703491211, 152.6321563720703]","[106.8648681640625, 139.2352294921875]","[113.08015441894531, 160.09425354003906]","[115.29312133789062, 179.84083557128906]"
"[125.96794128417969, 222.74356079101562]","[150.92251586914062, 209.71876525878906]","[160.58328247070312, 181.42640686035156]","[147.44725036621094, 158.0232696533203]","[129.41172790527344, 136.45628356933594]","[171.6614532470703, 138.73062133789062]","[186.00897216796875, 101.54792785644531]","[193.41390991210938, 76.23725128173828]","[198.21922302246094, 53.191287994384766]","[145.98878479003906, 135.2586212158203]","[159.39324951171875, 95.96699523925781]","[166.57449340820312, 68.92267608642578]","[174.28497314453125, 47.0379524230957]","[119.7243423461914, 139.78262329101562]","[123.00862884521484, 116.23995208740234]","[123.73539733886719, 145.15171813964844]","[125.06141662597656, 167.19161987304688]","[97.16165924072266, 146.2383270263672]","[100.10154724121094, 130.26177978515625]","[105.82540130615234, 151.17626953125]","[110.97026824951172, 171.48977661132812]"
"[128.73934936523438, 220.31597900390625]","[158.48976135253906, 200.83380126953125]","[166.0216827392578, 176.5724334716797]","[146.35556030273438, 153.11810302734375]","[120.75904846191406, 136.03834533691406]","[164.51202392578125, 132.16928100585938]","[168.5120849609375, 90.2806396484375]","[172.55117797851562, 62.473663330078125]","[176.35098266601562, 38.9893913269043]","[138.70208740234375, 130.52728271484375]","[144.27757263183594, 87.27558898925781]","[146.50888061523438, 57.0068244934082]","[148.26565551757812, 32.391075134277344]","[114.95758819580078, 139.1107940673828]","[111.64424133300781, 117.9070053100586]","[117.20143127441406, 149.27182006835938]","[120.95375061035156, 170.35121154785156]","[92.00715637207031, 151.97303771972656]","[93.94862365722656, 139.87237548828125]","[103.31234741210938, 160.9024658203125]","[111.2199478149414, 178.66468811035156]"
"[124.68932342529297, 222.84144592285156]","[155.5664825439453, 202.14222717285156]","[160.04312133789062, 176.65982055664062]","[143.6901397705078, 154.0509490966797]","[123.00365447998047, 139.7118682861328]","[156.7992401123047, 133.05160522460938]","[159.1190643310547, 93.14287567138672]","[161.06002807617188, 65.57261657714844]","[161.36929321289062, 44.31391143798828]","[132.76193237304688, 134.29669189453125]","[135.73318481445312, 90.17549133300781]","[137.1439208984375, 60.23434066772461]","[137.14923095703125, 37.47892379760742]","[110.7356948852539, 142.98065185546875]","[103.3628158569336, 121.71450805664062]","[111.54143524169922, 149.6387481689453]","[117.58882141113281, 168.37583923339844]","[89.21480560302734, 154.22268676757812]","[87.90630340576172, 144.4823455810547]","[98.7266616821289, 163.8390655517578]","[108.54926300048828, 179.02415466308594]"
"[125.00616455078125, 218.7323760986328]","[156.02833557128906, 204.37594604492188]","[165.6591796875, 180.536865234375]","[150.2582550048828, 157.81874084472656]","[126.08306884765625, 140.8061981201172]","[166.2310791015625, 129.7307586669922]","[172.59799194335938, 88.93814086914062]","[175.87828063964844, 61.65546417236328]","[177.084228515625, 37.90520095825195]","[139.2966766357422, 127.33727264404297]","[145.18545532226562, 85.00516510009766]","[149.72312927246094, 57.41788101196289]","[155.1157989501953, 34.62145233154297]","[114.3018798828125, 135.779541015625]","[109.175537109375, 115.15193176269531]","[114.73136901855469, 145.191650390625]","[119.72721099853516, 165.00640869140625]","[90.63689422607422, 148.51695251464844]","[89.71356964111328, 136.19834899902344]","[100.30400085449219, 156.9038848876953]","[109.7387924194336, 173.77236938476562]"
