point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[125.2949447631836, 222.74923706054688]","[148.9867706298828, 212.54556274414062]","[156.353271484375, 182.8217010498047]","[142.28582763671875, 161.1941375732422]","[121.84255981445312, 144.63626098632812]","[165.75823974609375, 139.87986755371094]","[182.38929748535156, 103.75344848632812]","[195.12908935546875, 77.91400146484375]","[206.2178192138672, 57.053436279296875]","[141.74484252929688, 136.3494415283203]","[147.57139587402344, 89.52473449707031]","[152.2747344970703, 57.51991653442383]","[156.10853576660156, 31.795482635498047]","[117.8261947631836, 141.57008361816406]","[110.89360046386719, 117.06775665283203]","[111.29397583007812, 150.07748413085938]","[111.84516906738281, 175.01083374023438]","[95.46331787109375, 146.52207946777344]","[94.4378433227539, 130.49758911132812]","[98.80974578857422, 152.7039031982422]","[103.59153747558594, 172.21871948242188]"
"[122.68719482421875, 221.04898071289062]","[146.73069763183594, 210.60723876953125]","[155.82225036621094, 183.8214111328125]","[140.3866729736328, 159.0383758544922]","[117.41590881347656, 138.66806030273438]","[163.48001098632812, 140.07879638671875]","[179.06390380859375, 103.873046875]","[191.4383544921875, 78.71834564208984]","[200.99758911132812, 57.856170654296875]","[138.85635375976562, 133.64761352539062]","[144.75686645507812, 90.02275085449219]","[149.2093505859375, 59.20368957519531]","[151.08348083496094, 34.39933395385742]","[115.71875, 139.5022430419922]","[109.74871826171875, 118.50214385986328]","[110.90862274169922, 150.1249237060547]","[110.7762680053711, 172.2666015625]","[95.19188690185547, 148.06536865234375]","[96.01009368896484, 135.0998077392578]","[101.71866607666016, 156.60963439941406]","[106.99742889404297, 173.63633728027344]"
"[120.55760192871094, 224.45578002929688]","[142.3185272216797, 213.634765625]","[153.22845458984375, 185.2887725830078]","[140.95614624023438, 162.01904296875]","[121.54484558105469, 145.3254852294922]","[161.15704345703125, 146.8023223876953]","[179.1883087158203, 112.76876831054688]","[192.81312561035156, 88.59635925292969]","[203.25328063964844, 67.71343994140625]","[137.69937133789062, 140.21615600585938]","[142.97381591796875, 96.42316436767578]","[148.18844604492188, 65.91888427734375]","[153.42921447753906, 39.577301025390625]","[116.26754760742188, 145.8042755126953]","[109.87476348876953, 122.06602478027344]","[110.01124572753906, 152.5690155029297]","[110.84393310546875, 174.15805053710938]","[96.46383666992188, 153.82144165039062]","[95.21300506591797, 138.33042907714844]","[99.97083282470703, 158.53610229492188]","[106.17420959472656, 175.7850341796875]"
"[130.3599853515625, 227.23764038085938]","[152.53256225585938, 213.83436584472656]","[157.90992736816406, 183.92742919921875]","[145.9879150390625, 160.60353088378906]","[128.85824584960938, 142.3926239013672]","[170.8647918701172, 149.09759521484375]","[190.37954711914062, 114.13365173339844]","[203.4274139404297, 90.8710708618164]","[214.0163116455078, 71.6553955078125]","[146.82492065429688, 145.08956909179688]","[151.90890502929688, 101.3612060546875]","[159.42715454101562, 71.61482238769531]","[168.04168701171875, 44.65279769897461]","[122.81472778320312, 150.72544860839844]","[119.3163833618164, 126.33440399169922]","[118.66612243652344, 158.1412353515625]","[118.48646545410156, 180.8460693359375]","[100.80856323242188, 157.16766357421875]","[102.25180053710938, 139.6006622314453]","[108.49186706542969, 161.41551208496094]","[115.08131408691406, 181.32321166992188]"
"[129.21951293945312, 224.98681640625]","[151.1103973388672, 209.6796112060547]","[160.179931640625, 181.06871032714844]","[149.83438110351562, 157.3682098388672]","[132.7740478515625, 140.11724853515625]","[166.5958251953125, 139.4529571533203]","[186.40989685058594, 106.59972381591797]","[198.3240966796875, 84.01197814941406]","[208.67678833007812, 66.902587890625]","[143.864013671875, 135.9583740234375]","[150.15814208984375, 95.19064331054688]","[151.95082092285156, 64.82173919677734]","[154.0978546142578, 42.575164794921875]","[121.87803649902344, 143.52066040039062]","[119.04974365234375, 120.60711669921875]","[122.37354278564453, 146.9666290283203]","[124.65437316894531, 168.27027893066406]","[100.74948120117188, 151.941650390625]","[101.49716186523438, 136.80892944335938]","[108.82756042480469, 155.71669006347656]","[116.89848327636719, 175.25674438476562]"
"[131.68345642089844, 223.81878662109375]","[152.979248046875, 211.1162109375]","[163.1403350830078, 184.11427307128906]","[152.4791717529297, 159.85504150390625]","[135.26097106933594, 140.07562255859375]","[170.40216064453125, 140.0988311767578]","[189.69520568847656, 105.2415771484375]","[201.3069305419922, 82.90768432617188]","[210.6311492919922, 66.4013671875]","[147.23391723632812, 136.63607788085938]","[152.02349853515625, 94.73863220214844]","[152.59266662597656, 64.77718353271484]","[154.31814575195312, 42.57790756225586]","[124.71400451660156, 143.7491912841797]","[120.9310302734375, 124.00421905517578]","[123.11531066894531, 152.3297576904297]","[124.48348236083984, 173.25714111328125]","[102.26940155029297, 152.0675506591797]","[102.29855346679688, 138.2847137451172]","[109.83051300048828, 157.66476440429688]","[117.59041595458984, 176.11622619628906]"
"[130.82228088378906, 225.9468231201172]","[152.93438720703125, 210.9330291748047]","[160.23745727539062, 181.6046142578125]","[149.4365692138672, 157.28436279296875]","[133.3774871826172, 138.06658935546875]","[168.94732666015625, 144.6668243408203]","[188.89703369140625, 107.50825500488281]","[201.10423278808594, 85.10968017578125]","[210.61843872070312, 69.50975036621094]","[145.46778869628906, 140.6481475830078]","[151.14601135253906, 96.64936065673828]","[154.6684112548828, 67.15250396728516]","[158.54661560058594, 44.282249450683594]","[121.9051284790039, 147.4091033935547]","[117.14781951904297, 121.33245086669922]","[118.81379699707031, 150.57847595214844]","[119.48871612548828, 174.532958984375]","[98.14717864990234, 155.01060485839844]","[98.36244201660156, 138.03402709960938]","[105.4535140991211, 159.16900634765625]","[112.63130950927734, 180.5248565673828]"
"[127.89179229736328, 226.49293518066406]","[149.52076721191406, 213.01246643066406]","[158.19497680664062, 184.65911865234375]","[146.67330932617188, 161.04920959472656]","[132.09527587890625, 143.16006469726562]","[164.28729248046875, 146.44528198242188]","[183.44419860839844, 112.01052856445312]","[195.0620880126953, 89.75041198730469]","[204.39511108398438, 73.55979919433594]","[141.97158813476562, 143.4536590576172]","[147.02310180664062, 101.00310516357422]","[149.35797119140625, 72.12737274169922]","[153.58004760742188, 49.361541748046875]","[121.06742858886719, 150.8480224609375]","[117.49571228027344, 127.15090942382812]","[120.81702423095703, 154.28057861328125]","[123.22721099853516, 175.43600463867188]","[100.3636703491211, 158.59361267089844]","[101.66548156738281, 144.147705078125]","[109.06475830078125, 162.85281372070312]","[116.23206329345703, 181.34352111816406]"
"[129.0209197998047, 225.56219482421875]","[148.98558044433594, 213.6063690185547]","[156.38973999023438, 188.7017822265625]","[144.744873046875, 167.0143585205078]","[127.05702209472656, 147.77455139160156]","[166.2298126220703, 149.81777954101562]","[185.65615844726562, 115.19503021240234]","[197.6798095703125, 93.45436096191406]","[207.16787719726562, 77.3497314453125]","[144.5929718017578, 146.49546813964844]","[149.4875030517578, 104.80366516113281]","[150.6826629638672, 76.5870590209961]","[153.79248046875, 54.40314865112305]","[123.77922058105469, 152.06202697753906]","[121.19300842285156, 129.6589813232422]","[121.61796569824219, 157.12725830078125]","[121.90950775146484, 179.802001953125]","[104.08295440673828, 156.21441650390625]","[105.38359832763672, 142.34361267089844]","[112.21842193603516, 161.89739990234375]","[118.68286895751953, 181.49453735351562]"
"[124.7598876953125, 226.94740295410156]","[148.08578491210938, 215.27615356445312]","[157.7000274658203, 190.7967529296875]","[143.56857299804688, 168.64089965820312]","[125.8655776977539, 151.30096435546875]","[164.48138427734375, 145.24636840820312]","[179.42694091796875, 108.78231048583984]","[190.57919311523438, 85.56980895996094]","[199.73345947265625, 68.155029296875]","[141.0946044921875, 140.99957275390625]","[143.8185577392578, 95.89278411865234]","[145.6806182861328, 66.93339538574219]","[148.1233367919922, 43.9116325378418]","[119.27001953125, 147.80653381347656]","[113.91819763183594, 125.84050750732422]","[117.03388977050781, 154.0762176513672]","[119.35736083984375, 173.9365997314453]","[98.24869537353516, 155.930908203125]","[98.1718978881836, 144.89122009277344]","[105.45304870605469, 164.26156616210938]","[112.20691680908203, 181.21749877929688]"
