point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[146.98049926757812, 200.85215759277344]","[125.98568725585938, 199.39271545410156]","[117.58576965332031, 198.415283203125]","[108.79661560058594, 177.69049072265625]","[90.59185028076172, 143.01443481445312]","[156.93560791015625, 151.51560974121094]","[133.59945678710938, 125.41117858886719]","[112.79679870605469, 123.24962615966797]","[108.25106811523438, 131.27391052246094]","[157.4257354736328, 123.89351654052734]","[120.60514831542969, 106.09383392333984]","[98.53849029541016, 119.05682373046875]","[98.55856323242188, 135.7000732421875]","[155.09005737304688, 102.52774810791016]","[126.27111053466797, 92.47496032714844]","[104.98895263671875, 106.98027038574219]","[102.50224304199219, 121.31563568115234]","[149.98854064941406, 88.63555908203125]","[125.39414978027344, 79.22886657714844]","[111.74445343017578, 93.40780639648438]","[109.62666320800781, 109.65692901611328]"
"[130.83290100097656, 224.99449157714844]","[124.38401794433594, 192.9425048828125]","[115.71715545654297, 159.8274383544922]","[117.21977233886719, 133.59364318847656]","[120.82723999023438, 112.48133850097656]","[131.0679168701172, 153.13963317871094]","[132.4147491455078, 118.32221221923828]","[135.49989318847656, 102.92915344238281]","[142.8736572265625, 84.45278930664062]","[137.35641479492188, 151.3660888671875]","[146.7227020263672, 119.76814270019531]","[145.31863403320312, 107.21446228027344]","[151.17210388183594, 91.42472839355469]","[146.69810485839844, 153.83380126953125]","[166.86434936523438, 116.49698638916016]","[174.8256072998047, 92.76332092285156]","[185.06402587890625, 76.23716735839844]","[153.62367248535156, 158.8125]","[170.21664428710938, 121.63396453857422]","[181.34031677246094, 101.87574005126953]","[193.92660522460938, 88.15492248535156]"
"[129.47293090820312, 230.3711395263672]","[114.7503890991211, 207.7291717529297]","[103.80497741699219, 180.72677612304688]","[96.00298309326172, 160.65621948242188]","[92.57341003417969, 140.00692749023438]","[134.33375549316406, 162.88746643066406]","[133.32955932617188, 130.72244262695312]","[131.7330780029297, 108.0128173828125]","[134.96742248535156, 87.15696716308594]","[141.8035888671875, 155.5055389404297]","[148.4894561767578, 124.77132415771484]","[143.29525756835938, 115.18254852294922]","[145.61444091796875, 102.45074462890625]","[151.3822479248047, 153.6094207763672]","[169.64810180664062, 113.65386962890625]","[175.70489501953125, 90.36933135986328]","[183.91207885742188, 71.07221984863281]","[156.37266540527344, 156.6446533203125]","[169.9749298095703, 121.11141967773438]","[178.36595153808594, 106.78660583496094]","[188.56878662109375, 94.64725494384766]"
"[115.96598052978516, 215.05648803710938]","[138.61865234375, 197.16883850097656]","[148.32467651367188, 179.7000732421875]","[144.23939514160156, 162.73667907714844]","[137.80909729003906, 134.06471252441406]","[150.8322296142578, 152.22389221191406]","[163.26950073242188, 119.48426055908203]","[170.83963012695312, 96.52753448486328]","[177.11117553710938, 70.2587890625]","[127.2651138305664, 149.98634338378906]","[138.894775390625, 118.18877410888672]","[145.95343017578125, 97.49470520019531]","[152.12184143066406, 76.74209594726562]","[107.6020278930664, 155.17721557617188]","[112.66410064697266, 132.75125122070312]","[113.86685180664062, 118.7503662109375]","[111.16703033447266, 105.32884216308594]","[91.28726196289062, 160.50392150878906]","[85.63898468017578, 142.03504943847656]","[82.12306213378906, 138.72764587402344]","[75.50824737548828, 136.26768493652344]"
"[130.14865112304688, 227.84837341308594]","[146.9394989013672, 199.76834106445312]","[140.9706268310547, 177.2620086669922]","[125.35057067871094, 163.9208221435547]","[112.52302551269531, 146.72244262695312]","[154.4517822265625, 144.6153564453125]","[168.45046997070312, 109.88394927978516]","[177.19918823242188, 86.28226470947266]","[183.18919372558594, 65.79692077636719]","[136.3270263671875, 147.3395538330078]","[144.15975952148438, 108.82172393798828]","[152.0004119873047, 83.1824722290039]","[159.6981201171875, 64.2813949584961]","[117.63094329833984, 156.9047088623047]","[110.47093963623047, 122.53771209716797]","[107.08161163330078, 91.91764831542969]","[105.39327239990234, 70.17351531982422]","[104.38996124267578, 170.54664611816406]","[92.78682708740234, 143.99267578125]","[91.85284423828125, 143.2914276123047]","[93.3868408203125, 148.20480346679688]"
"[124.4157943725586, 227.31114196777344]","[138.50555419921875, 210.71336364746094]","[138.19544982910156, 192.5325164794922]","[123.72616577148438, 180.62022399902344]","[111.02360534667969, 162.99049377441406]","[150.28811645507812, 157.02352905273438]","[163.90597534179688, 122.01789093017578]","[174.29405212402344, 97.9545669555664]","[183.27706909179688, 74.89570617675781]","[130.9241943359375, 155.18385314941406]","[138.60565185546875, 115.38220977783203]","[145.2163543701172, 89.93524169921875]","[151.51918029785156, 70.38740539550781]","[112.56166076660156, 160.1167449951172]","[109.26822662353516, 128.5916748046875]","[102.36244201660156, 103.75374603271484]","[94.867431640625, 85.46534729003906]","[98.89762115478516, 170.2689208984375]","[91.17213439941406, 151.63829040527344]","[87.39751434326172, 151.3605194091797]","[82.14575958251953, 153.4219970703125]"
"[134.42031860351562, 225.17494201660156]","[148.0718231201172, 202.2412109375]","[141.43539428710938, 179.438720703125]","[116.53008270263672, 166.9239044189453]","[91.54212188720703, 153.46592712402344]","[163.80438232421875, 141.8544158935547]","[178.8982696533203, 102.17153930664062]","[190.3058319091797, 76.804443359375]","[197.5481719970703, 55.47686004638672]","[142.95925903320312, 140.66671752929688]","[147.98895263671875, 97.98336791992188]","[149.602783203125, 71.88661193847656]","[149.39434814453125, 52.57197952270508]","[121.71611785888672, 147.1001739501953]","[111.21037292480469, 109.38927459716797]","[102.27993774414062, 84.85176849365234]","[95.08935546875, 66.87054443359375]","[104.06768798828125, 159.2621307373047]","[94.03202819824219, 137.3265838623047]","[94.49312591552734, 148.51121520996094]","[97.63138580322266, 162.50030517578125]"
"[130.97860717773438, 230.08172607421875]","[139.6326446533203, 205.93678283691406]","[130.51478576660156, 184.6429901123047]","[107.7516860961914, 169.97605895996094]","[84.82083129882812, 154.67637634277344]","[157.2845001220703, 147.0325164794922]","[171.89234924316406, 106.81916046142578]","[182.49110412597656, 81.43698120117188]","[190.2638702392578, 61.717018127441406]","[139.04840087890625, 144.07408142089844]","[148.7445526123047, 103.0567398071289]","[153.44825744628906, 77.80145263671875]","[157.00904846191406, 61.52793884277344]","[118.24368286132812, 149.04368591308594]","[110.34485626220703, 112.42137908935547]","[101.85557556152344, 85.9341812133789]","[96.09248352050781, 67.9166030883789]","[101.65271759033203, 159.78224182128906]","[89.90015411376953, 138.0174560546875]","[89.2303695678711, 148.2757110595703]","[94.52515411376953, 162.50718688964844]"
"[130.97048950195312, 234.89309692382812]","[129.26470947265625, 212.58135986328125]","[125.51705169677734, 186.84255981445312]","[113.08686065673828, 175.35963439941406]","[101.82569122314453, 162.343994140625]","[146.97373962402344, 145.94512939453125]","[161.84848022460938, 112.05016326904297]","[169.5088348388672, 89.06454467773438]","[178.413330078125, 66.51742553710938]","[139.06063842773438, 147.2638702392578]","[150.5039825439453, 104.75093841552734]","[153.55809020996094, 81.27957916259766]","[157.79449462890625, 62.557952880859375]","[132.13641357421875, 152.43020629882812]","[141.28187561035156, 117.15148162841797]","[139.65457153320312, 92.66091918945312]","[140.2261199951172, 71.94204711914062]","[123.01995849609375, 160.70468139648438]","[120.8426742553711, 136.9389190673828]","[117.15428161621094, 138.3116455078125]","[117.56693267822266, 143.64511108398438]"
"[126.06649017333984, 227.77796936035156]","[140.9982147216797, 209.65447998046875]","[137.557861328125, 186.69921875]","[112.97073364257812, 168.85562133789062]","[88.1832504272461, 149.7759246826172]","[160.86827087402344, 143.81126403808594]","[178.79307556152344, 103.67284393310547]","[191.58200073242188, 80.95858001708984]","[200.8244171142578, 62.26797866821289]","[136.9290313720703, 141.11874389648438]","[143.41566467285156, 95.54609680175781]","[147.3297882080078, 70.79903411865234]","[148.57467651367188, 54.83342742919922]","[114.23979187011719, 147.3394317626953]","[109.40245056152344, 107.62599182128906]","[102.6681137084961, 85.68003845214844]","[96.64421081542969, 68.39632415771484]","[96.35912322998047, 158.43862915039062]","[91.34563446044922, 138.22677612304688]","[94.17459869384766, 152.18695068359375]","[97.68692779541016, 169.2763214111328]"
"[126.78202056884766, 222.62692260742188]","[145.89825439453125, 206.65733337402344]","[143.4197235107422, 180.45619201660156]","[119.6893539428711, 162.5963897705078]","[92.19331359863281, 145.797119140625]","[166.07440185546875, 137.6721954345703]","[182.71368408203125, 97.45191192626953]","[195.02162170410156, 73.8457260131836]","[205.99708557128906, 51.6423454284668]","[139.76437377929688, 133.84268188476562]","[149.96151733398438, 88.18883514404297]","[153.37840270996094, 62.91123962402344]","[153.97421264648438, 43.81232452392578]","[115.91714477539062, 139.48739624023438]","[116.90828704833984, 98.54006958007812]","[113.19636535644531, 75.21446228027344]","[111.13416290283203, 57.984867095947266]","[95.12541198730469, 149.7262420654297]","[91.73885345458984, 124.8364486694336]","[93.00980377197266, 133.45323181152344]","[96.26548767089844, 147.95089721679688]"
"[122.60319519042969, 227.7301025390625]","[141.11436462402344, 213.11666870117188]","[140.23757934570312, 191.10794067382812]","[115.1868896484375, 172.1686248779297]","[89.75350189208984, 152.50177001953125]","[161.23690795898438, 146.30303955078125]","[179.11085510253906, 105.07623291015625]","[192.94174194335938, 81.7340316772461]","[203.93487548828125, 62.64752960205078]","[135.15670776367188, 142.23281860351562]","[142.15933227539062, 93.8794174194336]","[146.27145385742188, 67.60050964355469]","[147.9905548095703, 53.06881332397461]","[112.38410949707031, 147.5947723388672]","[108.71147918701172, 104.75621032714844]","[102.46813201904297, 81.07698059082031]","[97.43592834472656, 64.42768859863281]","[94.11070251464844, 159.4706573486328]","[89.52738189697266, 137.57814025878906]","[92.22625732421875, 153.37423706054688]","[96.75971221923828, 173.45767211914062]"
"[126.30616760253906, 227.69064331054688]","[147.3799285888672, 210.2374267578125]","[147.65797424316406, 185.82846069335938]","[122.32170867919922, 168.5109100341797]","[95.10194396972656, 154.17092895507812]","[165.08538818359375, 141.46676635742188]","[185.0000762939453, 102.04955291748047]","[199.21661376953125, 78.94757843017578]","[212.09603881835938, 59.73452377319336]","[138.1907501220703, 138.4800262451172]","[147.4612274169922, 91.24844360351562]","[153.0128631591797, 65.14930725097656]","[156.07374572753906, 49.566375732421875]","[113.88086700439453, 146.7272186279297]","[111.30903625488281, 105.27605438232422]","[109.70333862304688, 85.9963150024414]","[108.0904312133789, 73.4793930053711]","[94.3053207397461, 160.236083984375]","[92.34252166748047, 137.1632080078125]","[95.20035552978516, 150.01480102539062]","[98.20479583740234, 167.65179443359375]"
"[131.60137939453125, 224.75238037109375]","[145.57701110839844, 208.10398864746094]","[143.5142822265625, 182.86891174316406]","[116.83307647705078, 168.57662963867188]","[89.86548614501953, 157.0550079345703]","[164.5536651611328, 140.62429809570312]","[182.17098999023438, 102.46327209472656]","[195.78067016601562, 78.31060791015625]","[209.10601806640625, 56.16865539550781]","[141.220703125, 137.73065185546875]","[150.5104217529297, 90.55484008789062]","[154.38966369628906, 65.04090881347656]","[158.1671600341797, 49.11375427246094]","[119.41844177246094, 144.80633544921875]","[118.00125122070312, 101.05326843261719]","[111.91482543945312, 76.90240478515625]","[108.48818969726562, 60.747406005859375]","[101.56338500976562, 158.71820068359375]","[93.47959899902344, 138.0139923095703]","[91.43190002441406, 152.43661499023438]","[93.67420959472656, 171.2926483154297]"
