point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[130.84173583984375, 225.91493225097656]","[162.5443572998047, 206.3405303955078]","[179.15023803710938, 177.76535034179688]","[174.71258544921875, 152.34072875976562]","[158.65481567382812, 142.33810424804688]","[161.7654266357422, 131.1506805419922]","[174.99807739257812, 104.52166748046875]","[183.44775390625, 84.28517150878906]","[189.1826171875, 66.70240783691406]","[139.08482360839844, 133.51852416992188]","[157.66380310058594, 130.26458740234375]","[158.9282684326172, 156.32423400878906]","[152.76478576660156, 161.62095642089844]","[119.1824722290039, 145.09848022460938]","[137.95379638671875, 147.316650390625]","[140.63555908203125, 175.86911010742188]","[133.20999145507812, 180.88592529296875]","[101.93891906738281, 157.48960876464844]","[118.04667663574219, 165.9660186767578]","[124.61866760253906, 185.6328125]","[118.65939331054688, 189.5460205078125]"
"[122.69310760498047, 226.83099365234375]","[157.2906494140625, 204.60899353027344]","[175.44471740722656, 175.20169067382812]","[173.10049438476562, 150.0142822265625]","[155.46266174316406, 141.6696319580078]","[153.35581970214844, 130.6905975341797]","[171.07228088378906, 103.41679382324219]","[182.43829345703125, 82.93018341064453]","[190.3504638671875, 64.02333068847656]","[131.0907440185547, 135.10008239746094]","[157.55575561523438, 135.25582885742188]","[158.4686279296875, 162.7777099609375]","[150.4569854736328, 167.24917602539062]","[112.00823974609375, 145.65322875976562]","[135.22979736328125, 148.8414306640625]","[136.35218811035156, 176.37049865722656]","[127.66099548339844, 180.03219604492188]","[95.75760650634766, 155.3278350830078]","[116.19493865966797, 163.7562255859375]","[121.59925079345703, 184.2412872314453]","[114.46316528320312, 188.51942443847656]"
"[130.48876953125, 229.9940948486328]","[165.1927490234375, 198.53140258789062]","[171.7821502685547, 162.40847778320312]","[163.37222290039062, 138.97134399414062]","[143.9782257080078, 135.1771240234375]","[152.9752655029297, 130.96080017089844]","[164.84434509277344, 99.48760986328125]","[173.34068298339844, 78.6141357421875]","[177.993896484375, 61.83299255371094]","[132.52020263671875, 139.17828369140625]","[146.27743530273438, 120.06905364990234]","[154.6132354736328, 131.92306518554688]","[154.43508911132812, 135.221923828125]","[113.267333984375, 150.5537567138672]","[130.7057342529297, 143.2613067626953]","[137.07875061035156, 168.49356079101562]","[132.27516174316406, 172.98060607910156]","[96.77691650390625, 160.2734375]","[114.112060546875, 160.8077392578125]","[124.44892883300781, 180.27159118652344]","[121.8935317993164, 185.40399169921875]"
"[125.32545471191406, 228.28790283203125]","[160.2726593017578, 203.793701171875]","[175.95680236816406, 173.68649291992188]","[172.78103637695312, 150.0954132080078]","[153.8738250732422, 142.18931579589844]","[154.1473388671875, 130.33045959472656]","[168.6195831298828, 102.17513275146484]","[178.51321411132812, 81.95854949951172]","[183.5355987548828, 64.67604064941406]","[131.23370361328125, 134.96717834472656]","[154.9597625732422, 131.8369598388672]","[159.879638671875, 155.80548095703125]","[152.57516479492188, 159.97509765625]","[111.55535125732422, 146.3888397216797]","[134.93504333496094, 150.09588623046875]","[138.52999877929688, 176.72735595703125]","[128.810302734375, 178.6761932373047]","[95.54763793945312, 156.27645874023438]","[117.02452850341797, 166.5563201904297]","[124.39015197753906, 186.5474395751953]","[115.5420150756836, 187.6262664794922]"
"[128.11732482910156, 227.8843536376953]","[160.13052368164062, 205.59341430664062]","[172.36732482910156, 175.12066650390625]","[171.1241455078125, 152.6783905029297]","[158.04176330566406, 143.46897888183594]","[149.76759338378906, 132.83045959472656]","[163.8966064453125, 103.4111328125]","[170.68601989746094, 82.8132095336914]","[174.9661102294922, 67.48295593261719]","[131.2481231689453, 140.66310119628906]","[151.1763458251953, 136.56817626953125]","[154.41319274902344, 162.9766387939453]","[148.08042907714844, 170.45777893066406]","[114.6148681640625, 152.4371795654297]","[134.22352600097656, 155.11007690429688]","[138.65353393554688, 179.231689453125]","[131.01747131347656, 181.762939453125]","[99.50834655761719, 160.99105834960938]","[117.72445678710938, 171.74496459960938]","[123.53121185302734, 190.84327697753906]","[116.35602569580078, 193.24896240234375]"
"[125.46167755126953, 228.9064483642578]","[159.16249084472656, 205.2918701171875]","[172.83929443359375, 174.88372802734375]","[171.3949432373047, 154.1237030029297]","[155.78224182128906, 146.13949584960938]","[151.43724060058594, 132.16134643554688]","[166.3428192138672, 103.41426086425781]","[176.0662384033203, 83.59941101074219]","[182.3955078125, 67.26620483398438]","[130.15066528320312, 136.62594604492188]","[155.35751342773438, 134.23770141601562]","[160.0382080078125, 153.09129333496094]","[155.224365234375, 156.36585998535156]","[111.79230499267578, 147.6907196044922]","[135.7810516357422, 156.02117919921875]","[139.1912078857422, 182.19049072265625]","[130.4232940673828, 184.63241577148438]","[96.9071273803711, 158.4206085205078]","[118.869384765625, 171.63449096679688]","[126.97037506103516, 192.41543579101562]","[120.26054382324219, 195.27235412597656]"
"[123.731689453125, 233.08163452148438]","[159.69683837890625, 208.65740966796875]","[169.50515747070312, 178.7596893310547]","[169.53416442871094, 162.154052734375]","[156.5244140625, 155.31048583984375]","[145.91929626464844, 136.4310302734375]","[156.58297729492188, 105.32102966308594]","[164.5519561767578, 84.09264373779297]","[171.67596435546875, 67.99899291992188]","[126.70266723632812, 145.612060546875]","[149.62924194335938, 140.48072814941406]","[153.11656188964844, 167.39794921875]","[147.7748260498047, 174.91693115234375]","[110.28235626220703, 158.13848876953125]","[132.5545196533203, 162.9742889404297]","[138.2340087890625, 190.85781860351562]","[132.66773986816406, 194.66265869140625]","[96.64095306396484, 168.5115203857422]","[117.13155364990234, 179.65557861328125]","[123.62535858154297, 199.80177307128906]","[117.63866424560547, 202.53172302246094]"
"[124.76612091064453, 234.22427368164062]","[158.47047424316406, 208.39468383789062]","[169.62831115722656, 176.81094360351562]","[171.73861694335938, 160.7281494140625]","[162.21929931640625, 153.10205078125]","[146.35906982421875, 134.01742553710938]","[155.1759490966797, 101.71453857421875]","[162.0485382080078, 83.4487075805664]","[169.06007385253906, 71.76467895507812]","[128.31686401367188, 146.37232971191406]","[150.81639099121094, 139.29920959472656]","[154.90565490722656, 166.5552215576172]","[148.19879150390625, 172.90097045898438]","[112.9203872680664, 161.28213500976562]","[134.2535400390625, 164.24790954589844]","[140.1771697998047, 193.48492431640625]","[132.4265594482422, 196.13369750976562]","[97.75450897216797, 172.99998474121094]","[119.4457778930664, 180.92127990722656]","[125.03986358642578, 202.7475128173828]","[114.47901916503906, 205.5713653564453]"
"[121.12371063232422, 236.94285583496094]","[158.36978149414062, 209.24386596679688]","[168.68829345703125, 176.9219970703125]","[171.0234375, 157.38023376464844]","[162.56265258789062, 152.53353881835938]","[143.82310485839844, 135.3621826171875]","[155.19334411621094, 104.2186279296875]","[166.33616638183594, 85.28140258789062]","[174.40423583984375, 72.52908325195312]","[124.22843170166016, 146.56895446777344]","[147.64561462402344, 138.9836883544922]","[152.67019653320312, 166.8848876953125]","[145.2103271484375, 174.17564392089844]","[108.06404876708984, 159.95703125]","[132.40811157226562, 161.23629760742188]","[137.50856018066406, 190.34698486328125]","[127.8077392578125, 192.18960571289062]","[93.81719970703125, 169.35581970214844]","[116.41381072998047, 176.85366821289062]","[122.20516204833984, 198.4032745361328]","[112.09837341308594, 199.5486602783203]"
"[122.55451965332031, 235.10304260253906]","[160.59300231933594, 212.88320922851562]","[171.69985961914062, 183.1969451904297]","[172.3641815185547, 167.48193359375]","[158.34359741210938, 159.4414520263672]","[144.73146057128906, 135.4299774169922]","[154.77655029296875, 107.06492614746094]","[163.7429962158203, 86.58763122558594]","[170.8592987060547, 72.57077026367188]","[124.73046112060547, 147.45755004882812]","[144.40335083007812, 132.21437072753906]","[154.7649688720703, 142.78846740722656]","[156.37484741210938, 146.62094116210938]","[107.47570037841797, 161.46185302734375]","[131.65988159179688, 167.0940704345703]","[138.981201171875, 193.9219970703125]","[132.22549438476562, 198.89967346191406]","[91.77178955078125, 172.54324340820312]","[112.75265502929688, 182.62437438964844]","[119.67317962646484, 204.13978576660156]","[112.3963623046875, 209.4943084716797]"
