point_0,point_1,point_2,point_3,point_4,point_5,point_6,point_7,point_8,point_9,point_10,point_11,point_12,point_13,point_14,point_15,point_16,point_17,point_18,point_19,point_20
"[116.0776596069336, 215.9171142578125]","[157.58021545410156, 189.71371459960938]","[181.45787048339844, 165.80905151367188]","[205.4423828125, 146.3657684326172]","[231.44775390625, 134.27964782714844]","[140.5987091064453, 132.4958953857422]","[140.55490112304688, 113.38018798828125]","[137.7534637451172, 131.11981201171875]","[135.8826904296875, 141.75576782226562]","[116.63481903076172, 136.1250762939453]","[122.4295883178711, 121.3375244140625]","[123.04335021972656, 148.15823364257812]","[119.9038314819336, 166.26455688476562]","[95.00515747070312, 139.9180145263672]","[98.26891326904297, 132.51510620117188]","[105.25921630859375, 159.37335205078125]","[108.66085052490234, 176.837646484375]","[76.02143859863281, 140.04258728027344]","[61.616580963134766, 108.62487030029297]","[58.537498474121094, 82.55118560791016]","[58.090843200683594, 58.33241271972656]"
"[120.2918701171875, 209.75381469726562]","[162.40689086914062, 186.65069580078125]","[183.8555450439453, 163.61602783203125]","[207.3357391357422, 143.13009643554688]","[236.25196838378906, 129.48171997070312]","[143.9071807861328, 136.289794921875]","[143.3104248046875, 118.06294250488281]","[143.10189819335938, 132.74000549316406]","[142.09445190429688, 140.98477172851562]","[120.66987609863281, 140.05567932128906]","[123.37518310546875, 121.97663116455078]","[126.06217193603516, 144.52914428710938]","[123.24464416503906, 160.74110412597656]","[99.12394714355469, 142.02597045898438]","[98.66416931152344, 128.7441864013672]","[107.07066345214844, 151.7194061279297]","[110.85613250732422, 168.1626434326172]","[80.14733123779297, 139.4935302734375]","[62.10725402832031, 110.025146484375]","[57.41547775268555, 85.25133514404297]","[55.119632720947266, 61.6334114074707]"
"[115.55545806884766, 213.59710693359375]","[159.3121337890625, 189.4827117919922]","[180.79893493652344, 159.77774047851562]","[205.6263885498047, 137.3758544921875]","[231.5909423828125, 123.04460906982422]","[141.8804931640625, 134.1168670654297]","[134.7666473388672, 106.89659118652344]","[139.11373901367188, 128.4459991455078]","[142.41009521484375, 143.43080139160156]","[117.07537078857422, 140.1019744873047]","[116.45838928222656, 114.79289245605469]","[123.30107879638672, 141.192626953125]","[124.12183380126953, 160.72535705566406]","[94.12832641601562, 141.97825622558594]","[89.29303741455078, 118.34576416015625]","[98.58091735839844, 139.41384887695312]","[104.37257385253906, 154.4254150390625]","[73.76070404052734, 139.86734008789062]","[52.51034164428711, 107.13870239257812]","[45.57642364501953, 84.32597351074219]","[43.012203216552734, 60.086605072021484]"
"[117.5100326538086, 213.7686309814453]","[160.4422149658203, 190.6585693359375]","[182.8031768798828, 158.5017852783203]","[207.65567016601562, 136.3251495361328]","[234.59442138671875, 122.30513000488281]","[141.4935760498047, 130.45407104492188]","[138.94805908203125, 106.61978912353516]","[141.35768127441406, 128.61697387695312]","[141.66128540039062, 143.2449493408203]","[116.91825866699219, 136.5672607421875]","[121.08441162109375, 115.92200469970703]","[126.18048095703125, 145.62046813964844]","[124.6578140258789, 163.80831909179688]","[94.1739501953125, 138.56692504882812]","[95.59849548339844, 120.7799072265625]","[104.63294982910156, 146.84542846679688]","[108.59334564208984, 162.2854766845703]","[74.34439849853516, 136.07835388183594]","[57.24478530883789, 102.2659683227539]","[52.42784118652344, 78.98893737792969]","[50.56649398803711, 52.87455368041992]"
"[119.45218658447266, 214.38546752929688]","[158.20420837402344, 190.50344848632812]","[180.44683837890625, 164.8037567138672]","[203.51913452148438, 143.30621337890625]","[231.50454711914062, 126.91313171386719]","[143.45733642578125, 132.38131713867188]","[144.5952606201172, 118.84982299804688]","[145.07225036621094, 138.1720428466797]","[145.4275665283203, 149.44247436523438]","[119.1871566772461, 136.64134216308594]","[123.6703109741211, 128.17779541015625]","[124.96058654785156, 154.04287719726562]","[123.03611755371094, 171.64463806152344]","[97.13520050048828, 140.7004852294922]","[98.47406005859375, 135.92066955566406]","[106.63370513916016, 158.92356872558594]","[111.87053680419922, 173.74546813964844]","[77.75606536865234, 141.51605224609375]","[60.074222564697266, 114.75569152832031]","[52.85183334350586, 89.94042205810547]","[49.361263275146484, 66.03191375732422]"
"[116.25049591064453, 206.5577850341797]","[157.931884765625, 188.77813720703125]","[181.28956604003906, 163.85044860839844]","[204.25613403320312, 143.70849609375]","[227.18399047851562, 131.58604431152344]","[139.80564880371094, 132.19979858398438]","[144.14906311035156, 112.5594253540039]","[144.5347442626953, 134.5127716064453]","[139.5508270263672, 146.99581909179688]","[115.72484588623047, 134.92520141601562]","[128.2429962158203, 117.96844482421875]","[129.45822143554688, 145.654296875]","[123.46192169189453, 161.70529174804688]","[95.15172576904297, 135.63108825683594]","[105.29430389404297, 125.23760223388672]","[110.95059204101562, 150.86349487304688]","[110.37407684326172, 164.95098876953125]","[77.36302947998047, 133.9398651123047]","[68.5612564086914, 102.74010467529297]","[67.8861312866211, 81.01234436035156]","[67.91806030273438, 57.66962814331055]"
"[118.3891830444336, 215.80514526367188]","[161.0996856689453, 190.96539306640625]","[182.51744079589844, 168.22544860839844]","[200.85804748535156, 144.56642150878906]","[222.83724975585938, 123.57159423828125]","[141.48358154296875, 130.12327575683594]","[137.18251037597656, 117.26634979248047]","[139.05601501464844, 139.26763916015625]","[143.19830322265625, 152.68954467773438]","[117.09666442871094, 137.06942749023438]","[113.76508331298828, 127.28008270263672]","[119.2409439086914, 153.59259033203125]","[121.14418029785156, 167.3240509033203]","[94.41921997070312, 142.7720184326172]","[89.37345886230469, 139.76393127441406]","[102.92498016357422, 162.49969482421875]","[109.78495788574219, 173.23231506347656]","[74.68965148925781, 144.56393432617188]","[56.27224349975586, 124.15758514404297]","[49.141151428222656, 102.42540740966797]","[43.202354431152344, 76.98399353027344]"
"[118.54027557373047, 220.05699157714844]","[159.1600341796875, 197.02096557617188]","[181.9451141357422, 172.70645141601562]","[204.71926879882812, 151.28176879882812]","[233.2884063720703, 134.890625]","[145.31170654296875, 132.6676483154297]","[143.46136474609375, 115.91227722167969]","[142.5248565673828, 139.25828552246094]","[142.64210510253906, 154.92523193359375]","[121.58132934570312, 135.7405242919922]","[121.00704193115234, 125.4179916381836]","[122.74068450927734, 152.54934692382812]","[123.0702133178711, 168.45521545410156]","[100.44855499267578, 140.49945068359375]","[102.58159637451172, 136.4121551513672]","[109.66242980957031, 163.71951293945312]","[112.41609954833984, 179.83848571777344]","[81.63002014160156, 141.73594665527344]","[68.74069213867188, 113.07555389404297]","[65.10826873779297, 91.7432861328125]","[62.11069107055664, 70.11105346679688]"
"[120.65550994873047, 228.76513671875]","[160.7082977294922, 201.6841583251953]","[184.08641052246094, 177.61734008789062]","[204.73724365234375, 155.03591918945312]","[226.17535400390625, 139.29891967773438]","[143.3424530029297, 139.03152465820312]","[129.41986083984375, 125.156005859375]","[133.54298400878906, 146.6643829345703]","[140.93222045898438, 155.0840301513672]","[122.13542938232422, 146.9111785888672]","[112.58334350585938, 131.55502319335938]","[118.48078918457031, 156.90701293945312]","[118.66869354248047, 167.9835205078125]","[102.41085815429688, 154.36099243164062]","[97.60403442382812, 140.75286865234375]","[108.42215728759766, 161.2217559814453]","[112.37122344970703, 172.6711883544922]","[83.63455963134766, 157.0179901123047]","[68.14704132080078, 124.0749740600586]","[62.28273010253906, 107.22493743896484]","[56.77592468261719, 90.7457275390625]"
"[119.72230529785156, 219.85299682617188]","[163.17697143554688, 193.70339965820312]","[186.16587829589844, 167.48912048339844]","[206.44635009765625, 142.88218688964844]","[225.7101593017578, 123.69771575927734]","[139.281005859375, 141.03115844726562]","[128.47872924804688, 125.69803619384766]","[135.4525604248047, 147.25418090820312]","[142.25624084472656, 157.3701629638672]","[115.42012786865234, 150.5559539794922]","[109.4100341796875, 136.1593780517578]","[116.54116821289062, 165.56948852539062]","[116.13468170166016, 178.3587646484375]","[93.10942077636719, 157.33798217773438]","[88.35369873046875, 146.6455841064453]","[101.6875991821289, 171.0983123779297]","[108.51490783691406, 182.7989501953125]","[72.27729797363281, 157.6329345703125]","[52.1456413269043, 125.96871185302734]","[43.322330474853516, 102.85792541503906]","[37.01133346557617, 78.48165130615234]"
